title,company,location,date,link,description
Data Scientist,Montu,Australia,2024-08-20,https://au.linkedin.com/jobs/view/data-scientist-at-montu-4005547152?position=1&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=sHFyNM4Yi3NHnMJKce%2FdtQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description




Montu is one of Australia's leading health tech businesses and a leader in alternative health services. With operations in Australia and Europe, we take a technology-first approach to reshaping the landscape for suppliers, practitioners, pharmacies and patients.

Montu operates a fully integrated, end-to-end ecosystem of healthcare companies that touches every part of the alternative health experience, from patient care through to pharmacy dispensing, clinical education, product development, wholesale distribution and more. Our brands include Alternaleaf, UMeds, Leafio and Saged.




Recognised by the Deloitte Fast 50 as the fastest growing tech company in Australia for two years running – with revenue growth of over 26,000% and 9,000% – Montu is now the largest business of its kind outside North America.




This role is an Australia-based, fully work-from-home position, with access to co-working spaces in Sydney, Melbourne and Brisbane.




Job Description

Are you passionate about leveraging data to drive meaningful insights and strategic decisions? We are seeking a skilled and dedicated Data Scientist to join our dynamic team. In this pivotal role, you will develop and enhance our data infrastructure, focusing on SQL, Python, experimentation, and statistical analysis. Your work will be crucial in creating, evaluating, and deploying data science models that support and enhance our platform, applications, and products.




Day To Day Responsibilities

Build, validate, and deploy predictive models using SQL and Python.
Apply advanced statistical methods to solve complex problems, ensuring data systems are scalable, performant, and reliable.
Design, implement, and analyze A/B tests to evaluate changes and drive data-informed decisions.
Develop and maintain A/B testing frameworks and methodologies for use across various teams, ensuring consistency and best practices.
Engage in proactive collaboration with cross-functional teams and internal stakeholders.
Establish and maintain strong working relationships with key stakeholders, ensuring data initiatives align with the company's strategic direction.
Clearly and concisely communicate insights to a range of stakeholders.




Qualifications

Proficiency in SQL for database querying and management.
Advanced knowledge of Python for data analysis and machine learning.
Strong understanding of statistical methods and their application.
Experience with data visualization tools (e.g., Looker).
Bachelor's or Master's degree in Data Science, Statistics, Computer Science, or a closely related field.




Additional Information

You’ll be joining a highly motivated, agile team where your ideas and work will directly influence the direction and progress of an expanding global company in a hyper-growth phase. We pride ourselves on our collaborative and driven culture and offer opportunities for advancement to high achievers.




Other Benefits Include

Gaining access to SAGED courses and more through the Greenhouse learning platform, fostering continuous growth and development.
Enjoying discounts with over 450 retailers through our Reward and Recognition platform.
The freedom of a full-time, work-from-home role.
Access to co-working spaces in Sydney, Melbourne, Brisbane, and select regional cities.
Mental health support through our wellbeing platform, Unmind.
A private health insurance discount through Medibank.
Up to 8 weeks of paid parental leave.
Swag kits to celebrate key milestones in your journey with us.
Enhancing your home office with our ergonomic equipment reimbursement benefit.
Being part of one of the fastest-growing industries in Australia, improving the lives of hundreds of thousands of patients.

We are committed to facilitating a barrier-free recruitment process and work environment. If you require any accommodations, we welcome you to let us know so we can work with you to participate fully in our recruitment experience.

Show more "
Expression of Interest - Artificial Intelligence Specialist,Marlee (Fingerprint For Success),Australia,2024-08-27,https://au.linkedin.com/jobs/view/expression-of-interest-artificial-intelligence-specialist-at-marlee-fingerprint-for-success-4011309144?position=2&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=rVRMwDDBuDCmyw9gvLWCJg%3D%3D&trk=public_jobs_jserp-result_search-card,"We are inviting professionals in high-growth industries who are thinking about their next move or looking for a new opportunity to join our expanding talent pool.


The Marlee Talent Pool is a pilot project designed to:

Help job seekers get discovered by our partners based on their anticipated hiring needs.
Provide optional support and resources for job seekers in their career endeavours.
Help individuals understand, and bring out the best in themselves and each other.

The Marlee Talent Pool process:

Once you express your interest, you will be asked to complete the Marlee work style assessment which measures 48 key attitudes and motivations in the context of work. On completion, you will be automatically added to our growing talent pool and contacted as new opportunities arise.

About Marlee (Fingerprint For Success)

Backed by 20+ years of research, Marlee’s revolutionary predictive analytics have achieved over 90% reliability in forecasting personal and team motivations, behaviours, and performance.

Ultimately, we help people find purpose and fulfillment at work, and help build and scale high-performing teams.


Keep in mind that joining our talent pool does not guarantee a job offer. We aim to balance your technical skills with the results of your Marlee work style assessment to match the hiring needs of our partners.

Your feedback is a gift! Write to us via: hello@getmarlee.com to help co-create the future of recruitment, together.

Show more "
Machine Learning Engineer,Montu,Australia,2024-08-21,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-montu-4003672929?position=3&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=ZqL2MKvidyTU9aA1%2F%2BFj7Q%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description

Montu is one of Australia's leading health tech businesses and a leader in alternative health services. With operations in Australia and Europe, we take a technology-first approach to reshaping the landscape for suppliers, practitioners, pharmacies and patients.




Montu operates a fully integrated, end-to-end ecosystem of healthcare companies that touches every part of the alternative health experience, from patient care through to pharmacy dispensing, clinical education, product development, wholesale distribution and more. Our brands include Alternaleaf, UMeds, Leafio and Saged.




Recognised by the Deloitte Fast 50 as the fastest growing tech company in Australia for two years running – with revenue growth of over 26,000% and 9,000% – Montu is now the largest business of its kind outside North America.




This role is an Australia-based, fully work-from-home position, with access to co-working spaces in Sydney, Melbourne and Brisbane.




Job Description

Are you passionate about building cutting-edge technology that drives innovation? Join our team as a Machine Learning Engineer, where you'll play a pivotal role in creating, deploying, and managing machine learning models that power our advanced platforms.




What You'll Do

Develop and maintain core infrastructure supporting the entire ML lifecycle, from model creation to deployment and management.
Collaborate with software engineers and data scientists to enhance platform capabilities using Large Language Models (LLMs).
Solve complex infrastructure and architecture challenges to ensure system scalability and reliability.
Stay ahead of the curve by exploring emerging trends in AI/ML and contributing to our innovative direction.
Work cross-functionally to drive project success and communicate technical outcomes effectively.




Qualifications

An advanced degree or proven experience in computer science, machine learning, or a related field.
Expertise in software development, particularly in deploying ML models in production.
Demonstrated ability to solve technical challenges related to machine learning model development, optimization, and deployment.
Familiarity with Large Language Models (LLMs) and their potential applications.
Hands-on experience with ML tools and Frameworks like TensorFlow, PyTorch, and scikit-learn.
Familiarity with cloud platforms like Google Cloud, AWS, or Azure.
Strong communication skills and a collaborative spirit.
A commitment to staying updated on the latest AI/ML advancements




Additional Information

You’ll be joining a highly motivated, agile team where your ideas and work will directly influence the direction and progress of an expanding global company in a hyper-growth phase. We pride ourselves on our collaborative and driven culture and offer opportunities for advancement to high achievers.




Other Benefits Include

Gaining access to SAGED courses and more through the Greenhouse learning platform, fostering continuous growth and development.
Enjoying discounts with over 450 retailers through our Reward and Recognition platform.
The freedom of a full-time, work-from-home role.
Access to co-working spaces in Sydney, Melbourne, Brisbane, and select regional cities.
Mental health support through our wellbeing platform, Unmind.
A private health insurance discount through Medibank.
Up to 8 weeks of paid parental leave.
Swag kits to celebrate key milestones in your journey with us.
Enhancing your home office with our ergonomic equipment reimbursement benefit.
Being part of one of the fastest-growing industries in Australia, improving the lives of hundreds of thousands of patients.

We are committed to facilitating a barrier-free recruitment process and work environment. If you require any accommodations, we welcome you to let us know so we can work with you to participate fully in our recruitment experience.

Show more "
Machine Learning Engineer,Workforce Australia for Individuals,Australia,2024-08-19,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-workforce-australia-for-individuals-4002111123?position=4&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=d8gxF1ubfp7bwB86o%2FoYVA%3D%3D&trk=public_jobs_jserp-result_search-card,"Machine Learning Engineer (Bangkok Based, Relocation Provided)

Are you passionate about transforming travel for millions of customers worldwide?

Imagine doing that while enjoying the vibrant metro of Bangkok, one of the best places in Asia to live and work. Or from a tropical paradise a few hours away!

This opportunity is a hybrid role, offering a flexible working model. You will be part of the clients efforts to creatively increase business and implement resources such as operational and analytical databases, ML- driven solutions, queue systems, and data monitoring tools.

Who are they?

Headquartered in Bangkok, they are one of the worlds largest online travel platforms. Their team, comprising 4,000 members from 90 different nationalities, is driven by a shared passion for travel and a goal to make it more accessible. This diversity enhances their products and services by providing a better understanding of customers' needs.


Click here to view more detail / apply for Machine Learning Engineer
Show more "
Computer Vision Engineer,Brixio,Australia,2024-08-28,https://au.linkedin.com/jobs/view/computer-vision-engineer-at-brixio-4009303877?position=5&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=4DymUxclEdp%2FZFMpmf4XcA%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Locations:

Brisbane or Sydney, Australia

Singapore

Bangkok

Work Setup: Hybrid

Start Date: ASAP

Experience: 5 to 7 years

Job Overview:

We are seeking an experienced and innovative Computer Vision Engineer to join our R&D team. This role is ideal for a hands-on professional with a startup mindset who thrives on building solutions from the ground up. As part of our team, you will play a crucial role in shaping our data science strategy, developing advanced computer vision models, and collaborating with partners to implement cutting-edge solutions.

Key Responsibilities:


Business Requirements: Understand and analyze business needs to design and develop effective computer vision solutions that align with our strategic goals
Innovation Strategy: Contribute to the continuous innovation and improvement of our product by integrating state-of-the-art computer vision techniques
Data Science Strategy: Design and implement a comprehensive data science strategy to enhance our product offerings
Model Development: Develop, test, and refine advanced computer vision models to solve complex problems and drive product innovation
Collaboration: Work closely with cross-functional teams and external partners to ensure the successful application of computer vision solutions



Requirements


Experience: 5 to 7 years in IT, digital companies, or software development, with a focus on computer vision projects
Technical Expertise: Strong experience in computer vision development and a deep understanding of the entire camera/video pipeline (lens distortion, sensor calibration, focus, etc.)
Cloud Knowledge: Familiarity with Microsoft Azure and cloud-based solutions
Data Project Management: Experience or interest in managing data projects, with a focus on practical application and customer impact
Software Skills: Proficiency in at least one coding language and experience with software release management, including tools like Git
MLOps/DevOps: Hands-on experience with MLOps and DevOps practices, including tools like Docker and Ansible
Agile Practices: Knowledgeable in agile methodologies and experienced in working within a fast-paced, collaborative team environment
Communication: Excellent communication and presentation skills, with a customer-centric approach to problem-solving
Show more "
Computer Vision Engineer,Brixio,Australia,2024-08-28,https://au.linkedin.com/jobs/view/computer-vision-engineer-at-brixio-4009305696?position=8&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=Vlhci%2BryWhr%2FxuAkXpFTXg%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Locations:

Brisbane or Sydney, Australia

Singapore

Bangkok

Work Setup: Hybrid

Start Date: ASAP

Experience: 5 to 7 years

Job Overview:

We are seeking an experienced and innovative Computer Vision Engineer to join our R&D team. This role is ideal for a hands-on professional with a startup mindset who thrives on building solutions from the ground up. As part of our team, you will play a crucial role in shaping our data science strategy, developing advanced computer vision models, and collaborating with partners to implement cutting-edge solutions.

Key Responsibilities:


Business Requirements: Understand and analyze business needs to design and develop effective computer vision solutions that align with our strategic goals
Innovation Strategy: Contribute to the continuous innovation and improvement of our product by integrating state-of-the-art computer vision techniques
Data Science Strategy: Design and implement a comprehensive data science strategy to enhance our product offerings
Model Development: Develop, test, and refine advanced computer vision models to solve complex problems and drive product innovation
Collaboration: Work closely with cross-functional teams and external partners to ensure the successful application of computer vision solutions



Requirements


Experience: 5 to 7 years in IT, digital companies, or software development, with a focus on computer vision projects
Technical Expertise: Strong experience in computer vision development and a deep understanding of the entire camera/video pipeline (lens distortion, sensor calibration, focus, etc.)
Cloud Knowledge: Familiarity with Microsoft Azure and cloud-based solutions
Data Project Management: Experience or interest in managing data projects, with a focus on practical application and customer impact
Software Skills: Proficiency in at least one coding language and experience with software release management, including tools like Git
MLOps/DevOps: Hands-on experience with MLOps and DevOps practices, including tools like Docker and Ansible
Agile Practices: Knowledgeable in agile methodologies and experienced in working within a fast-paced, collaborative team environment
Communication: Excellent communication and presentation skills, with a customer-centric approach to problem-solving
Show more "
Machine Learning Platform Engineer,Workforce Australia for Individuals,Australia,2024-08-12,https://au.linkedin.com/jobs/view/machine-learning-platform-engineer-at-workforce-australia-for-individuals-3996469078?position=9&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=cO8upmvt%2BWbzQnQrOnea7Q%3D%3D&trk=public_jobs_jserp-result_search-card,"About The Company

My client is a leading global multinational investment bank and financial services company. It is headquartered and listed in Australian stock exchange and employs nearly staff in over 20 countries is the world's largest asset manager in infrastructure and Australia's top ranked mergers and acquisitions adviser with almost half a trillion dollars in assets under management.

About The Role

Because of their immense growth in their Machine Learning and Data Science portfolio, an exciting opportunity has come up in one of their offices in Sydney. You will be joining their elite team and playing a key role in designing, building and operating Machine Learning solutions, working closely with various stakeholders (business and technical) to help execute their data science and machine learning strategy as they embark this journey in machine learning.

IT IS A HYBRID WORK CULTURE WITH 2 DAYS IN OFFICE. YOU


Click here to view more detail / apply for Machine Learning Platform Engineer
Show more "
Artificial Intelligence Analyst,BLACKROC Recruitment,Australia,2024-08-30,https://au.linkedin.com/jobs/view/artificial-intelligence-analyst-at-blackroc-recruitment-4011917354?position=11&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=xTImrXXFoqMWJx8gTKJESQ%3D%3D&trk=public_jobs_jserp-result_search-card,"BLACKROC is currently looking for a AI Analyst to join a leading government owned corporation for a 9-month contract. This role focuses on exploring and implementing AI-driven technologies into their internal systems.




You will supporting the implementation their AI Responsible Use Policy and Framework through the analysis and facilitation of governance and process updates, people change activities, and effective AI-driven technology experiments.




Key Responsibilities:

Update frameworks and governance based on assessments and stakeholder input.
Define and implement the operating model for AI adoption.
Integrate AI guardrails into existing processes and develop supporting documentation.
Prepare and present materials for executive committees.
Manage posts and updates on AI Hub and Viva Engage.
Develop and test training materials and user guides.
Facilitate workshops and change forum.
Analyse use cases and update related materials.
Handle administrative tasks for use case pilots and manage the AI Hub content.
Keep the AI Hub site accurate and user-friendly.
Address feedback and queries from the AI Hub.
Support impact assessments and stakeholder management.




About You:

5-10 years experience in a complex analyst role.
Hands-on experience with AI technologies and policy/governance implementation. (Must have)
Ability to develop and present project documentation.
Experience in preparing high quality written reports and presentations.
Skilled in identifying, documenting, and aligning business processes, organisational changes, and technical requirements with stakeholder consensus.
Experience in process mapping and facilitation of business process design/redesign.
Proficient in project tools (e.g., SharePoint) and use case development, including ROI concepts.
Familiar with project delivery lifecycle and Agile methodologies.




For more information on this opportunity please contact Leah Townsend BLACKROC for a confidential chat via leah@blackroc.co. Alternatively, if this isn’t the right opportunity for you but you’re interested in other opportunities in Brisbane, feel free to reach out.

Show more "
Machine Learning Engineer,Nuage Technology Group,Australia,2024-08-26,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-nuage-technology-group-4005802531?position=12&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=1yLdhdqooORvQMgDDQKSwQ%3D%3D&trk=public_jobs_jserp-result_search-card,"The Company




Nuage are representing a fast-growing scale-up in the conversational AI space. This company collaborates with enterprise clients to enhance customer interactions through innovative Gen AI chat bot / voice bot solutions. They are currently in a significant growth phase and are looking for a Machine Learning Engineer to join their team.




Key Responsibilities




Develop and deploy machine learning models for chatbots and voice bots.
Collaborate with various teams to integrate ML solutions into products.
Optimize and maintain existing ML models to improve performance.
Stay updated with the latest advancements in machine learning and AI technologies.




Key Requirements




Google Cloud Platform Certified (GCP).
Proven experience with chatbots and voice bots in a machine learning context.
Strong programming skills in Python or Java.
Experience with machine learning frameworks such as TensorFlow, PyTorch, or Scikit-learn.




Your Background




Hands-on experience with GCP services like BigQuery, Dataflow, Pub/Sub, Dataprep, and Composer.
Familiarity with data engineering tools such as Apache Kafka
Knowledge of Snowflake or Databricks for data warehousing.
Experience with orchestration tools like Apache Airflow.
Strong understanding of natural language processing (NLP) and conversational AI technologies.




What’s on Offer




A true scale up opportunity while also working with some incredible enterprise clients
Opportunities for progression - pathways within ML to leadership
Competitive salary and benefits package.
The chance to work on cutting-edge AI technologies and make a significant impact.




To hear about other roles and keeping up today on the technology market trends for Australia we would love to share information with you via our website or LinkedIn page.

www.nuagetg.io & https://www.linkedin.com/company/nuage-technology-group/jobs/?viewAsMember=true

Show more "
AI Tools Consultant,Morgan McKinley,Australia,2024-08-16,https://au.linkedin.com/jobs/view/ai-tools-consultant-at-morgan-mckinley-4002299156?position=13&pageNum=0&refId=xwG5PadpD%2FXvT4SkYMqbPQ%3D%3D&trackingId=DULBqJrVZLhwA%2BnkZO8mFQ%3D%3D&trk=public_jobs_jserp-result_search-card,"We are seeking a talented and innovative AI Tools Consultant to join a dynamic team. As an AI Tools Consultant, you will play a pivotal role in helping internal stakeholders unlock the full potential of artificial intelligence. You will work closely with stakeholders to understand their business needs, identify opportunities for AI implementation, and deliver tailored solutions.

Responsibilities


Conduct in-depth assessments of clients' business operations and identify areas for AI application.
Research and evaluate a wide range of AI tools and platforms to determine the best fit for client needs.
Develop and implement AI-driven solutions, including machine learning models, natural language processing, and data analysis.
Provide ongoing support and training to clients on AI tool usage and optimization.
Effectively manage client expectations and build strong relationships with key stakeholders.
Stay up-to-date with the latest advancements in AI technology and industry trends.


Requirements


Strong understanding of AI concepts, including machine learning, deep learning, and natural language processing.
Experience with a variety of AI tools and platforms.
Proven consulting experience with a strong track record of delivering successful projects.
Excellent problem-solving and analytical skills.
Strong communication and interpersonal skills, including the ability to effectively manage stakeholder expectations.
Ability to work independently and as part of a team in a hybrid working environment.
Bachelor's degree in computer science, data science, or a related field.


This is a hybrid role, offering flexibility to work both home and in the office. If you are a highly motivated individual with a passion for AI and a desire to make a significant impact, we encourage you to apply.

Please note only candidates who are based in Sydney with full working rights can be considered.

Recruitment Consultant: Leon Young
Show more "
