title,company,location,date,link,description
Data Scientist,Montu,Australia,2024-08-20,https://au.linkedin.com/jobs/view/data-scientist-at-montu-4005547152?position=1&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=tUkdriyRdrhUxc4hvya2Mg%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description




Montu is one of Australia's leading health tech businesses and a leader in alternative health services. With operations in Australia and Europe, we take a technology-first approach to reshaping the landscape for suppliers, practitioners, pharmacies and patients.

Montu operates a fully integrated, end-to-end ecosystem of healthcare companies that touches every part of the alternative health experience, from patient care through to pharmacy dispensing, clinical education, product development, wholesale distribution and more. Our brands include Alternaleaf, UMeds, Leafio and Saged.




Recognised by the Deloitte Fast 50 as the fastest growing tech company in Australia for two years running – with revenue growth of over 26,000% and 9,000% – Montu is now the largest business of its kind outside North America.




This role is an Australia-based, fully work-from-home position, with access to co-working spaces in Sydney, Melbourne and Brisbane.




Job Description

Are you passionate about leveraging data to drive meaningful insights and strategic decisions? We are seeking a skilled and dedicated Data Scientist to join our dynamic team. In this pivotal role, you will develop and enhance our data infrastructure, focusing on SQL, Python, experimentation, and statistical analysis. Your work will be crucial in creating, evaluating, and deploying data science models that support and enhance our platform, applications, and products.




Day To Day Responsibilities

Build, validate, and deploy predictive models using SQL and Python.
Apply advanced statistical methods to solve complex problems, ensuring data systems are scalable, performant, and reliable.
Design, implement, and analyze A/B tests to evaluate changes and drive data-informed decisions.
Develop and maintain A/B testing frameworks and methodologies for use across various teams, ensuring consistency and best practices.
Engage in proactive collaboration with cross-functional teams and internal stakeholders.
Establish and maintain strong working relationships with key stakeholders, ensuring data initiatives align with the company's strategic direction.
Clearly and concisely communicate insights to a range of stakeholders.




Qualifications

Proficiency in SQL for database querying and management.
Advanced knowledge of Python for data analysis and machine learning.
Strong understanding of statistical methods and their application.
Experience with data visualization tools (e.g., Looker).
Bachelor's or Master's degree in Data Science, Statistics, Computer Science, or a closely related field.




Additional Information

You’ll be joining a highly motivated, agile team where your ideas and work will directly influence the direction and progress of an expanding global company in a hyper-growth phase. We pride ourselves on our collaborative and driven culture and offer opportunities for advancement to high achievers.




Other Benefits Include

Gaining access to SAGED courses and more through the Greenhouse learning platform, fostering continuous growth and development.
Enjoying discounts with over 450 retailers through our Reward and Recognition platform.
The freedom of a full-time, work-from-home role.
Access to co-working spaces in Sydney, Melbourne, Brisbane, and select regional cities.
Mental health support through our wellbeing platform, Unmind.
A private health insurance discount through Medibank.
Up to 8 weeks of paid parental leave.
Swag kits to celebrate key milestones in your journey with us.
Enhancing your home office with our ergonomic equipment reimbursement benefit.
Being part of one of the fastest-growing industries in Australia, improving the lives of hundreds of thousands of patients.

We are committed to facilitating a barrier-free recruitment process and work environment. If you require any accommodations, we welcome you to let us know so we can work with you to participate fully in our recruitment experience.

Show more "
Machine Learning Engineer,Montu,Australia,2024-08-21,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-montu-4003672929?position=2&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=luNol1%2BYTpDN0dDakW6ttA%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description

Montu is one of Australia's leading health tech businesses and a leader in alternative health services. With operations in Australia and Europe, we take a technology-first approach to reshaping the landscape for suppliers, practitioners, pharmacies and patients.




Montu operates a fully integrated, end-to-end ecosystem of healthcare companies that touches every part of the alternative health experience, from patient care through to pharmacy dispensing, clinical education, product development, wholesale distribution and more. Our brands include Alternaleaf, UMeds, Leafio and Saged.




Recognised by the Deloitte Fast 50 as the fastest growing tech company in Australia for two years running – with revenue growth of over 26,000% and 9,000% – Montu is now the largest business of its kind outside North America.




This role is an Australia-based, fully work-from-home position, with access to co-working spaces in Sydney, Melbourne and Brisbane.




Job Description

Are you passionate about building cutting-edge technology that drives innovation? Join our team as a Machine Learning Engineer, where you'll play a pivotal role in creating, deploying, and managing machine learning models that power our advanced platforms.




What You'll Do

Develop and maintain core infrastructure supporting the entire ML lifecycle, from model creation to deployment and management.
Collaborate with software engineers and data scientists to enhance platform capabilities using Large Language Models (LLMs).
Solve complex infrastructure and architecture challenges to ensure system scalability and reliability.
Stay ahead of the curve by exploring emerging trends in AI/ML and contributing to our innovative direction.
Work cross-functionally to drive project success and communicate technical outcomes effectively.




Qualifications

An advanced degree or proven experience in computer science, machine learning, or a related field.
Expertise in software development, particularly in deploying ML models in production.
Demonstrated ability to solve technical challenges related to machine learning model development, optimization, and deployment.
Familiarity with Large Language Models (LLMs) and their potential applications.
Hands-on experience with ML tools and Frameworks like TensorFlow, PyTorch, and scikit-learn.
Familiarity with cloud platforms like Google Cloud, AWS, or Azure.
Strong communication skills and a collaborative spirit.
A commitment to staying updated on the latest AI/ML advancements




Additional Information

You’ll be joining a highly motivated, agile team where your ideas and work will directly influence the direction and progress of an expanding global company in a hyper-growth phase. We pride ourselves on our collaborative and driven culture and offer opportunities for advancement to high achievers.




Other Benefits Include

Gaining access to SAGED courses and more through the Greenhouse learning platform, fostering continuous growth and development.
Enjoying discounts with over 450 retailers through our Reward and Recognition platform.
The freedom of a full-time, work-from-home role.
Access to co-working spaces in Sydney, Melbourne, Brisbane, and select regional cities.
Mental health support through our wellbeing platform, Unmind.
A private health insurance discount through Medibank.
Up to 8 weeks of paid parental leave.
Swag kits to celebrate key milestones in your journey with us.
Enhancing your home office with our ergonomic equipment reimbursement benefit.
Being part of one of the fastest-growing industries in Australia, improving the lives of hundreds of thousands of patients.

We are committed to facilitating a barrier-free recruitment process and work environment. If you require any accommodations, we welcome you to let us know so we can work with you to participate fully in our recruitment experience.

Show more "
Graduate - Data Scientist,City of Gold Coast,Australia,2024-08-13,https://au.linkedin.com/jobs/view/graduate-data-scientist-at-city-of-gold-coast-4000034270?position=3&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=2IhINi%2FpEExRQoGjNqAAYw%3D%3D&trk=public_jobs_jserp-result_search-card,"Shape your future with the City of Gold Coast’s Graduate Academy!




Our 12-month immersive graduate program is designed to unlock your potential, achieve your career goals, and equip you with the knowledge, skills and hands-on experience necessary to excel in your chosen career.




Working alongside industry leaders you will contribute to a range of projects and initiatives that help shape and connect our City, providing real world opportunities to grow, develop and progress. With our comprehensive professional development programs, networking opportunities and supportive work environment, you'll be empowered to reach your full potential.




Be part of the next gen of GC Shapers




Commencing in January 2025, our program provides professional development training and on-the-job experience pathways, designed to help bridge the gap from academic study to the work environment. As a graduate of the City, you will have many opportunities available to you:

contribute to a range of projects and initiatives not available anywhere else
freedom to carve your own path, with the flexibility to design your graduate experience and career direction
networking opportunities, tours, exclusive CEO talks and exciting teams projects, promoting collaboration across all areas of the City
tailored learning including work-based training and an extensive range of personal, professional and career development training designed to set you up for success
assistance and support on your path to accreditation
support for your continued development journey with future opportunities at the City after the program
work-life integration including 9-day fortnight, flexible working arrangements and generous leave entitlements.




What's on offer




With a diverse workforce of more than 5000 team members dedicated to servicing the needs and enhancing the lifestyle of 650,000 residents, each team member has an intrinsic ability to impact our community. With a growing population and major events such as the 2032 Olympic and Paralympic games on the horizon, the City is faced with endless opportunities.




In this role you will work in the City's Performance and Analytics business unit and will assist in solving business problems through innovative technical solutions and data insights that employ an evidence-based approach in line with best practice data science methodologies and standards. A key focus of this role will be the delivery of high-value data insights, from large structured or unstructured data sets, with the use of data science tools and data coding to deliver continued improvements and automation support to service improvements. You will also collaborate with key internal and external stakeholders with data that is meaningful and provides valuable insights.

The successful candidate will:




Proficient in programming languages such as Python and R
Familiarity with CI/CD tools (e.g. Git, Gitlab, Jenkins, Bitbucket) and version control systems
Basic SQL skills and understanding of relational databases and database design
Understanding of statistical methods to analyse data and draw actionable insights
Knowledge in data science domains such as Machine Learning, advance analytics and modelling, deep learning, modern NLP, image processing or generative AI
Exposure to machine learning and advance modelling techniques and algorithms
Experience or coursework related to cloud Data Warehouse solutions (e.g. Snowflake, Redshift, BigQuery, Azure) and cloud-based solutions (e.g. AWS, Azure, GCP).




What are we looking for from you




The City is committed to developing skilled graduates into future City leaders who:

are curious, motivated and driven to make a difference for the future of the Gold Coast
embrace innovation with a forward-thinking and creative mindset
seek continuous learning opportunities and are committed to professional development
are willing to embrace new challenges, learn new skills and adapt quickly
possess excellent written, verbal and interpersonal skills and can convey ideas clearly, listen attentively and collaborate effectively
contribute positively to the team dynamic, respect diverse perspectives and foster a productive work environment.




Who can apply




To be considered for this opportunity you must hold a recognised degree or post graduate qualification from a tertiary institution, completed within the last two years or be completed prior to the commencement of the program in January 2025. Applicants must have full working rights in Australia for the duration of the program and be able to work full-time.




The Data Analyst graduate position is open to university graduates who have studied Data Science, Computer Science, Statistics, Mathematics or related fields and disciplines.




Here’s how to apply




Submit your academic transcript / qualification, resume and a cover letter. In your cover letter please outline information about your career objectives, work experience, education, volunteering and any extracurricular activities, specialist skills or interests you may have.




For further information about the program, you may review the position brief here. For queries or further information, email careerpathways@goldcoast.qld.gov.au.




The City of Gold Coast is an equal opportunity employer dedicated to promoting an inclusive and diverse workplace. We are committed to supporting an environment where all employees, regardless of their differences or similarities, feel valued, respected and supported.

Show more "
Data Scientist & Mathematician,Workforce Australia for Individuals,Australia,2024-08-03,https://au.linkedin.com/jobs/view/data-scientist-mathematician-at-workforce-australia-for-individuals-3990041148?position=5&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=ypfxeXOcwWX0oShflU8ncA%3D%3D&trk=public_jobs_jserp-result_search-card,"Seeking a mathematician with expertise in Python/R for an academic candidate with exceptional university results

Your New Organisation

We are seeking a highly academic data scientist with mathematical pedigree from a leading university to work in a small firm with offices across Australia, Europe, and Asia.

The company is made up of mathematicians, statisticians and software engineers who are incredibly delivery focused, working with huge data sets for their clients. The team is dedicated to rewarding hard work and innovative ideas, focusing on algorithmic trading.

Your New Role

Working with Senior Mathematicians in the Sydney office, we are seeking a recent graduate or professional with a couple of years' experience in data science. The ideal candidate will have a degree in Maths, Data Analytics, Engineering, Actuarial or Physics.

Large sets of legacy data are cleansed and structured overseas and then shipped to Sydney where you will be working on building models and predictive analytics. Data cleansing, introducing factors and regression modelling will be part of the role, and you will ideally have experience extracting large data sets and working closely with programmers.

What You'll Need To Succeed


A background in anything 'Maths heavy'; such as Mathematics, Physics, Actuarial or Data Science
Highly academic with excellent university results, ideally from a leading university (WAM 85+ / High Distinction / First Class Honours / A / High GPA Equivalent)
Proficiency in R and SQL, with strong coding skills and willingness to complete a coding challenge
Experience with statistical forecasting
A passion for problem-solving and complex mathematics


What You Need To Do Now

To find out more about this opportunity, please contact Marcus Castle using the details below:

T: 02 9249 2285

E: marcus.castle@hays.com.au

Please click here to apply.
Show more "
Data Scientist,Talent Stack,Australia,2024-08-06,https://au.linkedin.com/jobs/view/data-scientist-at-talent-stack-3994040334?position=6&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=JIMz1eDoks1gKk0QPp5MJA%3D%3D&trk=public_jobs_jserp-result_search-card,"Job description




Are you a Data Scientist or perhaps a Software/Data engineer looking to get your foot into the Data Science world to further expand on your strong SQL & Python skills?




Well, my client is desperate to have a chat with you. They have been going for over 7 years & have over 200 customers that utilise their unique ML models to help generate millions in revenue for people truly in need. They pride themselves on being an energetic start-up, with huge growth potential within their scaling technology team.




The Role

The role itself will be working in the company operations team, with the main tasks being as follows:




Configuring QA models for new customers
Work with rich, complex datasets across 100s of millions of rows of data to develop new predictive features for NFP-specific outcomes.
Going into data pipelines & investigating why things aren’t working
Communicating with customer success people stakeholders in order to understand requirements
Working with customer success for models, predictions & digging into what’s happening.
Support element - with anything & especially with new clients, things are always breaking so you would need to investigate issues with and help to improve our data transformation pipelines.
You will be in charge of investigating & debugging within a range of issues that could be as easy as the Api having changed, something internally with the client's data meaning the model doesn’t work in that case, or something else entirely.
Train, debug, deploy, and monitor production ML models for hundreds of different organisations.
Run experiments to suggest improvements in our machine-learning pipeline.




Must Have's

Expert SQL skills
Excellent Python skills
Strong experience experience with real-world machine learning projects including deployment and monitoring.




Desirables

Huge bonus if you're from the start-up world
AWS - Athena, EC2, S3, Lambda
CI/CD Pipeline experience
DuckDB




What's in it for you?

A permanent position with a salary banding of $120k - $160k + Super, Paid volunteering days, Self-development budget, home office budget
Extremely flexible WFH policy, with only 1 day per fortnight required in the Sydney office
Huge opportunity to grow within the organisation, first refusal of promotion into team lead positions
Opportunity for autonomous work and ownership




If you feel like you have the skill sets required & would like to have a bit more of a chat in regards to this role please apply directly via Linkedin & I will reach out ASAP.

Show more "
Data Analyst,LTIMindtree,Australia,2024-08-06,https://au.linkedin.com/jobs/view/data-analyst-at-ltimindtree-3992950192?position=7&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=kLDCvNB6iYh2wLwfvBU0xg%3D%3D&trk=public_jobs_jserp-result_search-card,"LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 750 clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com







Data Analyst - Data Availability

Collaborative Data Analyst across Azure Technologies required to advocate the technology principles of user first, fit for purpose, functional design, innovation and authenticity. You will be involved in design objectives and come with some architecture experience.

The business orientated Data Analyst will also provide data profiling solutions to very progressive digital technology teams simultaneously working within the global digital transformation practice of LTIM to deliver Data Profiling, Mapping and Modelling solutions to the highest expected standards.




Technical Skills:

SQL
Azure Technologies
Data Modelling
Power BI for data analysis




Job Description:

Understand and capture business requirements and underlying data needs effectively.
Strong experience with Data analysis and Data modelling. Perform in-depth data analysis to uncover trends, patterns, and actionable insights.
Demonstrable skills and experience in analysing large and complex datasets to derive the required data and deliver possible data products.
Skills in providing Data Insights and reporting. Exceptional skills and experience in Data Visualisation. Power BI preferred.
Strong communication and stakeholder engagement skills. Translate subject-matter expert and stakeholder discussion into data and reporting.
Must be Pro-active and be able to work independently as well as with your peers.
Collaborate with cross-functional teams to understand data needs and deliver solutions.
Continuously monitor and optimize data processes for efficiency and performance.
Deliver detailed and accurate analysis to inform management decisions.




LTI Mindtree Minds Enjoy:

Family Friendly and Flexible working arrangements - work here there or anywhere >
Working on the most innovative project works!
Personal development to enhance your career!
Rewarding curiosity and collaboration!




LTI Mindtree minds are distinguished by their superior talent and mental agility marked by extreme ownership of transformative technologies in the digital age!




BIO - https://vimeo.com/770620919

Show more "
Junior Data Analyst,Realm Investment House,Australia,2024-08-31,https://au.linkedin.com/jobs/view/junior-data-analyst-at-realm-investment-house-4011015829?position=9&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=PecIDGg1FobLMzBdQOWv1Q%3D%3D&trk=public_jobs_jserp-result_search-card,"Junior Data Analyst




Realm Investment House, a leading boutique Australian Fixed Income Manager, is seeking an ambitious and detail-oriented Junior Data Analyst to join our dynamic team. Based at our Melbourne office at 500 Collins Street, this is a fantastic opportunity to develop your career in data analysis within the finance industry.




About Realm Investment House:

Realm Investment House specializes in Australian credit and fixed income, managing $6 billion AUM across both domestic and global markets. Since our inception in 2011, we have rapidly grown to become one of Australia's top-performing fixed income fund managers. Our success is rooted in a commitment to accountability, data-driven decision-making, and delivering exceptional results for our clients.




Responsibilities:

Assist in the collection, cleaning, and analysis of data to support investment decisions and operational processes.
Generate and maintain reports that provide insights into investment performance, risk management, and other key metrics.
Collaborate with senior analysts and the investment team to develop data models and dashboards that enhance decision-making.
Support ad-hoc data requests and contribute to ongoing projects aimed at improving data accuracy and operational efficiency.
Maintain and update databases, ensuring data integrity and accessibility for team members.
Participate in the automation of data workflows and processes to improve efficiency and reduce manual work.




Requirements:

Bachelor’s degree in data science, computer science, statistics, mathematics, finance, economics, or a related field.
Proficiency in Microsoft Excel; experience with SQL, Python, VBA, or R not required but highly regarded.
Strong analytical skills with the ability to interpret complex data sets and communicate findings clearly.
High attention to detail, ensuring accuracy in data analysis and reporting.
Excellent organizational skills with the ability to manage multiple tasks and deadlines effectively.
A collaborative mindset, with a strong ability to work in a team-oriented environment.
Eagerness to learn and adapt in a fast-paced, dynamic environment.




What We Offer:

The opportunity to develop your skills in a supportive and growing company.
Exposure to the finance industry with a focus on Australian and global fixed income markets.
A collaborative and inclusive work environment with opportunities for professional growth.




If you’re passionate about data and eager to contribute to the success of a leading investment firm, we’d love to hear from you. Apply now to join Realm Investment House and start your journey in finance and data analysis.




Please send a copy of your resume and cover letter to sylvester.l@realminvestments.com.au.

Show more "
Data Scientist,Mane Consulting,Australia,2024-08-20,https://au.linkedin.com/jobs/view/data-scientist-at-mane-consulting-4002636206?position=10&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=j7jDbvfDRrG%2BN9DzyqjFTg%3D%3D&trk=public_jobs_jserp-result_search-card,"Get recognition and reward working with this a pioneering industry leader, as they embark on a transformative journey! The Data Scientist will drive internal data analytics projects serving all areas of the company. Investigations will vary from short preliminary explorations to deeper, longer-term studies.

You will have the opportunity to work side by side with talented, motivated, and intellectually stimulating colleagues who thrive on helping the business solve the most pressing business opportunities.

Role & Responsibilities


Regular monitoring and analysing the performance of products, as required, at the macro, rating factor and agent in order to identify opportunities to optimise profitable growth through necessary changes.
Statistical and / or machine learning modelling to optimise areas of the business
Train, validate, and fine-tune models using large datasets, ensuring high accuracy and reliability. Implement scalable solutions that can handle large volumes of data and adapt to changing business requirements.
Continual improvement, monitoring and improvement of existing models


Ideally You Will Have


Expertise and hands on experience with statistical modeling and machine learning software (Python, R, etc.)
Advanced SQL
Familiarity with Gen AI technologies and a keen interest in staying abreast of industry advancements.
Comfort with common applied ML strategies and ensemble methodologies
Passionate about storytelling with data. Ability to port analytics outcomes into interactive- or presentation-based media (e.g. Tableau, Power BI).
Understand technical basics of data visualization and common pitfalls. Ability to make clean, elegant, informative graphs.
Exceptional written and verbal communication skills. Ability to present data science findings to sizable audiences of laymen and specialists alike.
Ability to work collaboratively as part of a fast-paced, customer oriented team
Desire to use or create standards, consider reusability, and have a long-term view while understanding short-term needs
Self-starter who provides ideas and solutions and understands various approaches within the BI discipline
Bachelor's degree or above (Areas of study/related study include: Economics, Statistics, Mathematics, Operations Research, and Marketing)
Excel in and passionate about working with complex datasets and developing presentations using insights derived from the analytics
Highly analytical with strong problem solving and critical thinking skills
Passion for using data to solve complex business questions and drive business solutions


Mane Consulting specialise in Data & Analytics. For more information on this role or others like this in the market apply below or contact Mark.cornwel-smith @mane.com.au
Show more "
Machine Learning Engineer,Workforce Australia for Individuals,Australia,2024-08-19,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-workforce-australia-for-individuals-4002111123?position=11&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=8OzBFk5%2FU8L28KnRxKyXfA%3D%3D&trk=public_jobs_jserp-result_search-card,"Machine Learning Engineer (Bangkok Based, Relocation Provided)

Are you passionate about transforming travel for millions of customers worldwide?

Imagine doing that while enjoying the vibrant metro of Bangkok, one of the best places in Asia to live and work. Or from a tropical paradise a few hours away!

This opportunity is a hybrid role, offering a flexible working model. You will be part of the clients efforts to creatively increase business and implement resources such as operational and analytical databases, ML- driven solutions, queue systems, and data monitoring tools.

Who are they?

Headquartered in Bangkok, they are one of the worlds largest online travel platforms. Their team, comprising 4,000 members from 90 different nationalities, is driven by a shared passion for travel and a goal to make it more accessible. This diversity enhances their products and services by providing a better understanding of customers' needs.


Click here to view more detail / apply for Machine Learning Engineer
Show more "
Big Data Graduate Programme,Quantexa,Australia,2024-08-30,https://au.linkedin.com/jobs/view/big-data-graduate-programme-at-quantexa-4013387128?position=12&pageNum=0&refId=djANzLv%2FJMbf8OaodSCELA%3D%3D&trackingId=Tz8VhSK9xMwP7mArvxtPrg%3D%3D&trk=public_jobs_jserp-result_search-card,"What We're All About.

It isn't often you get to be part of a tech company that, since 2016, has been innovating the data analytics market in ways no-one else can. Our technology started out in FinTech, helping tackle serious criminal activity. Now, its potential is virtually limitless. Working at Quantexa isn't just intellectually stimulating. We're a real team. Collaborating and constantly engineering better and better solutions. We're ambitious, we think things through and we're on a mission to discover just how far we can go. Nearly half of our colleagues come from an ethnic or religious minority background. We're made up of people from 47 nationalities who speak over 20 languages. As a diverse mix of individuals, we make one big unstoppable team.

If our incredible culture sounds like you, we'd love you to join us.

The opportunity.

Our Big Data Graduate Programme is designed for you to develop your technical skill set, think creatively and be a real problem solver of major issues our clients are facing today. If you are someone who likes to think outside the box, holds a real passion for data and is open to new ideas, you'll find a Qmmunity that recognises your needs to be a creative innovator and embrace it. 🧬

You will work on big data projects where you will have exposure to data science, data engineering and DevOps methods, whilst learning to engage with both internal and external stakeholders. In a typical Quantexa project, you'll work with high volume data, helping our top clients solve business problems in financial crime, fraud and money laundering along with playing a huge part in helping our others solve complex terrorism cases, human trafficking, and even modern-day slavery. You'll be working closely with Data Scientists, Data Engineers, Business Analysts, Technical Leads, Project Managers and Solutions Architects, using entity resolution to generate networks and apply a scoring framework to identify risks. At Quantexa everyone is following the same goal of meeting our client's expectations and delivering a first-class service. 🥇

What You'll Be Doing.

We want our graduates to learn the latest Big Data technologies and being the huge fans of functional programming that we are, your first 3 months will consist of going through our dedicated training academy. You'll have exposure to learning Scala, which is our primary language here at Quantexa, so you are confident and comfortable using our platform. Part of this exciting journey will also have you exposed to other tools such as Spark, Hadoop, Hive, Kubernetes, with our platform being hosted on Google cloud (GCP). You will learn how to create entities and networks and loading data using Elasticsearch in the Quantexa interface. You'll be required to generate a solution using our explorer in a world leading big data tool set. This training is heavily self-paced learning giving you the flexibility to add to the task and complete with set timings.

Following completion of the academy you will be working on multiple projects. You can expect to work with different lead experts who share their love of big data to deliver the best for our clients.

Requirements

What you'll bring.


We are looking for enthusiastic individuals who share a love of ‘big data' and have a numerate degree ie. Mathematics, Physics, Computer Science, IT/Technology. 👩‍💻
Must be a graduate already or expecting to graduate in a STEM subject
A passion and the desire to learn and code in Scala using multiple big data tool sets
Hold problem solving skills and enthusiasm to pick up a broad set of tasks.
Client facing and Consulting skills such as communication, adaptability, critical thinking etc.
Experience in Python, Java, Scala, R or similar technologies is desirable.
Passion and drive to grow within one of the UK's fastest scale ups



Benefits

Our perks and quirks.

What makes you Q will help you to realize your full potential, flourish and enjoy what you do, while being recognized and rewarded with our broad range of benefits.

We offer:


Competitive salary
Company bonus
11.5% Superannuation
20 days annual leave, plus national holidays + your birthday off!
Private Healthcare with Medibank, including dental, orthodontics & optics cover
Regularly bench-marked salary rates
Enhanced Maternity, Paternity, Adoption, or Shared Parental Leave
Well-being days
Volunteer Day off
Work from Home Equipment
Novated Leasing
Free Calm App Subscription #1 app for meditation, relaxation and sleep
Continuous Training and Development, including access to Udemy Business
Spend up to 2 months working outside of your country of employment over a rolling 12-month period with our ‘Work from Anywhere' policy
Employee Referral Program
Team Social Budget & Company-wide Socials



Our mission

We have one mission. To help businesses grow. To make data easier. And to make the world a better place. We're not a start-up. Not anymore. But we've not been around that long either. What we are is a collection of bright, passionate minds harnessing complexities and helping our clients and their communities. One culture, made of many. Heading in one direction - the future.

It's All About You

Quantexa is proud to be an Equal Opportunity Employer. We're dedicated to creating an inclusive and diverse work environment, where everyone feels welcome, valued, and respected. We want to hear from people who are passionate about their work and align with our values. Qualified applications will receive consideration for employment without regard to their race, colour, ancestry, religion, national origin, sex, sexual orientation, gender identity, age, citizenship, marital, disability, or veteran status. Whoever you are, if you're a curious, caring, and authentic human being who wants to help push the boundaries of what's possible, we want to hear from you.

Internal pay equity across departments is crucial to our global compensation philosophy. Grade level and salary ranges are determined through interviews and a review of experience, education, training, knowledge, skills, and abilities of the applicant, equity with other team members, and alignment with market data.

Quantexa is committed to providing reasonable accommodations in our talent acquisition processes. If you require support, please inform our Talent Acquisition Team.

start. don't stop - Apply.
Show more "
