title,company,location,date,link,description
Machine Learning Engineer,Montu,Australia,2024-08-21,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-montu-4003672929?position=1&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=fQKMKxE4rL4rNPtZqSVvzA%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description

Montu is one of Australia's leading health tech businesses and a leader in alternative health services. With operations in Australia and Europe, we take a technology-first approach to reshaping the landscape for suppliers, practitioners, pharmacies and patients.




Montu operates a fully integrated, end-to-end ecosystem of healthcare companies that touches every part of the alternative health experience, from patient care through to pharmacy dispensing, clinical education, product development, wholesale distribution and more. Our brands include Alternaleaf, UMeds, Leafio and Saged.




Recognised by the Deloitte Fast 50 as the fastest growing tech company in Australia for two years running – with revenue growth of over 26,000% and 9,000% – Montu is now the largest business of its kind outside North America.




This role is an Australia-based, fully work-from-home position, with access to co-working spaces in Sydney, Melbourne and Brisbane.




Job Description

Are you passionate about building cutting-edge technology that drives innovation? Join our team as a Machine Learning Engineer, where you'll play a pivotal role in creating, deploying, and managing machine learning models that power our advanced platforms.




What You'll Do

Develop and maintain core infrastructure supporting the entire ML lifecycle, from model creation to deployment and management.
Collaborate with software engineers and data scientists to enhance platform capabilities using Large Language Models (LLMs).
Solve complex infrastructure and architecture challenges to ensure system scalability and reliability.
Stay ahead of the curve by exploring emerging trends in AI/ML and contributing to our innovative direction.
Work cross-functionally to drive project success and communicate technical outcomes effectively.




Qualifications

An advanced degree or proven experience in computer science, machine learning, or a related field.
Expertise in software development, particularly in deploying ML models in production.
Demonstrated ability to solve technical challenges related to machine learning model development, optimization, and deployment.
Familiarity with Large Language Models (LLMs) and their potential applications.
Hands-on experience with ML tools and Frameworks like TensorFlow, PyTorch, and scikit-learn.
Familiarity with cloud platforms like Google Cloud, AWS, or Azure.
Strong communication skills and a collaborative spirit.
A commitment to staying updated on the latest AI/ML advancements




Additional Information

You’ll be joining a highly motivated, agile team where your ideas and work will directly influence the direction and progress of an expanding global company in a hyper-growth phase. We pride ourselves on our collaborative and driven culture and offer opportunities for advancement to high achievers.




Other Benefits Include

Gaining access to SAGED courses and more through the Greenhouse learning platform, fostering continuous growth and development.
Enjoying discounts with over 450 retailers through our Reward and Recognition platform.
The freedom of a full-time, work-from-home role.
Access to co-working spaces in Sydney, Melbourne, Brisbane, and select regional cities.
Mental health support through our wellbeing platform, Unmind.
A private health insurance discount through Medibank.
Up to 8 weeks of paid parental leave.
Swag kits to celebrate key milestones in your journey with us.
Enhancing your home office with our ergonomic equipment reimbursement benefit.
Being part of one of the fastest-growing industries in Australia, improving the lives of hundreds of thousands of patients.

We are committed to facilitating a barrier-free recruitment process and work environment. If you require any accommodations, we welcome you to let us know so we can work with you to participate fully in our recruitment experience.

Show more "
Data Scientist,Montu,Australia,2024-08-20,https://au.linkedin.com/jobs/view/data-scientist-at-montu-4005547152?position=2&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=MPTR5T1wakQB7Pw11hBQBw%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description




Montu is one of Australia's leading health tech businesses and a leader in alternative health services. With operations in Australia and Europe, we take a technology-first approach to reshaping the landscape for suppliers, practitioners, pharmacies and patients.

Montu operates a fully integrated, end-to-end ecosystem of healthcare companies that touches every part of the alternative health experience, from patient care through to pharmacy dispensing, clinical education, product development, wholesale distribution and more. Our brands include Alternaleaf, UMeds, Leafio and Saged.




Recognised by the Deloitte Fast 50 as the fastest growing tech company in Australia for two years running – with revenue growth of over 26,000% and 9,000% – Montu is now the largest business of its kind outside North America.




This role is an Australia-based, fully work-from-home position, with access to co-working spaces in Sydney, Melbourne and Brisbane.




Job Description

Are you passionate about leveraging data to drive meaningful insights and strategic decisions? We are seeking a skilled and dedicated Data Scientist to join our dynamic team. In this pivotal role, you will develop and enhance our data infrastructure, focusing on SQL, Python, experimentation, and statistical analysis. Your work will be crucial in creating, evaluating, and deploying data science models that support and enhance our platform, applications, and products.




Day To Day Responsibilities

Build, validate, and deploy predictive models using SQL and Python.
Apply advanced statistical methods to solve complex problems, ensuring data systems are scalable, performant, and reliable.
Design, implement, and analyze A/B tests to evaluate changes and drive data-informed decisions.
Develop and maintain A/B testing frameworks and methodologies for use across various teams, ensuring consistency and best practices.
Engage in proactive collaboration with cross-functional teams and internal stakeholders.
Establish and maintain strong working relationships with key stakeholders, ensuring data initiatives align with the company's strategic direction.
Clearly and concisely communicate insights to a range of stakeholders.




Qualifications

Proficiency in SQL for database querying and management.
Advanced knowledge of Python for data analysis and machine learning.
Strong understanding of statistical methods and their application.
Experience with data visualization tools (e.g., Looker).
Bachelor's or Master's degree in Data Science, Statistics, Computer Science, or a closely related field.




Additional Information

You’ll be joining a highly motivated, agile team where your ideas and work will directly influence the direction and progress of an expanding global company in a hyper-growth phase. We pride ourselves on our collaborative and driven culture and offer opportunities for advancement to high achievers.




Other Benefits Include

Gaining access to SAGED courses and more through the Greenhouse learning platform, fostering continuous growth and development.
Enjoying discounts with over 450 retailers through our Reward and Recognition platform.
The freedom of a full-time, work-from-home role.
Access to co-working spaces in Sydney, Melbourne, Brisbane, and select regional cities.
Mental health support through our wellbeing platform, Unmind.
A private health insurance discount through Medibank.
Up to 8 weeks of paid parental leave.
Swag kits to celebrate key milestones in your journey with us.
Enhancing your home office with our ergonomic equipment reimbursement benefit.
Being part of one of the fastest-growing industries in Australia, improving the lives of hundreds of thousands of patients.

We are committed to facilitating a barrier-free recruitment process and work environment. If you require any accommodations, we welcome you to let us know so we can work with you to participate fully in our recruitment experience.

Show more "
Machine Learning Engineer,TheDriveGroup,Australia,2024-08-21,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-thedrivegroup-4003632631?position=3&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=goLghJYMfPXoM7oCAX0S5A%3D%3D&trk=public_jobs_jserp-result_search-card,"Machine Learning Engineer / MLOps Engineer / Data Engineer

An opportunity for an experienced Engineer to continue to build out the capability of one of Australia’s large growth organisations.




About the Job:




Machine Learning Engineer / MLOps Engineer / Data Engineer

Location: Australia (must have full work rights)

Contract: 6 months, daily rate

Work arrangement: remote working (must be based in Australia)







About the Role:




Our client, one of Australia’s large growth organisations is looking to continue scaling their Machine Learning practice. This opportunity is for a senior engineer and you will have the opportunity to continue to develop and grow your career into a lead role.




In your new position, you will be continuously working to develop the existing Data Science and ML environment. You will be building end-to- end ML solutions and will be the code owner and manage the vendor partners.




With a competitive daily rate and growth opportunity to progress to a lead role, you’ll quickly become an integral part of the team, and be part of a long-term project, as well as having a flexible work environment – you choose where you work within Australia!




Key Responsibilities:




Build end-to-end ML solutions.
Work across ML, MLOps and data engineering projects.
Consider policies and procedures.
Manage CI/CD pipelines and the code.
Collaborate with technical teams including Data Science and Data Engineering.
Manage vendor partners to scale.




We’re Looking For Someone With:




3- 5 years in Machine Learning/MLOps Engineering/Data Engineering in a commercial environment
Experience with CI/CD and code management
Experience with Python
AWS and Databricks experience is desirable
Experience in software development is desirable
Must be based in Australia







For more information, please reach out to Laura Nailard at laura@thedrivegroup.com.au




Follow Us On LinkedIn: https://www.linkedin.com/company/thedrivegroup For The Latest Tech News, New Jobs & Our $1000 'Introduce A Friend' Referral Fee

Show more "
Computer Vision Engineer,Brixio,Australia,2024-08-28,https://au.linkedin.com/jobs/view/computer-vision-engineer-at-brixio-4009303877?position=4&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=if3sz6nQMt0Z3Li3ynUQNQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Locations:

Brisbane or Sydney, Australia

Singapore

Bangkok

Work Setup: Hybrid

Start Date: ASAP

Experience: 5 to 7 years

Job Overview:

We are seeking an experienced and innovative Computer Vision Engineer to join our R&D team. This role is ideal for a hands-on professional with a startup mindset who thrives on building solutions from the ground up. As part of our team, you will play a crucial role in shaping our data science strategy, developing advanced computer vision models, and collaborating with partners to implement cutting-edge solutions.

Key Responsibilities:


Business Requirements: Understand and analyze business needs to design and develop effective computer vision solutions that align with our strategic goals
Innovation Strategy: Contribute to the continuous innovation and improvement of our product by integrating state-of-the-art computer vision techniques
Data Science Strategy: Design and implement a comprehensive data science strategy to enhance our product offerings
Model Development: Develop, test, and refine advanced computer vision models to solve complex problems and drive product innovation
Collaboration: Work closely with cross-functional teams and external partners to ensure the successful application of computer vision solutions



Requirements


Experience: 5 to 7 years in IT, digital companies, or software development, with a focus on computer vision projects
Technical Expertise: Strong experience in computer vision development and a deep understanding of the entire camera/video pipeline (lens distortion, sensor calibration, focus, etc.)
Cloud Knowledge: Familiarity with Microsoft Azure and cloud-based solutions
Data Project Management: Experience or interest in managing data projects, with a focus on practical application and customer impact
Software Skills: Proficiency in at least one coding language and experience with software release management, including tools like Git
MLOps/DevOps: Hands-on experience with MLOps and DevOps practices, including tools like Docker and Ansible
Agile Practices: Knowledgeable in agile methodologies and experienced in working within a fast-paced, collaborative team environment
Communication: Excellent communication and presentation skills, with a customer-centric approach to problem-solving
Show more "
Machine Learning Engineer,Workforce Australia for Individuals,Australia,2024-08-19,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-workforce-australia-for-individuals-4002111123?position=5&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=5V4LhDQowef5KqNPrEEn6g%3D%3D&trk=public_jobs_jserp-result_search-card,"Machine Learning Engineer (Bangkok Based, Relocation Provided)

Are you passionate about transforming travel for millions of customers worldwide?

Imagine doing that while enjoying the vibrant metro of Bangkok, one of the best places in Asia to live and work. Or from a tropical paradise a few hours away!

This opportunity is a hybrid role, offering a flexible working model. You will be part of the clients efforts to creatively increase business and implement resources such as operational and analytical databases, ML- driven solutions, queue systems, and data monitoring tools.

Who are they?

Headquartered in Bangkok, they are one of the worlds largest online travel platforms. Their team, comprising 4,000 members from 90 different nationalities, is driven by a shared passion for travel and a goal to make it more accessible. This diversity enhances their products and services by providing a better understanding of customers' needs.


Click here to view more detail / apply for Machine Learning Engineer
Show more "
Machine Learning Engineer,Nuage Technology Group,Australia,2024-08-26,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-nuage-technology-group-4005802531?position=6&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=CPQv2GviNb9rIMtMxtIrVw%3D%3D&trk=public_jobs_jserp-result_search-card,"The Company




Nuage are representing a fast-growing scale-up in the conversational AI space. This company collaborates with enterprise clients to enhance customer interactions through innovative Gen AI chat bot / voice bot solutions. They are currently in a significant growth phase and are looking for a Machine Learning Engineer to join their team.




Key Responsibilities




Develop and deploy machine learning models for chatbots and voice bots.
Collaborate with various teams to integrate ML solutions into products.
Optimize and maintain existing ML models to improve performance.
Stay updated with the latest advancements in machine learning and AI technologies.




Key Requirements




Google Cloud Platform Certified (GCP).
Proven experience with chatbots and voice bots in a machine learning context.
Strong programming skills in Python or Java.
Experience with machine learning frameworks such as TensorFlow, PyTorch, or Scikit-learn.




Your Background




Hands-on experience with GCP services like BigQuery, Dataflow, Pub/Sub, Dataprep, and Composer.
Familiarity with data engineering tools such as Apache Kafka
Knowledge of Snowflake or Databricks for data warehousing.
Experience with orchestration tools like Apache Airflow.
Strong understanding of natural language processing (NLP) and conversational AI technologies.




What’s on Offer




A true scale up opportunity while also working with some incredible enterprise clients
Opportunities for progression - pathways within ML to leadership
Competitive salary and benefits package.
The chance to work on cutting-edge AI technologies and make a significant impact.




To hear about other roles and keeping up today on the technology market trends for Australia we would love to share information with you via our website or LinkedIn page.

www.nuagetg.io & https://www.linkedin.com/company/nuage-technology-group/jobs/?viewAsMember=true

Show more "
Machine Learning Platform Engineer,Workforce Australia for Individuals,Australia,2024-08-12,https://au.linkedin.com/jobs/view/machine-learning-platform-engineer-at-workforce-australia-for-individuals-3996469078?position=7&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=KkOLIoZP6u8Qa3c4jipang%3D%3D&trk=public_jobs_jserp-result_search-card,"About The Company

My client is a leading global multinational investment bank and financial services company. It is headquartered and listed in Australian stock exchange and employs nearly staff in over 20 countries is the world's largest asset manager in infrastructure and Australia's top ranked mergers and acquisitions adviser with almost half a trillion dollars in assets under management.

About The Role

Because of their immense growth in their Machine Learning and Data Science portfolio, an exciting opportunity has come up in one of their offices in Sydney. You will be joining their elite team and playing a key role in designing, building and operating Machine Learning solutions, working closely with various stakeholders (business and technical) to help execute their data science and machine learning strategy as they embark this journey in machine learning.

IT IS A HYBRID WORK CULTURE WITH 2 DAYS IN OFFICE. YOU


Click here to view more detail / apply for Machine Learning Platform Engineer
Show more "
Senior Machine Learning Engineer,Rokt,Australia,2024-08-30,https://au.linkedin.com/jobs/view/senior-machine-learning-engineer-at-rokt-4004270485?position=8&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=GBAX7JhiqCiXBHi6lkaf7g%3D%3D&trk=public_jobs_jserp-result_search-card,"We are Rokt, a hyper-growth ecommerce leader. We enable companies to unlock value by making each transaction relevant at the moment that matters most, when customers are buying. Together, Rokt's AI-based relevance Platform and scaled ecommerce Network powers billions of transactions. In December 2022, Rokt's valuation increased to $2.4 billion USD, allowing us to expand rapidly across 15 countries.

The Rokt engineering team builds best-in-class ecommerce technology that provides personalized and relevant experiences for customers globally and empowers marketers with sophisticated, AI-driven tooling to better understand consumers. Our bespoke platform handles millions of transactions per day and considers billions of data points which give engineers the opportunity to build technology at scale, collaborate across teams and gain exposure to a wide range of technology.

At Rokt, we practice transparency in career paths and compensation.

At Rokt, we believe in transparency, which is why we have a well-defined career ladder with transparent compensation and clear career paths based on competency and ability. Rokt'stars constantly strive to raise the bar, pushing the envelope of what is possible.

We are looking for a Senior Machine Learning Engineer

Compensation: $190,000-$235,000 including superannuation, plus employee equity plan grant & world class benefits.

As a Senior Machine Learning Engineer, you are someone who has significant expertise in both machine learning and software engineering. You will be working with our engineering and product teams to design, build and productionise proprietary machine learning models to solve different business challenges including smart bidding, lookalike modelling, forecasting, etc.

About The Role


Collaborate closely with product managers and other engineers to understand business priorities, frame machine learning problems, and architect machine learning solutions.
Build and productionise machine learning models including data preparation/processing pipelines, machine learning orchestrations, improvements of services performance and reliability and etc.
Contribute and maintain the high quality of the code base with tests that provide a high level of functional coverage as well as non-functional aspects with load testing, unit testing, integration testing, etc.
Keep track of emerging tech and trends, research the state-of-art deep learning models, prototype new modelling ideas, and conduct offline and online experiments.
Share your knowledge by giving brown bags, tech talks, and evangelising appropriate tech and engineering best practices.


Requirements

About You:


PhD in Machine Learning
Extensive knowledge in and experience with Deep Learning, and at least one of the following areas - Bayesian methods, Reinforcement learning, Gradient boosting machine, Natural language processing, Computer vision, etc.
3+ years of industry experience in building production-grade machine learning systems with all aspects of model training, tuning, deploying, serving and monitoring.
3+ years of industry experience in software engineering roles and development experience in Python, SQL, Go, and/or other programming languages.
Experience with Kubernetes, Kubeflow, TFX and Feature Store in a production environment is a massive plus.
Bonus points if you are familiar with any of the following architectures or have experience with the models mentioned in this benchmark: DCNV2, MMOE, Deep & Wide, ESMM, xDeepFM, and GDCN.


Benefits

About Rokt'stars:

As a mission-driven, hyper-growth community of curious explorers, our ambition is to unlock the full potential in ecommerce and beyond. Our bias for action means we are not afraid to quickly venture into uncharted territories, take risks or challenge the status quo; in doing so we either win or learn. We work together as one aligned team never letting egos get in the way of brilliant ideas. We value diversity, transparency and smart humble people who enjoy building a disruptive business together. We pride ourselves on being a force for good as we make the world better.

About The Benefits

We leverage best-in-class technology and market-leading innovation in AI and ML, with all of that being underlined by building and maintaining a fantastic and inclusive culture where people can be their authentic selves, and offering a great list of perks and benefits to go with it:


Accelerate your career. We offer roadmaps to leadership and an annual $5000 training allowance
Become a shareholder. Every Rokt'star gets equity in the company
Enjoy catered lunch every day and healthy snacks in the office. Plus join the gym on us!
Extra leave (bonus annual leave, sabbatical leave etc.)
Work with the greatest talent in town
See the world! We have offices in New York, Seattle, Sydney, Tokyo and London


We believe we're better together. We love spending time together and are in the office most days (teams are in the office 4 days per week). We also get that you need to balance your life and your commitments so you have the flexibility to manage your own hours and can spend up to a week of every quarter working from anywhere.

If this sounds like a role you'd enjoy, apply here and you'll hear from our recruiting team.
Show more "
Data Scientist & Mathematician,Workforce Australia for Individuals,Australia,2024-08-03,https://au.linkedin.com/jobs/view/data-scientist-mathematician-at-workforce-australia-for-individuals-3990041148?position=9&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=NtphSeTkTtddtd6ObT9%2BaA%3D%3D&trk=public_jobs_jserp-result_search-card,"Seeking a mathematician with expertise in Python/R for an academic candidate with exceptional university results

Your New Organisation

We are seeking a highly academic data scientist with mathematical pedigree from a leading university to work in a small firm with offices across Australia, Europe, and Asia.

The company is made up of mathematicians, statisticians and software engineers who are incredibly delivery focused, working with huge data sets for their clients. The team is dedicated to rewarding hard work and innovative ideas, focusing on algorithmic trading.

Your New Role

Working with Senior Mathematicians in the Sydney office, we are seeking a recent graduate or professional with a couple of years' experience in data science. The ideal candidate will have a degree in Maths, Data Analytics, Engineering, Actuarial or Physics.

Large sets of legacy data are cleansed and structured overseas and then shipped to Sydney where you will be working on building models and predictive analytics. Data cleansing, introducing factors and regression modelling will be part of the role, and you will ideally have experience extracting large data sets and working closely with programmers.

What You'll Need To Succeed


A background in anything 'Maths heavy'; such as Mathematics, Physics, Actuarial or Data Science
Highly academic with excellent university results, ideally from a leading university (WAM 85+ / High Distinction / First Class Honours / A / High GPA Equivalent)
Proficiency in R and SQL, with strong coding skills and willingness to complete a coding challenge
Experience with statistical forecasting
A passion for problem-solving and complex mathematics


What You Need To Do Now

To find out more about this opportunity, please contact Marcus Castle using the details below:

T: 02 9249 2285

E: marcus.castle@hays.com.au

Please click here to apply.
Show more "
Machine Learning Engineer,Conqr,Australia,2024-08-30,https://au.linkedin.com/jobs/view/machine-learning-engineer-at-conqr-4012357617?position=10&pageNum=0&refId=pccYfrFkwzmgbFTfZvRp3g%3D%3D&trackingId=PezupBw7EVOq3Pk5B0Rnww%3D%3D&trk=public_jobs_jserp-result_search-card,"•        135k base + Super + Company Shares

•        Sydney based opportunity, 50/50 hybrid

•        Great opportunity for a Machine Learning Engineer to join a growing industry




Your duties

Our client is a leader in the B2B lead generation market for Australian Tradesman, and currently looking for an experienced Machine Learning Engineer with a strong AI & Machine Learning background.

Working with a skilled data team, you’ll design and deploy data products, develop machine learning capabilities, and contribute to our client’s commercial strategy.




About you

To excel in this role, you be an established Machine Learning Engineer, who lives and breathes AI/ML/DL methodologies and statistics. More specifically we are looking for:




•        3+ years’ experience as a Machine Learning Engineer

•        Python & SQL

•        Must have production experience

Other advantageous (but not mandatory) experience would be experience with DBT, Databricks, Kubernetes/Docker and deep learning (PyTorch)  




What’s in it for you

In return, our client offer a team focused environment, where you can enjoy paid Friday night socials twice a month, access to their Employee Assistance Program and an inclusive environment that also offers:




• A competitive package, including employee share program

• Hybrid working, with only 50% office attendance required

• A short walk from Town Hall station, where you can enjoy free fresh fruit & continental style breakfast

• Career progression opportunities to join a growing team 

Show more "
