title,company,location,date,link,description
Data Scientist,MCG Talent,Dubai,2024-08-25,https://ae.linkedin.com/jobs/view/data-scientist-at-mcg-talent-4007489839?position=1&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=Z9g3aCc9l7ukEnGmiy0McQ%3D%3D&trk=public_jobs_jserp-result_search-card,"We are seeking a highly skilled Data Scientist to join our client's team.




The ideal candidate will possess a strong foundation in data analysis, statistical modeling, and machine learning. You will be responsible for extracting valuable insights from data, developing predictive models, and supporting data-driven decision-making.




Key Responsibilities:

Develop and implement data-driven solutions to address business challenges.
Conduct data analysis, including data cleaning, preparation, and exploration.
Build and deploy predictive models using machine learning techniques.
Communicate findings and insights to stakeholders in a clear and concise manner.
Collaborate with cross-functional teams to integrate data-driven insights into business processes.
Stay up-to-date with the latest data science trends and technologies.




The Ideal Candidate:

Advanced degree in data science, statistics, computer science, or a related field.
Strong programming skills (Python, R, SQL).
Experience with data mining and machine learning techniques.
Proficiency in data visualization tools.

Show more "
Business Analyst,S.S.Lootah Group,Dubai,2024-08-31,https://ae.linkedin.com/jobs/view/business-analyst-at-s-s-lootah-group-4012282253?position=2&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=pFuoHhFzuYpU%2BILV%2Fmk8sg%3D%3D&trk=public_jobs_jserp-result_search-card,"Position Overview:

We are seeking a detail-oriented and analytical Business Analyst to join our dynamic team. The successful candidate will be responsible for analyzing business needs, identifying business problems, and proposing solutions that deliver value to our organization. As a Business Analyst, you will bridge the gap between shared services and business units by using analytics and business data to assess processes, determine requirements, and deliver data-driven recommendations and reports to stakeholders.




Key Responsibilities:

Collaborate with Department heads and business unit heads to follow up on their report submission weekly, monthly, quarterly, semiannually and annually.
Review the reports as and when received, analysis and communicate with the executive management.
Prepare project feasibility reports, business model, assisting in marketing plan.
Assist in documentation for IMS (Integrated Management System).
Conduct detailed analysis of business processes to identify areas for improvement.
Gather, document, and analyze business requirements and specifications.
Develop and present data-driven reports and solutions to stakeholders and management.
Facilitate workshops and meetings to gather and validate business requirements.
Monitor the implementation of business solutions to ensure successful execution.

Qualifications:

Bachelor’s degree in Business Administration, Information Technology, Finance, or a related field.
Proven experience as a Business Analyst or in a similar analytical role.
Strong analytical, problem-solving, and decision-making skills.
Proficiency in data analysis and business intelligence tools (such as SQL, Power BI, Tableau).
Excellent communication and interpersonal skills.
Ability to manage multiple tasks and prioritize effectively in a fast-paced environment.
Detail-oriented with a strong focus on quality.

Benefits:

Competitive salary and benefits package.
Opportunity for professional growth and development.
Work in a supportive and collaborative team environment.
Engage in meaningful projects that have a significant impact on business outcomes.

Show more "
Data Scientist,Asiacell Communications PJSC,Dubai,2024-08-21,https://ae.linkedin.com/jobs/view/data-scientist-at-asiacell-communications-pjsc-4004901147?position=3&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=qdL39z9PPS2ykLoStOMWNg%3D%3D&trk=public_jobs_jserp-result_search-card,"Position: AI & Data Scientist Expert

Business Unit: Commercial/ CVM

Location: Based in Iraq, Sulaymaniyah City




Job Purpose:

As the Artificial Intelligence & Data Scientist, main role is to execute end-to-end Data Science and AI models. Leading the charge, you'll develop and deploy AI-powered solutions encompassing Natural Language Processing (NLP), text analytics, speech analytics, vision technologies, and GenAI solutions.

Ensuring the delivery of top-notch projects that yield substantial business value through various Data Science models such as Recommendation Engines, propensity models, and diverse segmentation techniques will also be your responsibility.

Furthermore, play a pivotal role in driving initiatives related to data monetization strategies and identifying fresh business prospects by leveraging AI and data analytics to uncover potential revenue streams.




Key Accountabilities:

Drive data utilization for business growth and foster data-driven decision-making.
Develop and deploy various AI & DS models for revenue generation, cost reduction, and operational enhancement.
Collaborate with diverse teams to devise innovative data products for B2C and B2B markets.
Conduct comprehensive business analysis to provide insights for strategic decision-making.
Perform data pre-processing, feature engineering, and exploratory data analysis.
Build ETL pipelines to transform unstructured data into suitable formats.
Develop automated analytics solutions and APIs for data access and integration.
Deal with various data formats and apply techniques for data enrichment.
Integrate with big data ecosystems and optimize SQL queries.
Utilize tools like Airflow/ MLFlow for automated data pipelines and statistical methods for transformation.
Support data initiatives and ensure consistent data delivery architecture.
Implement advanced ML algorithms and statistical models for actionable insights.
Communicate findings through data visualizations, reports, and presentations.
Ensure data quality, integrity, and flow while finding relevant data sources.
Propose solutions and strategies for business problems and drive adoption of Generative AI solutions.
Implement image processing techniques and deploy speech analytics solutions.
Spearhead efforts to monetize telecom data and forge strategic partnerships.
Collaborate with business development teams to incorporate data-driven insights.
Uphold data privacy and compliance standards.
Collaborate with engineering and product teams to integrate AI & DS solutions.
Evaluate and monitor AI & DS practice performance and propose recommendations.
Work on assigned duties related to the role.




Pre-requisites:- Education background & Experience background:

BS Computer Science, Information Management, Statistics or closely related field
Language skills: English
6-8 years of experience
Excellent problem solving and analytical skills




Technical Competencies:

Machine Learning / Artificial Intelligence
Pyhton
Digital Analytics
Network Analytics
Visualization tool (Power BI or tableau)
SQL
SAS Enterprise Guide
Big Data Platforms
Generative AI
NLP
Show more "
Data Scientist - Operations Research,Flatgigs,Dubai,2024-08-13,https://ae.linkedin.com/jobs/view/data-scientist-operations-research-at-flatgigs-4000032747?position=4&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=3HpJNODNPA%2FkZhjOqxBKZg%3D%3D&trk=public_jobs_jserp-result_search-card,"Calling all data scientists living with a passion for cracking the code in ops research! Trouve Labs is on the hunt for one just like you to join their Research Division in deep tech. Read on for a preview of our team dynamics see if this role is for you:

Key Responsibilities:


Develop/refine mathematical models for complex optimization problems, with expertise in linear & dynamic programming techniques.
Apply optimization methods for operational challenges, with route planning and resource allocation, utilizing Python for algorithm implementation.
Examine data to identify patterns, constraints, and opportunities for process improvement, using Python for data analysis and manipulation.
Evaluate optimization solutions and algorithms focusing on relevant metrics and goals.
Customize optimization models to meet specific business requirements & unique constraints.
Collaborate with cross-functional teams to integrate optimization solutions into operations.
Document methodologies, findings, and solution implementations clearly and concisely.
Stay updated on the latest operations research techniques, industry trends, and emerging best practices.



Requirements

Optimization Techniques: Expertise in linear and dynamic programming techniques and their application to real-world operational challenges.

API Development: Experience in developing and integrating APIs to enable seamless data exchange and functionality within applications.

Embedded Systems: Knowledge of embedded systems to optimize and improve hardware-software integration.

MLOps: Familiarity with MLOps for streamlining machine learning model development, deployment, and monitoring processes.

Frontend Development: Understanding of frontend development to ensure smooth user interfaces for interacting with optimization models and solutions.

Deployment: Experience in deploying optimization solutions and algorithms into production environments.

Benefits

So what's good?


No bosses, no hierarchy - we are as flat as they come
Unlimited annual leave
No one judges you with your experience or degree or nationality, gender, sexual orientation nor religion. Or what you wear
ESOP for those who qualify (shares)
You get to bloom and flourish in an environment that gives you every chance that you didn't get before
We love making mistakes and learn from them
Plenty of support to develop and grow



About the Company:

Trouve Labs is not just a company - we're a unicorn galloping towards decacorn status! We're all about breaking boundaries and rewriting the rules as part of an ecosystem that's akin to a movement, and a force to be reckoned with in tech. Join us and benefit from ESOP opportunities, because we believe in sharing the wealth (literally!). Financial equality and social mobility are not just words to us, they're a way of life. We value innovation, diversity, and providing opportunities for unlimited growth, personally and professionally. So get ready to make your mark, with Trouve Labs!

Job Type: Full-time

Language:


English (Required)
Arabic (Preferred)


Ability to Commute:


Dubai (Preferred)


Ability to Relocate:


Dubai: Relocate before starting work (Required)
Show more "
Machine Learning Engineer,Edison Smart®,Dubai,2024-08-30,https://ae.linkedin.com/jobs/view/machine-learning-engineer-at-edison-smart%C2%AE-4011607580?position=5&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=dDJzOG3qOcoUqgVkaD1Mhg%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description:

We are looking for a Machine Learning Engineer to join our clients team in Dubai, focusing on developing and enhancing their AI-powered analytics platform. As a key contributor, you will design and implement machine learning models that deliver valuable insights from large datasets, helping businesses make data-driven decisions. This role requires strong expertise in machine learning, data processing, and a passion for innovation in AI technologies.




Key Responsibilities:




Design, develop, and deploy machine learning models for our analytics platform.
Collaborate with data scientists and engineers to preprocess and analyze large datasets.
Optimize algorithms for performance and scalability.
Implement and monitor model performance in production environments.
Stay up-to-date with the latest advancements in machine learning and AI technologies.
Contribute to the continuous improvement of our platform’s analytics capabilities.

Qualifications:




Bachelor’s or Master’s degree in Computer Science, Data Science, Machine Learning, or a related field.
5+ years of experience in machine learning or data science roles.
Proficiency in Python, TensorFlow, PyTorch, or similar ML frameworks.
Strong understanding of data preprocessing, feature engineering, and model evaluation.
Experience with cloud platforms (AWS, Azure, GCP) is a plus.
Ability to work collaboratively in a fast-paced environment.

Show more "
Product Research Analyst,TalentFusion Solutions,Dubai,2024-08-31,https://ae.linkedin.com/jobs/view/product-research-analyst-at-talentfusion-solutions-4012357956?position=6&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=UWubOtVh1BtZzI7lpvFA0A%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description

We are looking for an experienced Freelance Product Research Analyst who will conduct thorough research and analysis to uncover insights into consumer preferences, market trends, and competitive landscapes. This role offers the flexibility to work remotely, allowing you to manage your schedule while delivering actionable insights that inform our product development decisions.

Key Responsibilities:


Market Analysis: Conduct comprehensive research on consumer preferences, market trends, and competitive products. Utilize qualitative and quantitative research methods to gather and analyze data.
Consumer Insights: Gather insights into consumer behaviors, needs, and preferences through surveys, interviews, and focus groups. Translate findings into actionable recommendations for product development.
Competitive Analysis: Analyze competitor products, pricing strategies, and market positioning. Identify strengths, weaknesses, opportunities, and threats to our product portfolio.
Trend Identification: Monitor industry trends, technological advancements, and emerging consumer preferences. Provide insights and recommendations for innovative product features and improvements.
Data Interpretation: Analyze complex datasets to extract meaningful insights and trends. Use statistical tools and data visualization techniques to present findings effectively.
Reporting: Prepare clear and concise reports and presentations summarizing research findings and strategic recommendations. Present findings to stakeholders and collaborate with cross-functional teams.
Collaboration: Work closely with product development, marketing, and sales teams to align research findings with product strategies and business objectives.
Project Management: Manage multiple research projects simultaneously, ensuring timely delivery and adherence to quality standards.


Qualifications:


Experience: Entry- Level
Education: Bachelor’s degree in Marketing, Business Administration, Economics, Psychology, or a related field. Advanced degree (Master’s) preferred.
Research Skills: Proficiency in qualitative and quantitative research methodologies, including survey design, interviews, and data analysis tools.
Analytical Abilities: Strong analytical skills with the ability to interpret data, identify trends, and make data-driven recommendations.
Communication Skills: Excellent written and verbal communication skills. Ability to present complex information in a clear and actionable manner.
Detail-Oriented: High attention to detail and accuracy in data collection, analysis, and reporting.
Team Player: Strong interpersonal skills and the ability to collaborate effectively with team members and stakeholders.


Benefits:


Competitive project-based compensation.
Remote work flexibility.
Opportunity to contribute to innovative product development projects.
Collaborative and supportive team environment.
Professional development opportunities.


Application Process:

If you are passionate about product research and analysis and have a track record of delivering actionable insights that drive successful product launches, we encourage you to apply.
Show more "
Data Scientist,Cognizant,Dubai,2024-08-30,https://ae.linkedin.com/jobs/view/data-scientist-at-cognizant-4011999510?position=7&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=Q1HqXb0g0O1BC20wYyIOmQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Summary

We are seeking a highly skilled Data Scientist with 7 to 9 years of experience to join our team. The ideal candidate will have expertise in Power BI Tableau Python and Java. Experience in New Product Development within the T&H domain is a plus. The candidate will play a crucial role in analyzing complex datasets developing predictive models and providing actionable insights to drive business decisions.

Responsibilities


Analyze large and complex datasets to identify trends and patterns that can inform business decisions.
Develop predictive models using advanced statistical techniques and machine learning algorithms.
Create and maintain dashboards and reports using Power BI and Tableau to visualize data insights.
Collaborate with cross-functional teams to understand business requirements and translate them into data-driven solutions.
Implement data processing and transformation pipelines using Python and Java.
Provide actionable insights and recommendations to stakeholders based on data analysis.
Ensure data quality and integrity by performing regular data validation and cleaning.
Lead the development of new data products and features to enhance business capabilities.
Conduct A/B testing and other experiments to evaluate the impact of different strategies.
Stay updated with the latest industry trends and technologies in data science and analytics.
Mentor and guide junior data scientists in best practices and advanced techniques.
Communicate complex data findings in a clear and concise manner to non-technical stakeholders.
Contribute to the continuous improvement of data science processes and methodologies.


Qualifications


Possess a strong background in Power BI Tableau Python and Java.
Have experience in New Product Development within the T&H domain is a plus.
Demonstrate excellent analytical and problem-solving skills.
Showcase strong communication and collaboration abilities.
Exhibit a proactive and innovative approach to data science challenges.
Hold a degree in Computer Science Statistics or a related field.
Have a proven track record of delivering impactful data-driven solutions.
Show more "
Operations Officer,Rentokil Initial,Dubai,2024-08-07,https://ae.linkedin.com/jobs/view/operations-officer-at-rentokil-initial-3995286085?position=8&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=UdJQf5EpdJfdDjZDzsdtBw%3D%3D&trk=public_jobs_jserp-result_search-card,"The Operations Officer plays a critical role in ensuring the smooth and efficient operations of Rentokil Boecker. They are responsible for scheduling appointments, coordinating dispatching of teams, and monitoring the execution of pest management services according to company standards. The Operations Officer also focuses on delivering exceptional customer experiences and building strong client relationships.

The Key Responsibilities Of The Operations Officer Include


Implementing the standards outlined in the Rentokil Boecker Operations Manual
Scheduling appointments based on client availability
Managing and optimizing the appointment schedule to minimize pending appointments
Ensuring proper availability and usage of chemicals and equipment
Confirming teams are equipped with necessary tools and personal protective equipment (PPE)
Maintaining and managing vehicles and equipment maintenance
Conducting field spot checks to ensure compliance and maintain Rentokil Initial's brand image
Visiting clients to gather feedback, address concerns, and maintain client satisfaction
Providing guidance and support to technicians on pest control, pest proofing, and client communication
Collaborating with Sales Consultants and supervisors to conduct surveys and determine appropriate pest treatments
Reporting and documenting key data and submitting reports to the management


The Operations Officer must have strong organizational skills, attention to detail, and the ability to lead and manage a team effectively. They should possess excellent communication and problem-solving skills to deliver exceptional service to clients. Proficiency in Microsoft Office and CRM tools is required for efficient operations management.

Requirements


Bachelor's Degree in Business Administration, Agribusiness, Environmental Science, or equivalent
Minimum of 4 years of experience in Operations, Logistics, or a relevant field
Strong leadership and team management abilities
Customer service skills and a client-oriented mindset
Proficiency in Microsoft Office and CRM tools
Excellent communication and problem-solving skills
Proactive, resilient, and attention to detail
Show more "
Strategy Analyst,MCG Talent,Dubai,2024-08-11,https://ae.linkedin.com/jobs/view/strategy-analyst-at-mcg-talent-3997437027?position=9&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=t%2BEYU3HujQxraUC2LXxD9g%3D%3D&trk=public_jobs_jserp-result_search-card,"The ideal candidate will possess strong problem-solving skills and a passion for data-driven decision making. You will be responsible for conducting in-depth research, developing strategic insights, and supporting the development and execution of business plans.




Previous experience working as an analyst in a consulting/agency environment is required to be considered for this position.




Key Responsibilities:

Conduct market research and industry analysis to identify trends and opportunities.
Develop strategic plans and recommendations to drive business growth and improve performance.
Perform data analysis to uncover insights and inform decision-making.
Build financial models and conduct cost-benefit analyses.
Prepare clear and concise reports and presentations to communicate findings to stakeholders.
Collaborate with cross-functional teams to implement strategic initiatives.
Support business development activities by providing strategic insights.




The Ideal Candidate:

Strong analytical skills and ability to translate data into actionable insights.
Excellent problem-solving and critical thinking skills.
Proficiency in data analysis tools and software.
Strong communication and presentation skills.
Ability to work independently and as part of a team.
Experience in developing and executing strategic plans.

Show more "
Data Analyst,Schneider Electric,Dubai,2024-08-27,https://ae.linkedin.com/jobs/view/data-analyst-at-schneider-electric-4008362200?position=10&pageNum=0&refId=TxxtDkwRIK8o680uSOtwOQ%3D%3D&trackingId=qyjfZwvcZfBBP6L2KbxjHQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Overview:

Under Schneider Electric’s Energy Management Business, Ecommerce & Distribution is a ~20.0B€ revenue channel addressing our customers, mostly through distributors. To support Ecommerce & Distribution growth in China and IO, a dedicated Analytics organization was set in 2021. Its objective is to build and Scale Analytics Capabilities to deliver the best End-to-End buying experience for customers.

We are seeking a highly skilled Data Analyst who can bridge the gap between business needs and technical solutions. The ideal candidate will have a strong analytical mindset, excellent communication skills, and the ability to translate business requirements into actionable insights and specifications for developers.

Responsibilities:


Business Requirement Analysis:
Collaborate with business stakeholders to gather, understand, and document detailed business requirements.
Conduct in-depth analysis to identify key business problems and opportunities.
Data Analysis:
Extract, clean, and analyze large datasets to generate insights that support business objectives.
Utilize statistical methods and tools to identify trends, patterns, and anomalies.
Translation of Requirements:
Translate business requirements into technical specifications for developers.
Develop clear and detailed documentation including data models, workflows, and process diagrams.
Collaboration:
Work closely with developers to ensure technical solutions align with business needs.
Act as a liaison between business stakeholders and technical teams to ensure seamless communication and project delivery.
Reporting and Visualization:
Create and maintain reports, dashboards, and visualizations to communicate insights effectively to both technical and non-technical audiences.
Present findings and recommendations to stakeholders in a clear and concise manner.
Quality Assurance:
Validate data integrity and accuracy of reports and analytical models.
Perform data quality checks and troubleshoot any discrepancies.
Continuous Improvement:
Identify areas for process improvement and propose solutions to enhance data analysis and reporting capabilities.

Stay updated with the latest industry trends and best practices in data analysis and business intelligence


Education:
Bachelor’s degree in Computer Science, Information Systems, Business, Statistics, or a related field. Master’s degree preferred.
Experience:
Proven experience as a Data Analyst or in a similar role, with a strong emphasis on translating business requirements into technical specifications.
Proficiency in data analysis tools and languages such as SQL, Python, R, and Excel.
Experience with data visualization tools such as Tableau, Power BI, or similar.
Skills:
Strong analytical and problem-solving skills.
Excellent communication and interpersonal skills.
Ability to work effectively in a team-oriented environment.
Detail-oriented with a strong focus on data accuracy and quality.
Familiarity with software development processes and methodologies.
Certifications:
Relevant certifications in data analysis, business analysis, or related areas are a plus.

Working Conditions:


This position may require occasional travel to meet with business stakeholders and technical teams.
Flexible working hours may be required to accommodate project deadlines and collaboration across time zones.


Let us learn about you! Apply today.

You must submit an online application to be considered for any position with us. This position will be posted until filled.

Looking to make an IMPACT with your career?

When you are thinking about joining a new team, culture matters. At Schneider Electric, our values and behaviors are the foundation for creating a great culture to support business success. We believe that our IMPACT values - Inclusion, Mastery, Purpose, Action, Curiosity, Teamwork - starts with us.

IMPACT is also your invitation to join Schneider Electric where you can contribute to turning sustainability ambition into actions, no matter what role you play. It is a call to connect your career with the ambition of achieving a more resilient, efficient, and sustainable world.

We are looking for IMPACT Makers; exceptional people who turn sustainability ambitions into actions at the intersection of automation, electrification, and digitization. We celebrate IMPACT Makers and believe everyone has the potential to be one.

Become an IMPACT Maker with Schneider Electric - apply today!

€36 billion global revenue

+13% organic growth

150 000+ employees in 100+ countries

#1 on the Global 100 World’s most sustainable corporations

You must submit an online application to be considered for any position with us. This position will be posted until filled.

Schneider Electric aspires to be the most inclusive and caring company in the world, by providing equitable opportunities to everyone, everywhere, and ensuring all employees feel uniquely valued and safe to contribute their best. We mirror the diversity of the communities in which we operate, and ‘inclusion’ is one of our core values. We believe our differences make us stronger as a company and as individuals and we are committed to championing inclusivity in everything we do. This extends to our Candidates and is embedded in our Hiring Practices.

You can find out more about our commitment to Diversity, Equity and Inclusion here and our DEI Policy here

At Schneider Electric, we uphold the highest standards of ethics and compliance, and we believe that trust is a foundational value. Our Trust Charter is our Code of Conduct and demonstrates our commitment to ethics, safety, sustainability, quality and cybersecurity, underpinning every aspect of our business and our willingness to behave and respond respectfully and in good faith to all our stakeholders. You can find out more about our Trust Charter here

Schneider Electric is an Equal Opportunity Employer. It is our policy to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct.


Show more "
