title,company,location,date,link,description
Junior Data Scientist AI Academy,statworx,Germany,2024-08-31,https://de.linkedin.com/jobs/view/junior-data-scientist-ai-academy-at-statworx-3987809855?position=1&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=352QsPIeVEvBELiX8pcYUw%3D%3D&trk=public_jobs_jserp-result_search-card,"Über uns

statworx ist ein führendes Beratungs- und Entwicklungsunternehmen für Daten und KI mit Sitz in Frankfurt am Main. Wir bieten strategische Beratung für mittelständische Unternehmen und globale Konzerne. Wir entwickeln innovative Daten- & KI-Lösungen für alle Unternehmensbereiche und Tätigkeitsfelder. Wir befähigen Menschen auf allen Kompetenzniveaus mit unseren Daten- & KI-Bildungsformaten. Kurz gesagt: Wir unterstützen Unternehmen bei allen Aspekten der digitalen Transformation – seit mehr als 10 Jahren, in über 500 Daten- & KI-Projekten und für über 100 Kunden aus fast allen Industrien.

Seit 2011 haben wir in unserer statworx AI Academy weltweit bereits über 15.000 Personen in den Themengebieten Data Science, künstliche Intelligenz und Machine Learning weitergebildet. Von kleinen Trainingseinheiten & Einstiegsprogrammen bis zu langfristigen und globalen Schulungskonzepten und Data Culture Initiativen für unsere Kunden im DAX-Umfeld, bieten wir ein vielfältiges und maßgeschneidertes Portfolio an. Unser Anspruch ist es, stetig am Puls der Zeit zu sein (aktuell u.A. Generative KI, Large Language Models und Data Culture) und unsere Trainingsmethoden konstant weiterzuentwickeln. Zum weiteren Aufbau unseres Teams und Schulungsangebotes suchen wir derzeit nach Verstärkung.

Deine Aufgaben


Du unterstützt uns bei der Beratung unserer (potenziellen) Kunden aus verschiedenen Industrien hinsichtlich des Einsatzes von Trainings zur Fortbildung ihrer Mitarbeitenden in den Themenfeldern Daten, Machine Learning, AI und Cloud
Du wirkst bei der Entwicklung und Durchführung von spannenden AI Workshops für verschiedene Zielgruppen (Projektmanager:innen und Expert:innen) mit
Du unterstützt bei der Entwicklung von neuen Trainingskonzepten und -inhalten und konzipierst interaktive Aufgaben u.a. für Themenbereiche wie künstliche Intelligenz, Generative KI, Data Science, Machine Learning, Cloud, Business Intelligence und Coding
Du sondierst den Markt für AI und Cloud-Trainings und unterstützt uns dabei, vielversprechende Zukunftsfelder zu identifizieren und so unseren Mitbewerber:innen stets einen Schritt voraus zu sein


Dein Profil


Du hast Dein Masterstudium im Bereich Data Science, Wirtschaftsinformatik, Mathematik, Statistik, Wirtschaftswissenschaften, o.ä. erfolgreich abgeschlossen
Im Rahmen Deines Studiums und/oder studentischer Tätigkeiten konntest Du bereits erste theoretische und idealerweise auch praktische Erfahrungen in den Bereichen Statistik, Data Science, Machine Learning, Cloud oder AI sammeln
Weiterhin verfügst Du über gute Kenntnisse in der Programmiersprache Python
Du begeisterst dich sehr für die Themenfelder Digitalisierung, Big Data und AI und hast Freude daran, diese Begeisterung mit anderen zu teilen
Du zeigst herausragende konzeptionelle und analytische Fähigkeiten
Dir macht es Spaß, komplexe Sachverhalte strukturiert grafisch und verbal aufzubereiten und an andere Personen zu vermitteln
Du bist kommunikationsstark, verfügst über sehr gute Deutsch- und Englischkenntnisse (mindestens C1, in Wort und Schrift) und fühlst dich wohl, Schulungen in beiden Sprachen zu halten
Du hast Freude daran, gelegentlich Reisen zu unseren Kunden im europäischen Raum zu unternehmen


Das bieten wir Dir


Die Möglichkeit, die Weiterentwicklung unseres Schulungsportfolios aktiv mitzugestalten und mit innovativen Methoden dazu beizutragen, anspruchsvolle und komplexe Themen wie AI und Data Science verständlich und erlebbar zu machen 
Umfassende eigene methodische und persönliche Weiterentwicklungsmöglichkeiten inklusive regelmäßiger interner Schulungsangebote sowie eines individuellen Weiterbildungsbudgets
Kreative Zusammenarbeit und kurze Entscheidungswege und -prozesse, gepaart mit einer agilen Arbeitsweise  
Flache, teambasierte Hierarchien und ein freundschaftliches Arbeitsklima
Kurze Entscheidungswege und -prozesse, gepaart mit einer agilen Arbeitsweise und regelmäßigem Feedback
Ein offenes, integratives, chancengleiches Arbeitsumfeld
Faires Gehalt: es erwarten dich transparente Gehaltsstufen, welche wir regelmäßig an Marktentwicklungen anpassen
Eine Arbeitswoche nach dem 4:1-Modell, bei dem wir uns an 4 Tagen pro Woche auf unsere Kerntätigkeiten konzentrieren und 1 Tag pro Woche für unsere individuelle und organisatorische Weiterentwicklung verwenden (z. B. durch Schulungen, teamübergreifende Arbeitsgruppen) 
Ein modernes, hochwertig eingerichtetes Office das zum Austauschen und Verweilen einlädt, sowie die Möglichkeit flexibel auch von anderen Orten zu arbeiten, darunter auch bis zu 6 Wochen aus dem EU-Ausland
Stark ermäßigtes Jobticket Deutschland sowie kostengünstig Zugang zu einer Vielzahl von Sport- und Wellnessangeboten (Wellpass)
Und viele weitere Benefits, wie z. B. Apple IT-Equipment (MacBook Pro), regelmäßige Team-Events, Employee Discounts, Kinderbetreuungsunterstützung, kostenfreie Getränke und Snacks


Deine Bewerbung

Bewirb Dich einfach über das Bewerbungsformular und hänge Deinen aktuellen Lebenslauf an. Wir werden uns anschließend umgehend bei Dir melden. Bei Fragen rund um Deine Bewerbung oder die verschiedenen Einstiegsmöglichkeiten erreichst Du uns telefonisch unter +49-(0)69-6783-0676-5 oder unter jobs@statworx.com.

Was für uns besonders wichtig ist: Wir schätzen die Einzigartigkeit jedes Menschen und begegnen einander stets auf Augenhöhe. Unterschiedliche Hintergründe, Einstellungen und Ideen bereichern uns und bilden die Grundlage unseres Erfolgs. Daher freuen wir uns über jede Bewerbung – unabhängig von Geschlecht, Nationalität, ethnischer und sozialer Herkunft, Religion, Weltanschauung, Behinderung, Alter sowie sexueller Orientierung und Identität.
Show more "
Data Scientist,MetrixLab,Germany,2024-08-12,https://de.linkedin.com/jobs/view/data-scientist-at-metrixlab-3975188741?position=2&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=vTdBBbuG1i1MzywnANNdiw%3D%3D&trk=public_jobs_jserp-result_search-card,"About Us:

MetrixLab is a fast-growing global market research and insights company that’s challenging the status quo of insights. By blending evolving technology with passionate experts, MetrixLab helps global and local brands to drive more impact, and forges partnerships to drive sustainably equitable growth. From creative testing to brand tracking, and packaging to e-commerce optimization, MetrixLab’s range of solution suites adapts to fit all types of budgets, timelines and business needs.




Active in more than 90 countries, MetrixLab is a proud partner to more than half of the world’s top 100 brands and part of Toluna.




About the role:

Would you like to become part of a rapidly growing team with an exceptional client roster? We are seeking an ambitious Data Scientist to help drive the success and continued growth of MetrixLab. Primary objective of the role is to help the team design and deliver new analytical solutions to help our roster of clients.




To realize these commercial targets, you will:

Develop and execute marketing research analytical models
Help generate new data driven insights for clients.
Ensure a best fit solution that aligns with the client objective by providing analytic consulting and primary market research expertise
Know the methodology for each analytic techniques and communicate data insights and findings from them
Drive standardization and automation through ML-ops.




Competencies:

Degree in Engineering/Maths/Physics
5 years of experience with common marketing data science analyses, such as e.g. conjoints, max-diffs, drivers analysis, dimensionality reduction etc.
Very good command of English




What do we offer?

A challenging position in a dynamic, fast-paced, innovative, quickly growing global company.
A flexible work environment with a focus on owning and taking pride in your work.
(International) growth opportunities in line with your career ambitions and passions.
An open-culture work environment staffed with ambitious colleagues with “can-do” mentalities.
Global onboarding and frequent internal training and sharing opportunities.
Our employees have exclusive access to Udemy Business. With our company license, you have unlimited access to all external courses.
A competitive salary package including a good pension scheme, 25 paid days of leave, and full travel reimbursement (yes, that includes cycling!).

Show more "
Data Scientist,Venquis,Germany,2024-08-29,https://de.linkedin.com/jobs/view/data-scientist-at-venquis-4010845399?position=3&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=qHmOkAMvj1ymUvZl5Hjwbw%3D%3D&trk=public_jobs_jserp-result_search-card,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.

Responsibilities

Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Collaborate with engineering team to bring analytical prototypes to production
Generate actionable insights for business improvements




Qualifications




Bachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
At least 1 - 2 years' of experience in quantitative analytics or data modeling
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Fluency in a programming language (Python, C,C++, Java, SQL)
Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)

Show more "
AI Data Scientist,WeDoData,Germany,2024-08-02,https://de.linkedin.com/jobs/view/ai-data-scientist-at-wedodata-3990808596?position=4&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=32VeRCyuv5RMCY9WjvlZ7w%3D%3D&trk=public_jobs_jserp-result_search-card,"AI Data Scientist




If you are an open minded, driven individual looking to make an impact in a result driven environment, carry on reading!




We are looking for someone with a passion for Data science/AI excited to start their new challenge within a business that looks after their members and believes in work life balance.




Key responsibilities

Programming AI programs
Analysis and further use of data
Data-based development of machine learning programs
Implementation of AI tasks
Training and capacity building in artificial intelligence
Testing new tools and applications







Requirements

Preferably background in finance/banking/stock exchange.
Proven in-depth experience in artificial intelligence, data analytics and machine learning
A high degree of creativity, ambition and goal orientation
Very good organizational skills
Structured and detail-oriented way of working
High resilience
Fluent in German & English.




Location: Germany/Switzerland

Please apply as soon as possible or send your CV to olivia@wedodata.es

Show more "
Data Scientist (all genders),BAUMLINK,Germany,2024-08-29,https://de.linkedin.com/jobs/view/data-scientist-all-genders-at-baumlink-4012635229?position=5&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=jMW5mypfvbuKI00zh%2F0LSA%3D%3D&trk=public_jobs_jserp-result_search-card,"Position: (Senior) Data Scientist (all genders)

Standort: NRW

Arbeitsvertrag: Vollzeit/Unbefristet

Arbeitsumstände: Hybrid (70/30)

Arbeitssprache: Deutsch

Gehaltsband: bis zu 90K€




Deine Aufgaben

- Führende Rolle bei Advanced Analytics-Projekten im Lebensmittelhandel, zur Optimierung von Entscheidungsprozessen und Förderung der Data-Science-Strategie.

- End-to-End Entwicklung und Produktion von Modellen und Machine-Learning-Pipelines, verantwortlich für Prognosen, Klassifikationen und Scoring.

- Datenmanagement von strukturierten und unstrukturierten Daten in verschiedenen Datenbanksystemen (z.B. GCP/BigQuery, teradata) sowie Analyse-Frameworks (z.B. Hadoop/Spark).

- Entwicklung analytischer Produkte in interdisziplinären Teams, um Daten in geschäftsrelevante Erkenntnisse umzuwandeln.

- Fachliche Anleitung und Coaching von Junioren, Sicherstellung von Best Practices in Methodik und Code.




Dein Profil

- Starkes analytisches und konzeptionelles Denkvermögen sowie ausgezeichnete kommunikative Fähigkeiten.

- Leidenschaft für Datenanalyse, Fähigkeit, komplexe Geschäftsfragen zu lösen und analytische Modelle zu entwickeln.

- Teamorientiert, arbeitest gerne in einem agilen Umfeld mit modernen Technologien.

- Abgeschlossenes Masterstudium in Data Science/Analytics oder einem verwandten Bereich, gerne auch mit Promotion.

- Praktische Erfahrung in Datenanalyse und Big Data Projekten, vorzugsweise in Cloud-Umgebungen.







Melde dich gerne für weitere Infos bei:




Patrick Trent - pt@baumlink.com

Show more "
Data Scientist,Algoriddim,Germany,2024-08-28,https://de.linkedin.com/jobs/view/data-scientist-at-algoriddim-4011787034?position=6&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=Spw1twtBaw860eLAyiQZ8Q%3D%3D&trk=public_jobs_jserp-result_search-card,"Algoriddim, based in Munich, Germany, is redefining DJing and music creation through its world-class technology and apps. Our flagship product, djay, is the world’s leading DJ app and winner of three Apple Design Awards. We revolutionized the art of mixing music by bringing it to mobile devices in 2010, followed by the integration of streaming music in 2014, the launch of AI-powered mixing in 2020, and the leap into the virtual world with our award-winning Apple Vision Pro app in 2024.. If you’re ready to push the boundaries of mixing and performance for millions of DJs and music enthusiasts worldwide, we invite you to join us.




WHY YOU SHOULD APPLY

Are you ready to apply your Data Science skill set to further groundbreaking products, drive first-of-its-kind innovation, and positively impact millions of DJs and music enthusiasts globally? We’re looking for a full stack Data Scientist to join us as our first full-time, dedicated, data leader. You’ll work on our most important business and product challenges, enable us to better understand and predict our metrics, and collaborate with the most talented and innovative team in music performance software. You’ll work from our modern office space ideally located along Königinstraße adjacent to Englischer Garten in Munich.




WHAT YOU'LL DO

Lead all things data at Algoriddim, working closely with our co-founders and other key leaders to take our data practices to the next level.
Apply your expertise in quantitative analysis, data mining, and statistical modeling to deliver impactful, objective, and actionable data insights that improve our business and product decisions.
Visualize and synthesize analytics and statistical approaches into easy-to-consume storylines and dashboards.
Track and evaluate multivariate experiments to determine success of product feature launches.
Propose innovative solutions by exploratory data analysis from complex datasets, applying statistical and modeling techniques to evaluate performance, make valuable discoveries and solve non-routine analysis problems.




KNOWLEDGE, SKILLS & ABILITIES

Expertise using data modeling skills to identify key product trends and new product opportunities.
Ability to design, implement, and track key metrics to analyze the performance of our products.
Ability to build visuals, dashboards, and reports to optimally communicate your insights.
Ability to collaborate with developers, product, growth, and other cross-functional teams members.
Ability to initiate and drive projects to completion.




QUALIFICATIONS

Advanced degree in applied mathematics, statistics, data science, computer science, or related field.
3+ years of experience in quantitative analysis & data science or a related field.
3+ years of Experience using SQL or similar big data querying languages.
3+ years of Experience with programming language, such as Python or R.
3+ years of experience with applied statistical techniques, such as inferential methods, causal methods, A/B testing, or statistical modeling techniques.
Strong command of data visualization and building dashboards.




HOW TO APPLY

Send your CV (in English) to jobs@algoriddim.com




WORKING AT ALGORIDDIM

At Algoriddim, we pride ourselves on fostering a collaborative and innovative work environment. Our headquarters in Munich, Germany, serves as a hub for one of the world's leading teams in app development. We value creativity, encourage the exchange of ideas, and support professional growth, all while working on cutting-edge music technology that reaches millions of users worldwide.




INCLUSION AND DIVERSITY

Algoriddim is an equal-opportunity employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or any other characteristic protected by law. At Algoriddim we are different together and that is our greatest strength.




ABOUT ALGORIDDIM

Algoriddim, founded in 2006, creates world-leading music apps for desktop, mobile, and spatial devices. Our mission is to make DJing accessible to everyone and empower people to express themselves through music. Algoriddim’s flagship app djay is a winner of multiple Apple Design Awards and has been downloaded by over 60 million users worldwide. Algoriddim’s headquarters are based in Munich, Germany, with a multi-national team from across the globe.




CANDIDATE PRIVACY

Here at Algoriddim, we take your privacy seriously. We only process your personal data for recruiting purposes.

Show more "
Product Analyst,Vivid Money,Germany,2024-08-08,https://de.linkedin.com/jobs/view/product-analyst-at-vivid-money-4011492700?position=7&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=GRXjESXj7a%2FulqzAY5J0aw%3D%3D&trk=public_jobs_jserp-result_search-card,"Vivid is a dynamic fintech company that provides innovative solutions to enhance our users' financial experience. We are on a mission to identify and solve user problems, continuously improve our products, and introduce new features to make financial management more straightforward and more rewarding. As a Product Analyst at Vivid in the Anti-Financial Crime Team, you will play a pivotal role in shaping the future of our products and services.

In this role, you will:


Build and maintain a system of automated reports and tools.
Provide analytical support to the team, checking hypothesis and extracting insights from the data.
Take an active role in improving our internal Antifraud products: identify problems and behaviour patterns of our users, propose ways to solve them, and come up with new and enhanced existing rules and alerts
Support new features launch: create metrics that reflect the feature's quality, and evaluate results.
Formulate hypotheses for A/B testing, design, analyse results.
Engage in effective communication with partners.
Track assigned projects' progress.
Collaborate with adjacent teams to develop comprehensive cross-team solutions for products.



Requirements


At least 3 years of work experience in an analyst role
Advanced SQL knowledge
Advanced knowledge of data visualisation tools (we use Tableau)
Ability to see a business meaning behind the data and communicate it in the clearest possible way (even if it's complicated topic)
Upper intermediate level of English



Would be a plus


Applied probability theory and mathematical statistics knowledge - A/B tests, causal inference, etc.
Proficiency in using Python for data analytics (ex NumPy, Pandas)
Experience in risk, compliance, or anti-fraud fields



Benefits


We have a hybrid model in one of our offices, Berlin, Limassol or Almaty, or fully remote outside office locations
We support relocation to CY (visa, package) when needed
This is a senior-level position with a competitive salary and benefits package (depending on location)


If you're looking for an exciting new opportunity to advance your engineering skills and make an impact in the world of finance, Vivid is the perfect place for you. Join our talented team of professionals and help us revolutionize the way people think about their money!
Show more "
Artificial Intelligence Engineer (w/m/d),Comparus GmbH,Germany,2024-08-31,https://de.linkedin.com/jobs/view/artificial-intelligence-engineer-w-m-d-at-comparus-gmbh-3943109033?position=8&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=g1TvzcUMwPp8HnDPlItIxg%3D%3D&trk=public_jobs_jserp-result_search-card,"DARAUF KÖNNEN SIE SICH FREUEN


Sie verantworten das Design, die Entwicklung und Implementierung von Machine-Learning- und Deep-Learning-Modellen zur Lösung komplexer Probleme
Sie übernehmen die Analyse großer Datensätze sowie die Datenaufbereitung und -bereinigung um hochwertige Eingabedaten für Modelle zu gewährleisten
Sie wirken an der Erstellung von Prototypen und Proofs of Concept für AI-Lösungen mit
Sie optimieren Modelle hinsichtlich Leistung und Effizienz
Sie arbeiten eng zusammen mit Data Scientists, Softwareentwickelnden und Produktmanagern, um AI-Lösungen in Produkte zu integrieren
Sie verfolgen die neuesten Entwicklungen und Trends im Bereich der künstlichen Intelligenz



DAS MACHT SIE AUS


Sie verfügen über eine abgeschlossenes Studium im Bereich Informatik, Mathematik, Data Science oder einer verwandten Disziplin
Sie verfügen über mehrere Jahre Erfahrung in der Entwicklung und Implementierung von AI- und ML-Modellen
Sie verfügen über fundierte Kenntnisse in den Bereichen Machine Learning, Deep Learning, statistische Modellierung und Algorithmen
Sie haben Erfahrung mit Programmiersprachen wie Python, R oder Java sowie Frameworks wie TensorFlow, PyTorch oder Keras
Sie haben tiefgreifende technische Kenntnisse mit Datenbankmanagement und -abfragen, insbesondere mit SQL und NoSQL-Datenbanken
Sie verfügen über starke analytische und Problemlösungsfähigkeiten, einen ausgeprägtem agilen Mindset und sind mit der Anwendung von Tools im Rahmen der agilen Softwareentwicklung vertraut
Ihnen ist die Arbeit mit internationalen Teams vertraut

Show more "
Data Scientist,Big Cloud,Germany,2024-08-29,https://de.linkedin.com/jobs/view/data-scientist-at-big-cloud-4012825579?position=9&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=MJfVRBndApMIJ7RPGXIy6A%3D%3D&trk=public_jobs_jserp-result_search-card,"Do you want to work on interesting data science problems?

Are you interested in R&D at a start-up already seeing market success?

Would you like to wear different hats and advance at a fast pace?




We're working with an AI startup bringing ML and visual search to e-commerce.

They've build NLP and computer vision models that power visual search, recommender systems and auto-tagging products. These solutions are helping 150+ e-commerce companies automate and enhance their platforms.




The 50-person team are looking for a Data Scientist to model and analyse data, to drive AI product development and strategic decision making.




They have an office in Bielefeld, North Rhine-Westphalia, and in Berlin. The position is hybrid in either one.




Responsibilities:

Data analysis and modelling (Python analysis tools)
Exploring and retrieving data to generate data science solutions
Data visualisation and reporting, stakeholder management
Contributions to product design/development, business strategy




Requirements:

3-5y of experience with data science modelling
Strength with Python, Pandas, Sklearn, etc.
Good German and English
Added bonus: familiarity with cloud apps (AWS/GCP/Azure)







If you're interested in the above, please apply.




Big Cloud is an AI & Data Science recruitment firm. We’re lucky enough to recruit the best candidates in the most exciting companies all over the world. We try to reply to all applications, but we’re only human, for now! So, you may only hear from us if you are successful.




Check out www.bigcloud.io/jobs to see what else we’re recruiting for.

Show more "
Data Scientist - Mobile Games,Carry1st,Germany,2024-08-09,https://de.linkedin.com/jobs/view/data-scientist-mobile-games-at-carry1st-3997357144?position=11&pageNum=0&refId=qHmiVQ847r1ufPio%2BsNjOg%3D%3D&trackingId=wG1x4Gh6QEuwjYBD1m9iZw%3D%3D&trk=public_jobs_jserp-result_search-card,"Carry1st is Africa's leading publisher of mobile games and digital content. Operating at the intersection of games, publishing, and fintech, we scale awesome content in frontier markets by solving hard problems. Across our publishing and Pay1st business lines, we are partnered with top global game companies like Riot Games, Activision, and Stillfront. We are backed by top investors like: a16z, Bitkraft, Google, Konvoy, Riot Games, Sony and Nas.

As Sr Data Scientist, you will be responsible for driving enjoyable player experiences and sustainable player LTV. You will translate in-game behavioural data, progression trends, and purchase propensities into segmentations and models for LiveOps personalisation and UA optimisation.

You will be involved in simulating game engagement and game economy - supporting our Product teams in driving game evolution to success. As a senior member of our Data org, you will work closely with our VP Data in scaling data science as our titles multiply.

You will ...


Develop core segmentations - LTV, Behavioural - and core predictive models - LTV, Churn, IAP Propensity - to understand player profiles and behaviour
Use the above segmentations and models to develop processes and feedback loops to personalise/optimise LiveOps and UA
Identify opportunities where ML can further automate Growth & Product processes
Explore agent-based modelling and reinforcement learning to simulate gameplay and economy to drive feature and monetisation development
Partner with Product stakeholders and take the technical lead in designing experiments that explore different scenarios and key dependencies
Bank player and game insights to drive Carry1st's strategic direction via new business models



Requirements

What makes you a great candidate?


Degree in Economics, Physics, Statistics, Engineering or similar
Minimum 3 years experience in data science in an operational environment
Strong mathematical and statistical acumen
Solid SQL skills and practical analytics/data science experience with Python
Strong analytical and problems solving skills as a foundation for adaptability in an ambiguous and agile environment of diverse backgrounds
Ability to effectively communicate complex insights and hypotheses to business stakeholders



Benefits

What will it be like to work at Carry1st?

Carry1st is a fast-growing, dynamic place to work. And while we are laser focused on building the flagship mobile internet company in Africa, our team is fully remote and 100% global - with people in 25+ countries! At Carry1st, you will...


Build awesome, industry-changing products, every day
Grow with a VC-backed startup at the intersection of gaming, fintech, and web3
Work from anywhere in the world with international teammates
Own shares in the Company - enabling you to benefit from the value you create



Some Additional Perks...


Co-working excursions: Travel to meet your colleagues in cities around the world
Awesome equipment: Get everything you need to work effectively
Remote working allowance: Put an additional $600 / year to optimise your WFH experience
Learning and development: Attend courses, conferences and training events
Social events: Participate in regular company events to relax and connect with teammates
Birthday leave: Enjoy a paid day off on your special day


We hire great people from a wide variety of backgrounds, not just because it's the right thing to do, but because it makes our company stronger. Join us!

Learn More About Carry1st...


Andreessen Horowitz shared why they invested in Carry1st
VentureBeat announced that Carry1st has raised $27 million to develop and publish mobile games in Africa
Remerge hosted Cordel on a podcast to discuss Carry1st and the African gaming market
Show more "
