title,company,location,date,link,description
ML Engineer (Computer Vision),autarc (YC S24),Germany,2024-08-13,https://de.linkedin.com/jobs/view/ml-engineer-computer-vision-at-autarc-yc-s24-3998835240?position=1&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=rhRO%2BSZFolW7XeEV7EyUAw%3D%3D&trk=public_jobs_jserp-result_search-card,"Dein Impact

We're seeking an exceptional Machine Learning Engineer with expertise in computer vision to join our growing team. You will be our first ML Engineer, set up our entire ML infrastructure and play a critical role in developing innovative solutions to streamline heat pump installations.


Develop and implement machine learning models. The core will be a computer vision model based on camera and LiDAR data.
Design, build, and maintain the ML infrastructure
Preprocess and analyze large datasets
Train and fine-tune machine learning models
Collaborate with cross-functional teams to integrate ML solutions into the platform
Monitor and improve the performance of deployed models


Wen wir suchen


Strong proficiency in machine learning and computer vision techniques
Experience with ML frameworks such as TensorFlow, PyTorch, or similar
Proficiency in Python and related ML libraries
Familiarity with LiDAR technology and data processing
Experience in setting up and managing ML infrastructure
Preferably based in Berlin, with a willingness to work from our office close to Rosenthaler Platz


Was wir bieten


Office in Berlin-Mitte: Our office is located near Weinbergspark in Berlin-Mitte.
Equipment: You have the freedom to choose your own equipment (within a budget range).
Annual Team Retreat: Let’s enjoy an annual retreat with the entire team.
Mobility Package: Choose between a JobRad and Dance Bike for your mobility.
Fitness Package: Choose between Urban Sports and Classpass for your fitness.
Collegial and Familial Team: A collegial and familial team welcomes you, characterized by an open company culture.
Part of the Energy Transition: Be a part of the energy transition and directly experience the impact of your daily work.


Nächste Schritte


Screening Call: A brief initial conversation to discuss your background and the role.
First Interview: A deeper dive into your experience, skills, and fit for the role.
Coding Challenge: A technical assessment to evaluate your coding skills and problem-solving abilities.
Final Interview: A comprehensive interview with key team members, focusing on technical expertise, cultural fit, and your vision for the role.


Über uns

Mit autarc entwickeln wir das führende Betriebssystem (OS) für Wärmepumpen-Installateure. Wusstest Du, dass 25% der CO2-Emissionen in Europa durch das Heizen unserer Gebäude verursacht werden? Das Problem: Es gibt zu wenige Installateure, um den wachsenden Bedarf an Wärmepumpen zu decken. Deshalb haben wir es uns zur Aufgabe gemacht, die Abwicklung von Wärmepumpen-Projekten für Handwerker deutlich digitaler, effizienter und einfacher zu gestalten. Mit autarc verringern wir gezielt die Hürden, um Einfamilienhäuser und kleine Mehrfamilienhäuser in Europa zu dekarbonisieren. Wir unterstützen Installateure dabei, sicher und problemlos auf Wärmepumpen umzusteigen.
Show more "
Data Scientist - Mobile Games,Carry1st,Germany,2024-08-09,https://de.linkedin.com/jobs/view/data-scientist-mobile-games-at-carry1st-3997357144?position=2&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=ihT1tnhpb96UBmpbaOk2zw%3D%3D&trk=public_jobs_jserp-result_search-card,"Carry1st is Africa's leading publisher of mobile games and digital content. Operating at the intersection of games, publishing, and fintech, we scale awesome content in frontier markets by solving hard problems. Across our publishing and Pay1st business lines, we are partnered with top global game companies like Riot Games, Activision, and Stillfront. We are backed by top investors like: a16z, Bitkraft, Google, Konvoy, Riot Games, Sony and Nas.

As Sr Data Scientist, you will be responsible for driving enjoyable player experiences and sustainable player LTV. You will translate in-game behavioural data, progression trends, and purchase propensities into segmentations and models for LiveOps personalisation and UA optimisation.

You will be involved in simulating game engagement and game economy - supporting our Product teams in driving game evolution to success. As a senior member of our Data org, you will work closely with our VP Data in scaling data science as our titles multiply.

You will ...


Develop core segmentations - LTV, Behavioural - and core predictive models - LTV, Churn, IAP Propensity - to understand player profiles and behaviour
Use the above segmentations and models to develop processes and feedback loops to personalise/optimise LiveOps and UA
Identify opportunities where ML can further automate Growth & Product processes
Explore agent-based modelling and reinforcement learning to simulate gameplay and economy to drive feature and monetisation development
Partner with Product stakeholders and take the technical lead in designing experiments that explore different scenarios and key dependencies
Bank player and game insights to drive Carry1st's strategic direction via new business models



Requirements

What makes you a great candidate?


Degree in Economics, Physics, Statistics, Engineering or similar
Minimum 3 years experience in data science in an operational environment
Strong mathematical and statistical acumen
Solid SQL skills and practical analytics/data science experience with Python
Strong analytical and problems solving skills as a foundation for adaptability in an ambiguous and agile environment of diverse backgrounds
Ability to effectively communicate complex insights and hypotheses to business stakeholders



Benefits

What will it be like to work at Carry1st?

Carry1st is a fast-growing, dynamic place to work. And while we are laser focused on building the flagship mobile internet company in Africa, our team is fully remote and 100% global - with people in 25+ countries! At Carry1st, you will...


Build awesome, industry-changing products, every day
Grow with a VC-backed startup at the intersection of gaming, fintech, and web3
Work from anywhere in the world with international teammates
Own shares in the Company - enabling you to benefit from the value you create



Some Additional Perks...


Co-working excursions: Travel to meet your colleagues in cities around the world
Awesome equipment: Get everything you need to work effectively
Remote working allowance: Put an additional $600 / year to optimise your WFH experience
Learning and development: Attend courses, conferences and training events
Social events: Participate in regular company events to relax and connect with teammates
Birthday leave: Enjoy a paid day off on your special day


We hire great people from a wide variety of backgrounds, not just because it's the right thing to do, but because it makes our company stronger. Join us!

Learn More About Carry1st...


Andreessen Horowitz shared why they invested in Carry1st
VentureBeat announced that Carry1st has raised $27 million to develop and publish mobile games in Africa
Remerge hosted Cordel on a podcast to discuss Carry1st and the African gaming market
Show more "
Artificial Intelligence Engineer (w/m/d),Comparus GmbH,Germany,2024-08-31,https://de.linkedin.com/jobs/view/artificial-intelligence-engineer-w-m-d-at-comparus-gmbh-3943109033?position=3&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=UoP5is9Nwzq4ggq32hsdww%3D%3D&trk=public_jobs_jserp-result_search-card,"DARAUF KÖNNEN SIE SICH FREUEN


Sie verantworten das Design, die Entwicklung und Implementierung von Machine-Learning- und Deep-Learning-Modellen zur Lösung komplexer Probleme
Sie übernehmen die Analyse großer Datensätze sowie die Datenaufbereitung und -bereinigung um hochwertige Eingabedaten für Modelle zu gewährleisten
Sie wirken an der Erstellung von Prototypen und Proofs of Concept für AI-Lösungen mit
Sie optimieren Modelle hinsichtlich Leistung und Effizienz
Sie arbeiten eng zusammen mit Data Scientists, Softwareentwickelnden und Produktmanagern, um AI-Lösungen in Produkte zu integrieren
Sie verfolgen die neuesten Entwicklungen und Trends im Bereich der künstlichen Intelligenz



DAS MACHT SIE AUS


Sie verfügen über eine abgeschlossenes Studium im Bereich Informatik, Mathematik, Data Science oder einer verwandten Disziplin
Sie verfügen über mehrere Jahre Erfahrung in der Entwicklung und Implementierung von AI- und ML-Modellen
Sie verfügen über fundierte Kenntnisse in den Bereichen Machine Learning, Deep Learning, statistische Modellierung und Algorithmen
Sie haben Erfahrung mit Programmiersprachen wie Python, R oder Java sowie Frameworks wie TensorFlow, PyTorch oder Keras
Sie haben tiefgreifende technische Kenntnisse mit Datenbankmanagement und -abfragen, insbesondere mit SQL und NoSQL-Datenbanken
Sie verfügen über starke analytische und Problemlösungsfähigkeiten, einen ausgeprägtem agilen Mindset und sind mit der Anwendung von Tools im Rahmen der agilen Softwareentwicklung vertraut
Ihnen ist die Arbeit mit internationalen Teams vertraut

Show more "
Computer Vision Engineer,YO HR Consultancy,Germany,2024-08-27,https://de.linkedin.com/jobs/view/computer-vision-engineer-at-yo-hr-consultancy-4009441219?position=4&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=Ua%2Bt1dweZNprCA8BOrmDug%3D%3D&trk=public_jobs_jserp-result_search-card,"Computer Vision Engineer - LLM

Experience: 2 - 15 Years

Location- Permanent Remote Anywhere in the world

Contract Duration: 6 Months

Opportunity- Full Time, 8 hours, 5 hours Mandatory overlap with PST

Total Years Of exp- 2+ years Mandatory

Mandatory Skills- Python: min 2yrs, Python for Data Science: min1 yr, Computer Vision: min1 yr, PyTorch: min 1 yr, OpenCV: min 1 yr, Tensorflow: min 1 yr, Image Recognition: min 1 yr

Key Skills: Computer Vision, Python, Pytorch, OpenCV, Image Recognition

Job Responsibilities


Develop and maintain machine learning models, with a focus on computer vision algorithms.
Implement image processing techniques such as object detection, segmentation, and image classification using Convolutional Neural Networks (CNNs).
Work with TensorFlow or PyTorch to develop, train, and deploy vision models.
Utilize OpenCV for tasks like feature extraction, image filtering, and object tracking.
Collaborate with cross-functional teams to enhance AI-driven solutions in the mobile coding domain.


﻿

Job Requirements


Bachelor’s/Master’s degree in Engineering, Computer Science, or a related field.
At least 2+ years of experience as a Python-focused Engineer.
Expertise in image processing and computer vision algorithms using CNNs.
Strong experience with TensorFlow/PyTorch for developing, training, and deploying vision models.
Proficiency in OpenCV for image processing tasks.


Nice To Have


Experience with Keras for quick prototyping of deep learning models.
Familiarity with Large Language Models (LLMs) and their applications in AI.
Knowledge of cloud platforms such as AWS, Azure, or Google Cloud.


Skills: large language models (llms),tensorflow or pytorch,google cloud,image filtering,segmentation,opencv,python for data science,feature extraction,processing,cross-functional collaboration,algorithms,mobile coding domain,cloud platforms (aws, azure, google cloud),object tracking,cnns,computer science,cloud platforms,image processing,tensorflow/pytorch,deep learning,pytorch,mobile coding,convolutional neural networks (cnns),aws,azure,models,convolutional neural networks,tensorflow,ai-driven solutions,machine learning,engineering,keras,python,llms,image recognition,deep learning models,computer vision,object detection
Show more "
Senior Machine Learning Engineer - Generative AI (f/m/d)*,Parloa,Germany,2024-08-16,https://de.linkedin.com/jobs/view/senior-machine-learning-engineer-generative-ai-f-m-d-at-parloa-4002978349?position=5&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=QtcDaIX9P4vz%2ByZt1ohEeg%3D%3D&trk=public_jobs_jserp-result_search-card,"YOUR MISSION

As a Senior Machine Learning Engineer (f/m/d)*, you will work on Parloa’s machine learning operations platform and models as well as related software components that power our generative AI and NLU products. You will become a member of Parloa’s AI & Data Science Team that owns our ML operations platform as well as machine learning models and frameworks that power our product. You will work closely with product teams to help them solve customer problems with machine learning and AI. You will leverage cutting edge technologies to keep sharpening Parloa’s competitive edge to transform the entire customer service industry with AI.

In This Role You Will


Take ownership of data science and machine learning projects that help us improve our generative AI product suite
Work closely with product management, design and product engineers to shape requirements and our product vision leveraging AI and LLMs in line with customer needs
Execute machine learning projects end-to-end: understanding user-facing requirements, data gathering and transformation, exploratory data analysis, model productionization, maintenance and support, continuous improvement
Shape our ML platform (ML / LLM Ops) by defining the requirements and/or designing and implementing parts of it in collaboration with our data platform and DevOps teams


Our Tech stack (Data): Microsoft Azure, Python, Kubernetes, Docker, Terraform, MongoDB, Redis (more technologies will added as we build our data and Machine Learning platforms)

What You Bring To The Table


7+ years of experience as a machine learning engineer
Experience working with NLP, LLMs and information retrieval; experience with LLMs in a production environment is a strong plus
Strong proficiency in Python, proficiency with SQL
Experience working with big data technologies (e.g. Spark) and using ML Ops platforms (e.g. MLFlow)
Experience with owning the ML process end-to-end: translating product requirements into technical requirements, data gathering/transformation and exploration, model productionization, maintenance, monitoring and optimization
Experience in leading medium-sized technical projects (3-9 months roadmap)
Strong spoken and written communication skills in English


WHAT'S IN IT FOR YOU?


Be part of a dynamic, driven team of +20 nationalities with flat hierarchies and collaborative company culture.
Hybrid work environment - we believe in hiring the best talent, no matter where they are based. However, we love to build real connections and want to welcome everyone in the office on certain days.
Attractive compensation package.
Training and development budget which can be used for conferences and attending development courses to ensure continuous professional growth.
Flexible working hours, 28 vacation days and workation opportunities.
Enjoy unlimited access to a variety of fitness, yoga, and leisure activities via Wellpass.
Leverage exclusive offers with our corporate benefits portal, giving you access to compelling deals from leading brands.
Regular team events, game nights, and other social activities.
And last but not least: a beautiful office with flair in the heart of Berlin with all the conveniences, such as adjustable desks, social area, fresh fruits, cereals and drinks.
Is something missing here? Reach out and let's talk about what else you need for your ideal next growth opportunity.


Your Recruiting Process At Parloa

Recruiter video call → Hiring Manager Interview → Technical Stage (Coding Challenge + Machine Learning Case Study) → Meeting the team

Why Parloa?

Parloa is one of the fastest growing startups in the world of Generative AI and customer service. Parloa’s voice-first GenAI platform for contact centers is built on the best AI technology to automate customer service with natural-sounding conversations for outstanding experiences on all communication channels. Leveraging natural language processing (NLP) and machine learning, Parloa creates intelligent phone and chat solutions for businesses that turn contact centers into value centers by boosting customer service efficiency. The Parloa platform resolves the majority of customer queries quickly and automatically, allowing human agents to focus on complex issues and relationships. Parloa was founded in 2018 by Malte Kosub and Stefan Ostwald and today employs over 250 people in Berlin, Munich, and New York.

When you join Parloa, you become part of a dynamic and innovative team made up of over 34 nationalities that’s revolutionizing an entire industry. We’re passionate about growing together and creating opportunities for personal and professional development. With our recent $66 million Series B investment, we’re expanding globally and looking for talented individuals to join us on this exciting journey.

Do you have questions about Parloa, the role, or our team before you apply? Please feel free to get in touch with our Hiring Team.

Parloa is committed to upholding the highest data protection standards for our clients' and employees' data. All our employees are instrumental in ensuring the utmost care, GDPR, and ISO compliance, including ISO 27001, in handling sensitive information.


We provide equal opportunities to all qualified applicants regardless race, gender, sexual orientation, age, religion, national origin, disability status, socioeconomic background and other characteristics.
Show more "
Data Scientist,Venquis,Germany,2024-08-29,https://de.linkedin.com/jobs/view/data-scientist-at-venquis-4010845399?position=6&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=5nmb9UcjbGUGOtQI4QKFEQ%3D%3D&trk=public_jobs_jserp-result_search-card,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.

Responsibilities

Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Collaborate with engineering team to bring analytical prototypes to production
Generate actionable insights for business improvements




Qualifications




Bachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
At least 1 - 2 years' of experience in quantitative analytics or data modeling
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Fluency in a programming language (Python, C,C++, Java, SQL)
Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)

Show more "
"Machine Learning Engineer, Applied AI",one • fıve,Germany,2024-08-02,https://de.linkedin.com/jobs/view/machine-learning-engineer-applied-ai-at-one-%E2%80%A2-f%C4%B1ve-3990693684?position=7&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=gpDQ4iF3fpd5qVaTmC2YjA%3D%3D&trk=public_jobs_jserp-result_search-card,"The Role

Here at One.Five, Engineering, Machine Learning and Material Science play a vital role in our data-driven sustainable packaging development process. As we continue to grow, we’re looking for someone responsible for developing our novel Packaging Development AI Engine

As an experienced Machine Learning Engineer in Applied AI, you will use your skills to develop and integrate new AI and ML approaches to power our internal Material Science Platform.

This role reports to Marta Rodriguez, Head of Software and Data, and has as key stakeholders other data and software engineers, as well as team members throughout the company.

Given the remote first nature of our team, this role can be based anywhere but willing to work approx UTC/UTC+2 core hours, in order to overlap with the bulk of our European based team.

How you'll help build one


fıve


Develop our core AI Engine


You’ll bring state-of-the-art AI research from concept to implementation to create AI-driven applications with a direct impact on our packaging development processes.
You’ll work closely with stakeholders and other engineers to evaluate and optimize our systems for performance and accuracy and ensure they are production-ready.


Coordinate ML requirements with stakeholders


Surface requirements to other teams (data engineers, domain experts and software engineers) to ensure data harvesting and processing aligns with our AI development needs


Be our ML champion


You’ll lead our AI technical strategy by staying on top of the latest developments in machine learning and AI


Who You Are


Extensive hands-on experience of developing and implementing advanced machine learning or AI systems. Experience with Deep Learning or LLMs is preferred
Experience spearheading ML and data-heavy projects
Experience bringing machine learning applications to production (end to end development)
Strong programming skills in Python, familiarity with libraries and tools such as langchain/haystack, pytorch/tensorflow, spancy/nltk, scikit-learn, MLflow, GCP, VertexAI, etc.
Experience with vector databases and knowledge graph systems is a plus
Experience working with complex, scientific/chemistry-like data and metadata, such as lab generated measurements and experimental conditions, industrial trial data, etc.
Strong problem-solving skills and ability to work independently in a remote set up
Ability to work independently and proven stakeholder management
Experience implementing and coordinating with domain experts in multifunctional environments
Fluency in English, as this is our working language


one


fıve values
Duty to care: care for yourself, your colleagues, your work, our offices, and ultimately, our planet
Create with intent: work with a goal in mind. Ask yourself what you are trying to achieve and constantly evaluate whether your current path is the best way to achieve this goal
Acknowledge the process: we celebrate our failures and successes together, and keep iterating to improve
Transparency: all knowledge is accessible to everyone


Hiring Process

We want you to know what to expect out of your candidate experience with us and make this as much as possible a two sided process, allowing you to get to know us as well.

Once submitted, your CV will be reviewed by the People team, and shortlisted for interviews.

Everyone will be contacted to find out the outcome of their application.

We Have Four Interview Stages


Introduction Google Hangouts call with our Talent Manager - to share more about one.five and how we work & find out how that meets your experience and expectations of the role.
Technical interview with Head of Software & Data and another senior stakeholder - to dig into the day to day of the role more and answer any questions you may have for us.
Present a short demo of an ML project followed by brief Q&A.
Final introduction to key stakeholders in the business to better build your understanding of your future function, as well as discuss our core values.


Diversity & Inclusion

We are very proud of the culture we have built to support diversity & inclusion and will do everything we can to continue to be an inclusive company where all team members are comfortable, supported and empowered to succeed.

We seek to ensure that all employees are afforded equal opportunities and treatment, irrespective of any qualifier, in all aspects of recruitment, employment, training and determination of benefits.

For sake of clarity, all team members and candidates will receive equal treatment regardless of age, disability, gender reassignment, marital or civil partner status, pregnancy or maternity, race, colour, nationality, ethnic or national origin, religion or belief, sex or sexual orientation.

If you require any accommodations for the interview process, please include them in your application or in scheduling requests for a first call.

About Us

Protecting our planet by developing materials for clean & closed material loops.
Show more "
Data Scientist,MetrixLab,Germany,2024-08-12,https://de.linkedin.com/jobs/view/data-scientist-at-metrixlab-3975188741?position=8&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=sci71VoTS2SaZsdmtIh5BA%3D%3D&trk=public_jobs_jserp-result_search-card,"About Us:

MetrixLab is a fast-growing global market research and insights company that’s challenging the status quo of insights. By blending evolving technology with passionate experts, MetrixLab helps global and local brands to drive more impact, and forges partnerships to drive sustainably equitable growth. From creative testing to brand tracking, and packaging to e-commerce optimization, MetrixLab’s range of solution suites adapts to fit all types of budgets, timelines and business needs.




Active in more than 90 countries, MetrixLab is a proud partner to more than half of the world’s top 100 brands and part of Toluna.




About the role:

Would you like to become part of a rapidly growing team with an exceptional client roster? We are seeking an ambitious Data Scientist to help drive the success and continued growth of MetrixLab. Primary objective of the role is to help the team design and deliver new analytical solutions to help our roster of clients.




To realize these commercial targets, you will:

Develop and execute marketing research analytical models
Help generate new data driven insights for clients.
Ensure a best fit solution that aligns with the client objective by providing analytic consulting and primary market research expertise
Know the methodology for each analytic techniques and communicate data insights and findings from them
Drive standardization and automation through ML-ops.




Competencies:

Degree in Engineering/Maths/Physics
5 years of experience with common marketing data science analyses, such as e.g. conjoints, max-diffs, drivers analysis, dimensionality reduction etc.
Very good command of English




What do we offer?

A challenging position in a dynamic, fast-paced, innovative, quickly growing global company.
A flexible work environment with a focus on owning and taking pride in your work.
(International) growth opportunities in line with your career ambitions and passions.
An open-culture work environment staffed with ambitious colleagues with “can-do” mentalities.
Global onboarding and frequent internal training and sharing opportunities.
Our employees have exclusive access to Udemy Business. With our company license, you have unlimited access to all external courses.
A competitive salary package including a good pension scheme, 25 paid days of leave, and full travel reimbursement (yes, that includes cycling!).

Show more "
Machine Learning Engineer (m/f/d),Kayzen,Germany,2024-08-29,https://de.linkedin.com/jobs/view/machine-learning-engineer-m-f-d-at-kayzen-4012669986?position=9&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=4v2BIylh8UtDYTs1wnjoOQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Berlin, India, Remote

________________________

Hello 👋 I am Adriano, Machine Learning Lead at Kayzen, and I am now looking for a Machine Learning Engineer who will be a part of the machine learning engineering team bridging the gap between machine learning and ad systems engineering team 🙌

But wait, you have not heard of Kayzen before? 😃

Kayzen powers the world's best mobile marketing teams to take programmatic advertising in-house. Built on the three key pillars of performance, transparency and control, Kayzen is a DSP which enables leading app developers, agencies, media buyers and D2C brands to run programmatic user acquisition, retargeting, and branding campaigns in self-serve or managed service mode.

With an unprecedented scale of >160bn daily ad requests from 2bn+ unique users worldwide, we serve more than 500M ads per day to 180 countries. Kayzen is accessible through our APIs or user interface.

The role

Are you a problem-solver, passionate about pushing the boundaries of machine learning in production? Do you thrive in a collaborative environment where you can both lead and be led, contributing your expertise while learning from others?

At Kayzen, we're revolutionizing the AdTech space with machine learning, and we're looking for a dedicated and proactive Senior Machine Learning Engineer to join our team. If you love the Machine learning craft and want to help us build a world-class ML infrastructure and processes, we want to hear from you!

Day to day

As a Senior Machine Learning Engineer, you'll be a key member of the Machine Learning Engineering team, bridging the gap between data science and ad systems engineering. You'll tackle the challenge of creating innovative solutions for petabyte-scale data models. Your work will span a wide range, from developing libraries and infrastructure to accelerate experimentation and deploying hundreds of models, to researching cutting-edge technologies.


Accelerate Experimentation and Deployment: Create solutions to streamline our model experimentation and deployment processes.
Robust Model Monitoring: Maintain and enhance our model monitoring capabilities to ensure optimal performance in production.
Collaborate with Data Scientists: Partner with data scientists to develop new models, research novel methods, and create the best models for each use case within our AdTech platform.
Productionize Pipelines: Develop and productionize model creation pipelines for our ML models in both bare-metal and cloud environments.
Drive Innovation: Propose and lead projects to continuously improve our machine learning capabilities.
Team Player: Contribute to a culture of continuous learning and improvement within the team.
Champion Software Engineering Best Practices: Promote and implement software engineering best practices (version control, code review, testing, CI/CD) to ensure the reliability, maintainability, and scalability of our machine learning systems


Sounds like you? 😉


Experienced Practitioner: 5+ years of proven professional experience in deploying big data-based models from conceptualization to deployment, ensuring sustained performance in production.
Machine Learning Mastery: Proven experience with Machine Learning techniques (Neural Networks, Random Forest, etc.) and ML frameworks (Catboost, Mlflow, PyTorch, Tensorflow, etc.).
Programming Proficiency: Fluency in relevant programming languages (Python, Java, etc.).
Data Expertise: Strong proficiency in SQL & NoSQL and big data processing pipelines (we use Python, Spark, Airflow).
Quantitative Background: Bachelor's/Master's degree in Mathematics, Physics, Computer Science, Machine Learning Engineering or a related field.
Data Enthusiast: A genuine passion for working with data and uncovering insights.
Problem Solver: Strong analytical and problem-solving skills to tackle complex challenges.
Business Acumen: Ability to translate business requirements into solutions.
Effective Communication: Excellent stakeholder management and communication skills.


Nice to have:


Deep Learning Experience: Familiarity with deep learning techniques and applications.
Clickhouse & AdTech: Prior experience with Clickhouse and/or the ad-tech industry.
Real-Time Processing: Experience with real-time big data processing.


What do we offer?


Exceptional career growth and learning opportunity
A unique opportunity to be part of an experienced team of industry experts and entrepreneurs who bring massive change to the Adtech market
Direct, day-to-day work experience with the management
A fun, driven, and multinational team located across Germany, India, Argentina, Ukraine, Turkey, the UK and soon more countries
A flexible work-from-home arrangement
A 500-dollar home-office setup budget
A 1000-dollar annual learning and development budget
Show more "
"Machine Learning Engineer, Performance",Remerge,Germany,2024-08-30,https://de.linkedin.com/jobs/view/machine-learning-engineer-performance-at-remerge-4012313747?position=10&pageNum=0&refId=SznjMkROOZfRAFiMqtAqjQ%3D%3D&trackingId=OW2NTYWPUlx7KiRVMJFdLA%3D%3D&trk=public_jobs_jserp-result_search-card,"Remerge helps leading mobile app marketers increase revenue and retention by activating, re-engaging and retaining high-value users through programmatic in-app ads. Founded in 2014, Remerge has established itself as a leading app retargeting player globally, with offices spanning Berlin, New York, Singapore, Seoul and Tokyo. Our international team of experts has contributed to the growth of hundreds of apps across all major verticals, including gaming, on-demand delivery, e-commerce, and finance.

Job mission

We are looking for a Machine Learning Engineer to join our team and work on real time bidding systems which make over a billion bids a day. Your team's mission is to model user behaviour, value of the bid, price of the bid and eventually the attribution. Our goal is to automate the advertising strategy, to reach the targets for our clients as a enterprise solution.

About The Team

Our team consists of Machine Learning and Data Science experts from diverse backgrounds and are looking for an additional member for our team with experience in mixed data predictive modelling. In our day-to-day we collaborate with development as well as business teams to build a good bidding system. Joining this team you can expect colleagues that are curious about new models, analytical techniques, different architectures and more, and appreciate spending time together sparring on these ideas.

Job responsibilities


Develop and deploy complex machine learning models in Python and Tensorflow.
Ability to plan and manage different stages of model development (research, development, metrics, real world experiments, deployment)
Be the person of contact for business teams in a region, on client issue and provide solutions / explanations on system behaviour
Be the second line of contact on the models, during on-call alerts.


Job requirements


2-3 years experience working in programatic advertising (DSP, SSP, Ad exchange). Work in retargeting campaigns is a plus.
A good foundation in mathematics of neural networks, loss functions, metrics to analyse performance.
Familiar with Machine learning infrastructure , building models for continuous deployment .
Expertise in building multi modal machine learning models is a plus.
Expertise in dealing with mixed data, models on large data (> 1B records), embedding layers.
Good software engineering skills.
Good communication skills, explaining model behaviour to business teams.


Our promise


Unlimited vacation days - for real. We give you the freedom to figure out the most productive work-life balance for you
Mentorship program for technical and non-technical skills
A truly modern place to work: work from home, from our brand new office in Berlin - your work environment is yours to design. We also offer flexibility in remote work.
Generous remuneration package including virtual shares, a dedicated education budget
End of the year bonus determined by company performance
Travel to our offices around the globe for a short term assignment for up to a month every two years
Comfortable work setup - laptop, phone, screen(s), standing desk etc.
Support for your setup while working from home
Wellness benefits such as sports memberships, Nilo Health subscription and internet reimbursements
Company events including breakfast twice a week, team lunches, birthday and milestone celebrations, quarterly team events and company-wide parties & trips


Remerge is an Equal Opportunity Employer: all qualified applicants are considered for positions regardless of race, ethnic origin, gender, age, religion or belief, marital status, gender identification, sexual orientation, veteran status or disability. We're looking forward to your application!

Important notice: Protect yourself from scammers representing Remerge

Do not respond to job offers from third parties claiming to recruit on behalf of Remerge, or individuals impersonating as Remerge employees offering freelance or remote work opportunities. We do not ask job applicants for personal information like bank account numbers, address, money transfer requests, or other confidential details on any messaging platform. If someone reaches out to you to offer you a job, make sure that they are a verified Remerge employee by checking their identity on official Remerge channels.

Please note that the only job openings we offer are listed on our official website: remerge.io/careers

Stay vigilant and protect yourself from potential scams.

Please review our Applicants Privacy Policy.
Show more "
