title,company,location,date,link,description
Computer Vision Engineer,YO HR Consultancy,New zealand,2024-08-27,https://nz.linkedin.com/jobs/view/computer-vision-engineer-at-yo-hr-consultancy-4009450077?position=1&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=TUhMHVvh5BrSj3RfST2hug%3D%3D&trk=public_jobs_jserp-result_search-card,"Computer Vision Engineer - LLM

Experience: 2 - 15 Years

Location- Permanent Remote Anywhere in the world

Contract Duration: 6 Months

Opportunity- Full Time, 8 hours, 5 hours Mandatory overlap with PST

Total Years Of exp- 2+ years Mandatory

Mandatory Skills- Python: min 2yrs, Python for Data Science: min1 yr, Computer Vision: min1 yr, PyTorch: min 1 yr, OpenCV: min 1 yr, Tensorflow: min 1 yr, Image Recognition: min 1 yr

Key Skills: Computer Vision, Python, Pytorch, OpenCV, Image Recognition

Job Responsibilities


Develop and maintain machine learning models, with a focus on computer vision algorithms.
Implement image processing techniques such as object detection, segmentation, and image classification using Convolutional Neural Networks (CNNs).
Work with TensorFlow or PyTorch to develop, train, and deploy vision models.
Utilize OpenCV for tasks like feature extraction, image filtering, and object tracking.
Collaborate with cross-functional teams to enhance AI-driven solutions in the mobile coding domain.


﻿

Job Requirements


Bachelor’s/Master’s degree in Engineering, Computer Science, or a related field.
At least 2+ years of experience as a Python-focused Engineer.
Expertise in image processing and computer vision algorithms using CNNs.
Strong experience with TensorFlow/PyTorch for developing, training, and deploying vision models.
Proficiency in OpenCV for image processing tasks.


Nice To Have


Experience with Keras for quick prototyping of deep learning models.
Familiarity with Large Language Models (LLMs) and their applications in AI.
Knowledge of cloud platforms such as AWS, Azure, or Google Cloud.


Skills: google cloud,image recognition,deep learning models,python,machine learning,algorithms,processing,computer science,pytorch,engineering,azure,opencv,image processing,feature extraction,tensorflow,mobile coding domain,ai-driven solutions,cross-functional collaboration,python for data science,cloud platforms (aws, azure, google cloud),models,tensorflow or pytorch,convolutional neural networks,cloud platforms,llms,tensorflow/pytorch,image processing techniques,aws,image filtering,cnn,computer vision,convolutional neural networks (cnns),cnns,object tracking,mobile coding,keras,object detection,deep learning,large language models (llms),segmentation
Show more "
Data Scientist,Robert Walters,New zealand,2024-08-19,https://nz.linkedin.com/jobs/view/data-scientist-at-robert-walters-4003251235?position=2&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=F3Bi6Y0hTdByAgkNrADRJA%3D%3D&trk=public_jobs_jserp-result_search-card,"This role is based in Auckland and the successful candidate will have the opportunity to work with cutting-edge technologies such as SQL, Python, and Google Cloud Platform. Experience in an insurance environment would be a plus, but it's not a deal-breaker. This is a fantastic opportunity to apply your data science skills in a supportive and inclusive environment.


Initial 6-month contract with potential for extension
Opportunity to work with SQL, Python, and Google Cloud Platform
Experience in an insurance environment is beneficial


What You'll Do

As a Data Scientist, you will be at the forefront of analysing complex data sets using SQL, Python, and Google Cloud Platform. Your role will involve developing predictive models and machine learning algorithms to extract valuable insights from these data sets. You'll also present this information using data visualisation techniques to help inform strategic decisions. Collaboration is key in this role as you'll work closely with engineering and product development teams. Additionally, you'll ensure data accuracy and consistent reporting by designing and creating optimal processes and procedures.


Utilise SQL, Python, and Google Cloud Platform to analyse and interpret complex data sets
Develop predictive models and machine learning algorithms
Present information using data visualisation techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Ensure data accuracy and consistent reporting by designing and creating optimal processes and procedures


What You Bring

As the ideal candidate for the Data Scientist role, you bring a strong proficiency in SQL, Python, and Google Cloud Platform. Your understanding of machine learning algorithms and predictive modelling allows you to develop innovative solutions to complex problems. You have excellent problem-solving skills which enable you to tackle any challenge that comes your way. Your ability to present complex data in understandable ways will be crucial in this role. You're experienced in working collaboratively with diverse teams. Lastly, your understanding of data architecture, structures, theories, principles, and practices will be highly beneficial.


Proficiency in SQL, Python, and Google Cloud Platform
Strong knowledge of machine learning algorithms and predictive modelling
Excellent problem-solving skills
Ability to present complex data in understandable ways
Experience working collaboratively with diverse teams
Understanding of data architecture, structures, theories, principles, and practices


Robert Walters endeavours to review all applications in a maximum of five working days. If you have not received correspondence within this timeframe please do not hesitate to contact Terence Gomes on 09 374 7347.
Show more "
Data Scientist,DDB Group Aotearoa NZ,New zealand,2024-08-06,https://nz.linkedin.com/jobs/view/data-scientist-at-ddb-group-aotearoa-nz-3992243499?position=3&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=kY7atEhbqAXuWUeMAv3Cmw%3D%3D&trk=public_jobs_jserp-result_search-card,"We’re looking for a Data Scientist to join the team, working within our strategy & insights team in TRACK + Tribal, part of DDB Group.




The role

This is an exciting opportunity to be a part of a newly formed team where you will lead the design and delivery of data science projects for TRACK + Tribal and its clients.




In this role you will apply statistical techniques, methodologies, and tools to an exciting range of customer datasets from some of New Zealand’s biggest brands to generate actionable insights that helps our clients increase the volume and value of their customers.




What will you bring?

We’re looking for a passionate and driven person who can blend both analytic rigor with an ability to translate and present complex technical solutions that deliver real business benefits for our clients.




You will ideally have at least 2 years of experience analyzing customer data perhaps working for an agency, marketing research company or a brand, and of course a numerate tertiary qualification. Having proficient skills and substantial experience in both SQL and Python is also a crucial requirement.




TRACK + Tribal – Who we are…

TRACK + Tribal is one of New Zealand’s leading customer experience agencies and we’re looking for a talented Data Scientist to join our growing team.




DDB Group Aotearoa is arguably the highest performing communications agency in New Zealand. We partner with some of the biggest and best loved brands across the world and we are dedicated to making creative work that works.




What can we offer?

Exposure to some of the best and brightest minds in the business, an opportunity to supercharge your career and do the best work of your life all the while having some fun doing that. We have a buzzing office in Grey Lynn, filled with a bunch of, talented and nice humans. We have a range of perks & benefits that will help support, encourage and reward you.




We’re a diverse and eclectic bunch here, there’s no typical employee. Everyone is here because of what they have to offer. We are committed to diversity, equity, and inclusion and all qualified applicants will receive consideration for employment without regard to gender identity or expression, sexual orientation, religion, ethnicity, age, neurodiversity, disability status, or any other aspect which makes them unique.




Interested

As you'll know, any job is much more than just a couple of paragraphs on LinkedIn. If you're interested, please share your cover letter and CV.

Show more "
Machine Learning Engineer Lead - LLM/Python/GenAI,YO HR Consultancy,New zealand,2024-08-01,https://nz.linkedin.com/jobs/view/machine-learning-engineer-lead-llm-python-genai-at-yo-hr-consultancy-3988393110?position=5&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=SK3URIcOjp10Z2tZPiyLBQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Opportunity: Full Time, 8 hours India time

Contract length: 6-12 Months

Must-Have

Total Years Of exp- 7+ years experience mandatory

Mandatory Skills: Python- 7 years, Machine Learning - 3 years, LLM - 3 years.

Solid understanding of cloud services, including Azure, GCP, or AWS

Introduction

We are seeking experienced professionals with expertise in Large Language Models (LLM) to join a dynamic team working on next-generation products. In this role, you will collaborate with other engineers across various skill sets, driving innovative solutions for our clients.

Required Skills


7+ years of professional experience in building Machine Learning models & systems
1+ years of hands-on experience with LLMs and Generative AI, particularly prompt engineering, RAG, and agents
Expertise in business analysis, requirement gathering, and solution workflow design for GenAI/ML projects
Proven ability to drive client engagement and align development teams toward a technical roadmap
Proficient in programming with Python, Langchain, and SQL
Solid understanding of cloud services, including Azure, GCP, or AWS
Excellent communication skills for effective collaboration with business SMEs


Skills: large language models (llm),business analysis,gcp,python programming,azure,generative ai,python,langchain programming,communication skills,cloud,aws,llm,cloud services,sql programming,sql,machine learning,technical roadmap,requirement gathering,agents,solution workflow design,rag,programming,langchain,models,client engagement
Show more "
Expression of Interest - Artificial Intelligence Specialist,Marlee (Fingerprint For Success),New zealand,2024-08-27,https://nz.linkedin.com/jobs/view/expression-of-interest-artificial-intelligence-specialist-at-marlee-fingerprint-for-success-4011304770?position=6&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=klYDxcLBgtRzvV7Ox4VxaQ%3D%3D&trk=public_jobs_jserp-result_search-card,"We are inviting professionals in high-growth industries who are thinking about their next move or looking for a new opportunity to join our expanding talent pool.


The Marlee Talent Pool is a pilot project designed to:

Help job seekers get discovered by our partners based on their anticipated hiring needs.
Provide optional support and resources for job seekers in their career endeavours.
Help individuals understand, and bring out the best in themselves and each other.

The Marlee Talent Pool process:

Once you express your interest, you will be asked to complete the Marlee work style assessment which measures 48 key attitudes and motivations in the context of work. On completion, you will be automatically added to our growing talent pool and contacted as new opportunities arise.

About Marlee (Fingerprint For Success)

Backed by 20+ years of research, Marlee’s revolutionary predictive analytics have achieved over 90% reliability in forecasting personal and team motivations, behaviours, and performance.

Ultimately, we help people find purpose and fulfillment at work, and help build and scale high-performing teams.


Keep in mind that joining our talent pool does not guarantee a job offer. We aim to balance your technical skills with the results of your Marlee work style assessment to match the hiring needs of our partners.

Your feedback is a gift! Write to us via: hello@getmarlee.com to help co-create the future of recruitment, together.

Show more "
Senior AI / ML Engineer,Potentia,New zealand,2024-08-12,https://nz.linkedin.com/jobs/view/senior-ai-ml-engineer-at-potentia-3996170455?position=8&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=m%2FYSUfUfCtBcc8IpxNWBBg%3D%3D&trk=public_jobs_jserp-result_search-card,"The Opportunity

An exciting opening has emerged to build on the incumbent capability amidst significant expansion in the ML & AI product development at this consumer electronics business., The company is focusing on supercharging its product lines and exploring new business opportunities by using ML and AI to enhance customer experiences and extend product lifespans. This pivotal role calls for a technical specialist to spearhead the ML and in turn AI initiatives, offering an unique opportunity to shape both current and future products by integrating innovative technological developments. This talented team of engineers designs cutting-edge electric motor and controller technology that forms the nerve centre of the appliances in our homes.

The Company

A shining star in Aotearoa’s technology sector, building high-end consumer electronics, software ecosystems and solutions for a widespread global audiences. Regionally, their success has been monumental in some areas and fledgling in others. Categories for the application of their IP are much the same, immense success in some and recent emerging growth. These verticals include home consumer, auto, health and lifestyle for global jurisdictions in the multi-million dollar bracket.

The Role Breaks Down Into Five Core Capabilities

Leadership and Vision: Own the technical ML output, guiding both technical development and product delivery.

Innovation and Development: Develop and deploy machine learning and data models and algorithms that enhance the company’s product range significantly.

Quality and Standards: Establish robust testing and data collection protocols; uphold high standards in machine learning training, deployment processes.

Collaboration and Influence: Collaborate with internal and external stakeholders to identify innovative opportunities; lead cross-functional ML projects, effectively communicating complex technical needs.

Mentorship and Guidance: Lead the Digital Team if desired, enhancing skills in data engineering and machine learning through dedicated leadership.

The Fit

This role offers a diverse range of opportunities for someone with a background in engineering, especially in developing embedded software, algorithms, and data driven models for ML and AI initiatives.

If you enjoy using Python or MATLAB and thrive on compressing this on an embedded platform, then this role presents the perfect challenge for you.

Being comfortable with bringing new products to international markets and leading technical projects that include crafting and implementing innovative AI or ML solutions is key. Having knowledge of signal processing considerations and experience with neural network quantization, as well as embedded software development in C/C++ for 32-bit ARM-based MCUs or similar will set you apart. This position is an opportunity to impact the direction of cutting-edge technology solutions significantly, working within a team environment that fosters innovation and exceeds customer expectations.

If you are driven to excel and lead in developing technology that enhances customer experiences worldwide, we encourage you to apply.
Show more "
"Artificial Intelligence Engineer, 2 Hour Learning (Remote) - $100,000/year USD",Crossover,New zealand,2024-08-30,https://nz.linkedin.com/jobs/view/artificial-intelligence-engineer-2-hour-learning-remote-%24100-000-year-usd-at-crossover-4011700564?position=9&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=yi43hsgsqjUYRtRKT28jyQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, 2 Hour Learning. Have you got what it takes?

Are you a skilled full-stack developer with a passion for AI and a drive to transform K-12 education? At 2 Hour Learning, we're leading a revolution in digital learning backed by data and innovation.

At 2 Hour Learning, we don't just aim to improve education—we're redefining it. Our cutting-edge learning ecosystem, powered by advanced AI, learning science, and psychometrics, is twice as effective as traditional schooling. Students at every level, from kindergarten to high school, are achieving remarkable academic milestones, far surpassing standard expectations.

Your Role in the Revolution:

In this role, you’ll be at the forefront of our AI-powered educational transformation. With full autonomy and creative freedom, you’ll envision, develop, and deploy sophisticated full-stack applications and interactive AI tools that not only engage students but also enhance learning efficiency in unprecedented ways.

This is not a position for those who prefer to specialize in a single aspect of development. We're looking for innovative thinkers who can seamlessly integrate AI across both front-end and back-end systems, taking ownership of the entire product. Your work will directly impact thousands of students, ensuring that our tools meet their needs and set new standards for educational technology.

Who We're Looking For:

We need bold innovators who thrive on leveraging the latest in generative AI to create real-world educational impact. If you’re excited about pushing the boundaries of what’s possible in AI-driven education and are ready to bring your expertise in full-stack development and AI, this is your chance to make a difference.

For more information on 2 Hour Learning, visit our website [https://2hourlearning.com/] and the Future of Education Instagram page [https://www.instagram.com/futureof_education/]. To see a school built around 2 Hour Learning, check out Alpha [https://alpha.school/].

What You Will Be Doing


Develop AI-Powered Web Applications: Architect and code sophisticated web applications that integrate both front-end and back-end components, with a focus on enhancing user experience through AI.
Experiment and Innovate with AI: Work with cutting-edge AI technologies, specifically large language models (LLMs) like GPT-4 or Claude, to create autonomous tools and interactive features that redefine how students learn.
Drive Technical Projects: Take ownership of the entire development process, from gathering requirements to launching and iterating on products. You’ll work closely with stakeholders to ensure that our solutions meet learner needs and push the boundaries of what’s possible.
Collaborate and Communicate: Partner with a global team of developers, designers, and educational experts. Your ability to communicate complex ideas simply and effectively will be key to your success.
Continuous Improvement: Stay ahead of the curve by continually learning and applying the latest advancements in AI and web development to our platform.


What You Won’t Be Doing


Narrow AI Development: You won’t be working on isolated AI features that don’t integrate with the overall product strategy. Your work will have a direct impact on thousands of students.
Surface-Level Coding: This is not a role for those who focus only on either front-end or back-end development. You will be expected to integrate both, creating comprehensive and scalable solutions.
Routine Maintenance: This role is not about maintaining legacy systems or making minor updates. You will be driving innovation and building new, cutting-edge applications.
Waiting for Detailed Specifications: You won't be handed fully fleshed-out requirements. Instead, you will take high-level ideas and translate them into fully developed products, leveraging your expertise in AI and full-stack development.
Working in Isolation: You won't be coding in a vacuum. Collaboration with other developers, product managers, and educational experts is key to ensuring that the solutions you build are impactful and user-centered.


Artificial Intelligence Engineer Key Responsibilities

Develop and deliver engaging, human-centered AI applications that demonstrably accelerate learning outcomes and efficiency for thousands of K-12 students.

Basic Requirements


At least 3 years of experience in full-stack development, with proficiency in front-end frameworks such as React, Angular, Vue.js, or Svelte, and back-end technologies like Node.js, Django, Ruby on Rails, Flask, or Spring Boot.
Hands-on experience integrating large language models (LLMs) like GPT-4, Claude, or similar into web applications.
Proven ability to independently manage and execute technical projects from start to finish, including gathering requirements, development, deployment, and iteration.
Excellent verbal and written communication skills, with the ability to collaborate effectively with stakeholders, team members, and users across a global, remote team.
A demonstrated passion for staying at the forefront of technology, particularly in AI and web development, with a commitment to continuous learning and applying new advancements to your work.


About 2 Hour Learning

2hr Learning is powered by AI technology that enables schools to provide personalized, mastery learning to students, enabling them to learn faster than standard school, thereby freeing up the rest of the school day to pursue their passions and interests.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $50 USD/hour, which equates to $100,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:


You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.


Important! If you do not receive an email from us:


First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.


Crossover Job Code: LJ-5361-NZ-Auckland-ArtificialInte.002


Show more "
Principal AI/ML Engineer,Resideo,New zealand,2024-08-22,https://nz.linkedin.com/jobs/view/principal-ai-ml-engineer-at-resideo-3989236838?position=10&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=V9%2BK7%2BTpcZ57BogewYx95w%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description

Are you passionate about pushing the boundaries of what's possible in the realm of AI and IoT, and you're ready to make a meaningful impact on a global scale? At Resideo, we're on a mission to create a world where people are healthy, happy, safe, and secure. To achieve this, we're looking for a talented and dedicated Principal AI/ML Engineer to join our Corporate Innovation Team. In this role, you'll have the opportunity to leverage your expertise in Large Language Models (LLMs) and IoT to develop cutting-edge solutions that will impact millions of people. We're seeking a creative problem-solver who can navigate complex challenges, collaborate with cross-functional teams, and deliver innovative AI/ML/LLM technologies that will make a real difference in people's lives.

JOB DUTIES:


Collaborate with the Corporate Innovation Team to identify opportunities for integrating AI/ML and LLM technologies into our product offerings.
Hands-on development and design of multi-modal AI systems that can process and integrate data from various sources, such as text, speech, images, and sensor data
Lead the entire product lifecycle of AI solutions, from concept to market-ready products, ensuring successful deployment and adoption
Implement evaluation methodologies to assess the performance, reliability, and effectiveness of AI systems, ensuring they meet the high standards of accuracy, fairness, and robustness
Help navigate teams to optimize cost cost tradeoffs of AI solutions, from model selection, prompt engineering, to fine-tuning decisions.
Navigate through ambiguous project goals, bringing clarity and direction to the innovation process.
Stay up-to-date with the latest advancements in LLMs, IoT technologies, and associated tools
Document and present findings and solutions to technical and non-technical stakeholders


YOU MUST HAVES:


Bachelor's in Computer Science or a related field (Master's or Ph.D. preferred)
10+ years of professional experience in the engineering industry, with 4+ in software development using Python or related languages, with a strong focus on AI/ML
Proven track record of successfully developing and deploying LLMs, conversational AI solutions, and agent-based systems in real-world applications
Knowledge in LLM architectures (Transformer, BERT, GPT, T5, etc.) and their practical applications
Development time with tools, like LangChain, for building and deploying language model-driven applications
Hands on experience with information retrieval techniques and vector databases (Elastic Search, FAISS, Pinecone, RAG, etc.)


WE VALUE:


Experience with cloud platforms such as Azure or AWS
Strong foundation in machine learning and statistical knowledge
Familiarity with modern ML frameworks and libraries
A drive to create new and innovative solutions
Continuous learning mindset with a willingness to stay updated with AI, ML, and IoT
A proven track record of managing projects in unstructured environments


WHAT'S IN IT FOR YOU:


Opportunity to have a direct impact on high-scale projects and products selling to millions of homes and businesses worldwide
Play a key role in driving a world where people are healthy, happy, safe, and secure through innovative AI and IoT solutions
Full ownership of a dynamic tech stack and the chance to work with cutting-edge technologies
Collaborate with high-performing, cross-functional teams in a fast-paced and intellectually stimulating environment
Competitive salary, comprehensive benefits package, and opportunities for professional growth and development


About Us

Resideo is a leading global provider of critical comfort and security solutions primarily in residential environments and distributor of low-voltage electronic and security products. Building on a 130-year heritage, Resideo has a presence in more than 150 million homes, with 15 million systems installed in homes each year. We continue to serve more than 110,000 professionals through leading distributors, including our ADI Global Distribution business, which exports to more than 100 countries from more than 200 stocking locations around the world. Resideo is a $5.0 billion company with approximately 13,000 global employees. For more information about Resideo, please visit www.resideo.com .

At Resideo, we bring together diverse individuals to build the future of homes. Resideo is an equal opportunity employer. Qualified applicants will be considered without regard to age, race, creed, color, national origin, ancestry, marital status, affectional or sexual orientation, gender identity or expression, disability, nationality, sex, religion, or veteran status. For more information on applicable U.S. equal employment regulations, refer to the ""EEO is the Law"" poster , ""EEO is the Law"" Supplement Poster and the Pay Transparency Nondiscrimination Provision . Resideo complies with applicable equal employment laws in all countries where we do business. For more information on how we process your information in the job application process, please refer to Recruitment Privacy Notice . If you require a reasonable accommodation to apply for a job, please use Contact Us form for assistance.


Show more "
Senior Machine Learning Engineer,The Onset,New zealand,2024-08-28,https://nz.linkedin.com/jobs/view/senior-machine-learning-engineer-at-the-onset-4011007581?position=11&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=sBeirh0Uyi7%2BH372Nk6v1w%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description

Staff Machine Learning Engineer (Bangkok Based, Relocation Provided)

Are you passionate about transforming travel for millions of customers worldwide?

Imagine doing that while enjoying the vibrant metro of Bangkok, one of the best places in Asia to live and work. Or from a tropical paradise a few hours away!

This opportunity is a hybrid role, offering a flexible working model. You will be part of the client’s efforts to creatively increase business and implement resources such as operational and analytical databases, ML- driven solutions, queue systems, and data monitoring tools.

Who are they?

Headquartered in Bangkok, they are one of the world’s largest online travel platforms. Their team, comprising 4,000 members from 90 different nationalities, is driven by a shared passion for travel and a goal to make it more accessible. This diversity enhances their products and services by providing a better understanding of customers' needs. Collaboration is key, with teams working closely both locally and globally, bringing together varied experiences and ideas.

This company is focused on being data-driven to continually improve their customer and employee experience, even down to what snacks the staff enjoy in the kitchen.

What You’ll Do


Lead the team in improving scalability, stability, accuracy, speed, and efficiency of ML systems.
Build, administer, and scale ML processing pipelines.
Navigate technology stack: Python3, PySpark, Bash/Python scripting, Hadoop, SQL, S3, etc.
Understand the internals of ML models (Random Forest, CNN, Regression models, etc.).
Design, build, test, and deploy new libraries, frameworks, or systems with high testing and code quality standards.



Your Benefits


Work with cutting edge tooling & SMEs within technology across the business
Spend a month working remotely from anywhere globally each year.
Team days on Tuesday and Wednesday where everyone is together.
Receive discounts on accommodation worldwide.
Access to a Parental leave and Employee Assistance Programs for personal and workplace support.
Get health insurance and benefits including gym, yoga and dental.



What You’ll Bring


Education: Bachelor’s degree in computer science, information systems, engineering, or related field.
Experience: 8+ years in software engineering, with 4+ years in ML; strong background in PySpark and Python.
Technical Skills: Proficient in design patterns, object-oriented programming, SQL, and debugging production issues; understanding of data architecture principles and experience with Big Data technologies/tools is preferred.



Become part of a passionate team with people from different nationalities working together on a single goal in leading advancements in machine learning and innovation.

Relocation package available..

Want to know more? Apply here or share your resume to june@theonset.com.au
Show more "
Principal Machine Learning Engineer - JIRA AI,Atlassian,New zealand,2024-08-15,https://nz.linkedin.com/jobs/view/principal-machine-learning-engineer-jira-ai-at-atlassian-3984261890?position=12&pageNum=0&refId=L%2BA%2FtUmIqgPWyJH4DosoRg%3D%3D&trackingId=5dOVOj9ZIUbmrk8eJbjVQA%3D%3D&trk=public_jobs_jserp-result_search-card,"Overview

Atlassian is looking for a talented Principal Machine Learning Engineer to join one of our Sydney engineering teams in Jira Cloud called “Jira AI“. Our team is responsible for shaping the future of workflow collaboration in Jira with AI. As an Engineer well into your career, we know you're an expert at what you do and have a breadth of experience in AI and Machine Learning which will lead us towards delivering great value to our customers. You take pride in being someone who more junior members look up to and sharing your expertise with others... That's why we're placing a heavy emphasis on leaning on your expertise to take on a high level of responsibility while being a role model and mentor to others on the team.

Responsibilities

As a Principal Machine Learning engineer, you will drive the development and implementation of cutting-edge machine learning algorithms and training sophisticated models, as well as collaborate with our cross-functional team to build the new AI functionalities into Jira. Your daily responsibilities will encompass a broad spectrum of tasks, such as designing system and model architectures, conducting rigorous experimentation and model evaluations, providing guidance to emerging ML engineers and upskilling the team in ML. Your role is pivotal, stretching beyond these tasks to ensure AI's transformative potential unleashes even more potential from team collaboration through Jira.

Qualifications

In this role, you'll get the chance to:


Regularly tackle the largest and most complex problems on Jira AI that can be solved with AI, from technical design to launch.
Deliver solutions that are used by other teams and products
Determine plans of attack on large projects.
Set the standard for AI development.
Partner across engineering teams to take on company-wide initiatives spanning multiple projects.
Mentor other engineers in the group, upskilling them in AI/ML.



Sound Like An Exciting Opportunity? We Think So Too... In Order To Set You Up For Impact On Day One, We'll Expect You To Have This On Your First Day


Bachelors, Masters, or PhD in Computer science in a related technical field or similar experience
You are not required to know a specific programming language, however expert-level experience with one or more prominent languages such as Java, Python, C#, C/C++, or Ruby is crucial.
An expert in AI/ML (especially LLMs) with proven experience delivering solutions directly to customers, engaging with user experience and customer feedback.
You are familiar with several of the following: TensorFlow, PyTorch, sci-kit-learn.
Passion for collaborating with and mentoring other members of the team
A real appetite for helping others learn and grow
Considers the customer impact when making technical decisions



Our Perks & Benefits

Atlassian offers a variety of perks and benefits to support you, your family and to help you engage with your local community. Our offerings include health coverage, paid volunteer days, wellness resources, and so much more. Visit go.atlassian.com/perksandbenefits to learn more.

About Atlassian

At Atlassian, we're motivated by a common goal: to unleash the potential of every team. Our software products help teams all over the planet and our solutions are designed for all types of work. Team collaboration through our tools makes what may be impossible alone, possible together.

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

To provide you the best experience, we can support with accommodations or adjustments at any stage of the recruitment process. Simply inform our Recruitment team during your conversation with them.

To learn more about our culture and hiring process, visit go.atlassian.com/crh .
Show more "
