title,company,location,date,link,description
Machine Learning Data Curator,Imara Limited,New zealand,2024-08-16,https://nz.linkedin.com/jobs/view/machine-learning-data-curator-at-imara-limited-4001544771?position=1&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=PykAFrm4stv3jWZpnUdFrg%3D%3D&trk=public_jobs_jserp-result_search-card,"Computer Vision and OD is all about Data and training the model!
Do you love data & curating imagery for Machine Learning?
This opportunity supports the cont'd development of robotics sensory systems



Join Our Client: A Leader in Robotics and Automation

Our client is a trailblazer in the fields of Robotics, Computer Vision, and Control Automation within the Mechatronics domain.

They bring immense value to their customers in Agriculture, Forestry, and Process Automation. Their products are known worldwide, and this role is key to the continued success of their ML team.

About The Role

As a Data Curator (Data Steward), you'll play a crucial part in ensuring the quality and effectiveness of their perception system by managing machine learning training data, particularly image datasets.

Your work will ensure the data used for ML tasks is accurate, consistent, and top-notch.

You'll be part of the perception team, focusing on the computer vision aspects of the software.

Key Responsibilities

Dataset Management:


Improve the perception system's quality through meticulous management of ML training data.
Identify and gather data from relevant sources, collaborating with other engineers for data capture and collection.
Manage ongoing dataset requirements, focusing on storage, security, speed, and efficiency.



Measurements and Reporting:


Track the performance of ML models over time.
Measure model effectiveness on new data.
Produce regular performance reports.



Planning and Execution:


Manage image annotation resources, both internal and external, including communication and performance expectations.
Define and manage a backlog of data priorities.
Oversee the assignment and completion of backlog tasks.



Team Leadership:


Check in with casual image annotators and external companies to manage the annotation backlog.
Approve weekly timesheets for casual annotators.
Ensure annotators and external companies understand and take accountability for their work.
Play a role in onboarding and exiting casual annotators.
Demonstrate the client’s core values in the workplace.



Skills & Experience Needed


A degree in Computer Science, Software Engineering, or a related field.
4 years of commercial experience in a similar role.
Solid experience in data management or analysis.
Knowledge of Neural Networks and Machine Learning.
Ability to organize and manage large data sets.
Strong analytical skills with excellent communication and problem-solving abilities.
Ability to explain complex problems in simple, non-technical terms.
Experience with tools and technologies like cloud storage, SQL, scripting, and automation is a plus.



Next Steps

Think this role is for you? If you have the skills and experience in Data Stewardship/Data Curation, we want to hear from you!

Send us a cover letter explaining why you're a fit for this role, along with your resume.

Got questions? Call Barry Hardy at 027 654 4653 after submitting your details.
Show more "
Expression of Interest - Artificial Intelligence Specialist,Marlee (Fingerprint For Success),New zealand,2024-08-27,https://nz.linkedin.com/jobs/view/expression-of-interest-artificial-intelligence-specialist-at-marlee-fingerprint-for-success-4011304770?position=2&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=YggZ3a%2FAI284jX68RbswHg%3D%3D&trk=public_jobs_jserp-result_search-card,"We are inviting professionals in high-growth industries who are thinking about their next move or looking for a new opportunity to join our expanding talent pool.


The Marlee Talent Pool is a pilot project designed to:

Help job seekers get discovered by our partners based on their anticipated hiring needs.
Provide optional support and resources for job seekers in their career endeavours.
Help individuals understand, and bring out the best in themselves and each other.

The Marlee Talent Pool process:

Once you express your interest, you will be asked to complete the Marlee work style assessment which measures 48 key attitudes and motivations in the context of work. On completion, you will be automatically added to our growing talent pool and contacted as new opportunities arise.

About Marlee (Fingerprint For Success)

Backed by 20+ years of research, Marlee’s revolutionary predictive analytics have achieved over 90% reliability in forecasting personal and team motivations, behaviours, and performance.

Ultimately, we help people find purpose and fulfillment at work, and help build and scale high-performing teams.


Keep in mind that joining our talent pool does not guarantee a job offer. We aim to balance your technical skills with the results of your Marlee work style assessment to match the hiring needs of our partners.

Your feedback is a gift! Write to us via: hello@getmarlee.com to help co-create the future of recruitment, together.

Show more "
Data Scientist,Robert Walters,New zealand,2024-08-19,https://nz.linkedin.com/jobs/view/data-scientist-at-robert-walters-4003251235?position=3&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=L7aoLAMb35S2ne2kRo%2FFxg%3D%3D&trk=public_jobs_jserp-result_search-card,"This role is based in Auckland and the successful candidate will have the opportunity to work with cutting-edge technologies such as SQL, Python, and Google Cloud Platform. Experience in an insurance environment would be a plus, but it's not a deal-breaker. This is a fantastic opportunity to apply your data science skills in a supportive and inclusive environment.


Initial 6-month contract with potential for extension
Opportunity to work with SQL, Python, and Google Cloud Platform
Experience in an insurance environment is beneficial


What You'll Do

As a Data Scientist, you will be at the forefront of analysing complex data sets using SQL, Python, and Google Cloud Platform. Your role will involve developing predictive models and machine learning algorithms to extract valuable insights from these data sets. You'll also present this information using data visualisation techniques to help inform strategic decisions. Collaboration is key in this role as you'll work closely with engineering and product development teams. Additionally, you'll ensure data accuracy and consistent reporting by designing and creating optimal processes and procedures.


Utilise SQL, Python, and Google Cloud Platform to analyse and interpret complex data sets
Develop predictive models and machine learning algorithms
Present information using data visualisation techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Ensure data accuracy and consistent reporting by designing and creating optimal processes and procedures


What You Bring

As the ideal candidate for the Data Scientist role, you bring a strong proficiency in SQL, Python, and Google Cloud Platform. Your understanding of machine learning algorithms and predictive modelling allows you to develop innovative solutions to complex problems. You have excellent problem-solving skills which enable you to tackle any challenge that comes your way. Your ability to present complex data in understandable ways will be crucial in this role. You're experienced in working collaboratively with diverse teams. Lastly, your understanding of data architecture, structures, theories, principles, and practices will be highly beneficial.


Proficiency in SQL, Python, and Google Cloud Platform
Strong knowledge of machine learning algorithms and predictive modelling
Excellent problem-solving skills
Ability to present complex data in understandable ways
Experience working collaboratively with diverse teams
Understanding of data architecture, structures, theories, principles, and practices


Robert Walters endeavours to review all applications in a maximum of five working days. If you have not received correspondence within this timeframe please do not hesitate to contact Terence Gomes on 09 374 7347.
Show more "
Machine Learning Engineer Lead - LLM/Python/GenAI,YO HR Consultancy,New zealand,2024-08-01,https://nz.linkedin.com/jobs/view/machine-learning-engineer-lead-llm-python-genai-at-yo-hr-consultancy-3988393110?position=4&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=i2kSBbxMPF%2F40dS%2BLKYZhQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Opportunity: Full Time, 8 hours India time

Contract length: 6-12 Months

Must-Have

Total Years Of exp- 7+ years experience mandatory

Mandatory Skills: Python- 7 years, Machine Learning - 3 years, LLM - 3 years.

Solid understanding of cloud services, including Azure, GCP, or AWS

Introduction

We are seeking experienced professionals with expertise in Large Language Models (LLM) to join a dynamic team working on next-generation products. In this role, you will collaborate with other engineers across various skill sets, driving innovative solutions for our clients.

Required Skills


7+ years of professional experience in building Machine Learning models & systems
1+ years of hands-on experience with LLMs and Generative AI, particularly prompt engineering, RAG, and agents
Expertise in business analysis, requirement gathering, and solution workflow design for GenAI/ML projects
Proven ability to drive client engagement and align development teams toward a technical roadmap
Proficient in programming with Python, Langchain, and SQL
Solid understanding of cloud services, including Azure, GCP, or AWS
Excellent communication skills for effective collaboration with business SMEs


Skills: large language models (llm),business analysis,gcp,python programming,azure,generative ai,python,langchain programming,communication skills,cloud,aws,llm,cloud services,sql programming,sql,machine learning,technical roadmap,requirement gathering,agents,solution workflow design,rag,programming,langchain,models,client engagement
Show more "
Expression of Interest - Artificial Intelligence Developer,Marlee (Fingerprint For Success),New zealand,2024-08-27,https://nz.linkedin.com/jobs/view/expression-of-interest-artificial-intelligence-developer-at-marlee-fingerprint-for-success-4011307381?position=5&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=CnLkA3XxypyfS2idtT8S5Q%3D%3D&trk=public_jobs_jserp-result_search-card,"We are inviting professionals in high-growth industries who are thinking about their next move or looking for a new opportunity to join our expanding talent pool.


The Marlee Talent Pool is a pilot project designed to:

Help job seekers get discovered by our partners based on their anticipated hiring needs.
Provide optional support and resources for job seekers in their career endeavours.
Help individuals understand, and bring out the best in themselves and each other.

The Marlee Talent Pool process:

Once you express your interest, you will be asked to complete the Marlee work style assessment which measures 48 key attitudes and motivations in the context of work. On completion, you will be automatically added to our growing talent pool and contacted as new opportunities arise.

About Marlee (Fingerprint For Success)

Backed by 20+ years of research, Marlee’s revolutionary predictive analytics have achieved over 90% reliability in forecasting personal and team motivations, behaviours, and performance.

Ultimately, we help people find purpose and fulfillment at work, and help build and scale high-performing teams.


Keep in mind that joining our talent pool does not guarantee a job offer. We aim to balance your technical skills with the results of your Marlee work style assessment to match the hiring needs of our partners.

Your feedback is a gift! Write to us via: hello@getmarlee.com to help co-create the future of recruitment, together.

Show more "
Computer Vision Engineer,YO HR Consultancy,New zealand,2024-08-27,https://nz.linkedin.com/jobs/view/computer-vision-engineer-at-yo-hr-consultancy-4009450077?position=6&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=5JOq1g2zrWpG%2BiJnjk8wFw%3D%3D&trk=public_jobs_jserp-result_search-card,"Computer Vision Engineer - LLM

Experience: 2 - 15 Years

Location- Permanent Remote Anywhere in the world

Contract Duration: 6 Months

Opportunity- Full Time, 8 hours, 5 hours Mandatory overlap with PST

Total Years Of exp- 2+ years Mandatory

Mandatory Skills- Python: min 2yrs, Python for Data Science: min1 yr, Computer Vision: min1 yr, PyTorch: min 1 yr, OpenCV: min 1 yr, Tensorflow: min 1 yr, Image Recognition: min 1 yr

Key Skills: Computer Vision, Python, Pytorch, OpenCV, Image Recognition

Job Responsibilities


Develop and maintain machine learning models, with a focus on computer vision algorithms.
Implement image processing techniques such as object detection, segmentation, and image classification using Convolutional Neural Networks (CNNs).
Work with TensorFlow or PyTorch to develop, train, and deploy vision models.
Utilize OpenCV for tasks like feature extraction, image filtering, and object tracking.
Collaborate with cross-functional teams to enhance AI-driven solutions in the mobile coding domain.


﻿

Job Requirements


Bachelor’s/Master’s degree in Engineering, Computer Science, or a related field.
At least 2+ years of experience as a Python-focused Engineer.
Expertise in image processing and computer vision algorithms using CNNs.
Strong experience with TensorFlow/PyTorch for developing, training, and deploying vision models.
Proficiency in OpenCV for image processing tasks.


Nice To Have


Experience with Keras for quick prototyping of deep learning models.
Familiarity with Large Language Models (LLMs) and their applications in AI.
Knowledge of cloud platforms such as AWS, Azure, or Google Cloud.


Skills: google cloud,image recognition,deep learning models,python,machine learning,algorithms,processing,computer science,pytorch,engineering,azure,opencv,image processing,feature extraction,tensorflow,mobile coding domain,ai-driven solutions,cross-functional collaboration,python for data science,cloud platforms (aws, azure, google cloud),models,tensorflow or pytorch,convolutional neural networks,cloud platforms,llms,tensorflow/pytorch,image processing techniques,aws,image filtering,cnn,computer vision,convolutional neural networks (cnns),cnns,object tracking,mobile coding,keras,object detection,deep learning,large language models (llms),segmentation
Show more "
AI Engineer,Absolute IT,New zealand,2024-08-29,https://nz.linkedin.com/jobs/view/ai-engineer-at-absolute-it-4009310832?position=7&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=q1iys9gOMcp31SM%2FJo0%2BXA%3D%3D&trk=public_jobs_jserp-result_search-card,"AI Engineer Wanted

Join an innovative team and drive the convergence of technologies to solve complex customer problems. We’re seeking an AI Engineer to work on cutting-edge solutions, including computer vision, natural language processing, data analytics, and data visualization projects. You’ll collaborate with cross-functional teams and stakeholders, leveraging your technical skills in software development, data science, and data engineering to create impactful products for our clients Business and Enterprise customers.

Key Responsibilities


Develop and implement AI strategies to enhance operations and customer solutions.
Engage in hands-on coding, model building, and infrastructure development.
Build strong relationships with customers and partners.
Stay updated on AI advancements and communicate technical concepts to non-technical stakeholders.


Requirements


Degree in Computer Science, Engineering, Data Science, or related field.
Experience in AI, machine learning, and data science technologies.
Proficiency in programming languages and frameworks like Python, R, TensorFlow, and SQL.
Strong analytical skills and a results-driven, proactive mindset.


Ready to make a significant impact? Apply now or reach out to steven.sandhu@absoluteit.co.nz (027 208 6212) and be part of a team that values growth, learning, and customer satisfaction.

Please note, we can only consider applicants that are legally entitled to work in New Zealand at the time of application.
Show more "
Senior AI / ML Engineer,Potentia,New zealand,2024-08-12,https://nz.linkedin.com/jobs/view/senior-ai-ml-engineer-at-potentia-3996170455?position=9&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=dJAGgghKIrziPfixm55RTw%3D%3D&trk=public_jobs_jserp-result_search-card,"The Opportunity

An exciting opening has emerged to build on the incumbent capability amidst significant expansion in the ML & AI product development at this consumer electronics business., The company is focusing on supercharging its product lines and exploring new business opportunities by using ML and AI to enhance customer experiences and extend product lifespans. This pivotal role calls for a technical specialist to spearhead the ML and in turn AI initiatives, offering an unique opportunity to shape both current and future products by integrating innovative technological developments. This talented team of engineers designs cutting-edge electric motor and controller technology that forms the nerve centre of the appliances in our homes.

The Company

A shining star in Aotearoa’s technology sector, building high-end consumer electronics, software ecosystems and solutions for a widespread global audiences. Regionally, their success has been monumental in some areas and fledgling in others. Categories for the application of their IP are much the same, immense success in some and recent emerging growth. These verticals include home consumer, auto, health and lifestyle for global jurisdictions in the multi-million dollar bracket.

The Role Breaks Down Into Five Core Capabilities

Leadership and Vision: Own the technical ML output, guiding both technical development and product delivery.

Innovation and Development: Develop and deploy machine learning and data models and algorithms that enhance the company’s product range significantly.

Quality and Standards: Establish robust testing and data collection protocols; uphold high standards in machine learning training, deployment processes.

Collaboration and Influence: Collaborate with internal and external stakeholders to identify innovative opportunities; lead cross-functional ML projects, effectively communicating complex technical needs.

Mentorship and Guidance: Lead the Digital Team if desired, enhancing skills in data engineering and machine learning through dedicated leadership.

The Fit

This role offers a diverse range of opportunities for someone with a background in engineering, especially in developing embedded software, algorithms, and data driven models for ML and AI initiatives.

If you enjoy using Python or MATLAB and thrive on compressing this on an embedded platform, then this role presents the perfect challenge for you.

Being comfortable with bringing new products to international markets and leading technical projects that include crafting and implementing innovative AI or ML solutions is key. Having knowledge of signal processing considerations and experience with neural network quantization, as well as embedded software development in C/C++ for 32-bit ARM-based MCUs or similar will set you apart. This position is an opportunity to impact the direction of cutting-edge technology solutions significantly, working within a team environment that fosters innovation and exceeds customer expectations.

If you are driven to excel and lead in developing technology that enhances customer experiences worldwide, we encourage you to apply.
Show more "
AI/ML and MLOps Field Engineer,Canonical,New zealand,2024-08-30,https://nz.linkedin.com/jobs/view/ai-ml-and-mlops-field-engineer-at-canonical-4013780061?position=10&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=yZliGdETqLwD86gmBKlIgg%3D%3D&trk=public_jobs_jserp-result_search-card,"Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI, engineering innovation and IoT. Our customers include the world's leading public cloud and silicon providers, and industry leaders in many sectors. The company is a pioneer of global distributed collaboration, with 1000+ colleagues in 70+ countries and very few roles based in offices. Teams meet two to four times yearly in person, in interesting locations around the world, to align on strategy and execution.

The company is founder led, profitable and growing.

We are hiring an AI/ML and MLOps Field Engineer to help global companies embrace AI in their business, using the latest open source capabilities on public and private cloud infrastructure, Linux and Kubernetes. Our team applies expert insights to real-world customer problems, enabling the enterprise adoption of Ubuntu, Kubeflow, MLFlow, Feast, DVC and related analytics, machine learning and data technologies. We are working to create the world's best open source data platform, covering traditional SQL databases and today's NoSQL data stores, as well as the machinery which turns data into insights and executable models.

The people who love this role are software engineers who enjoy customer conversations and solving customer problems during the presales cycle. They are are developers who like to solve customer problems through architecture, presentations and training. Ubuntu is used by pretty much every enterprise in the world, in every industry. This is a fantastic opportunity to learn about the open source technology landscape and develop your business technology insights. You will see first hand in various industries how Linux - and Ubuntu in particular - is shaping innovation and changing the world for the better.

This role is particularly suited to candidates with a technical background who are business minded and driven by commercial success. This role is on our global Field Engineering team and will work closely with enterprise sales leads. We are specifically looking for people interested in solving the most difficult problems in modern data architectures. Training LLMs on multiple K8s clusters deployed on a hybrid cloud infrastructure with GPU sharing across multiple teams? Processing 10M events in real time for financial transactions? Object detection on 10k parallel 4K video streams? These are the problems we solve day to day.

Location: Most of our colleagues work from home. We are growing teams in EMEA, Americas and APAC time zones, so can accommodate candidates from almost any country.

What your day will look like

The global Field Engineering team members are Linux and cloud solutions architects for our customers, designing private and public cloud solutions fitting their workload needs. They are the cloud consultants who work hands-on with the technologies by deploying, testing and handing over the solution to our support or managed services team at the end of a project. They are also software engineers who use Python to develop Kubernetes operators and Linux open source infrastructure-as-code.


Work across the entire Linux stack, from kernel, networking, storage, to applications
Architect cloud infrastructure solutions like Kubernetes, Kubeflow, OpenStack, and Spark
Deliver solutions either on-premise or in public cloud (AWS, Azure, Google Cloud)
Collect customer business requirements and advise them on Ubuntu and relevant open source applications
Grow a healthy, collaborative engineering culture in line with the company values
Deliver presentations and demonstrations of Ubuntu Pro and AI/ML capabilities to prospective and current clients
Liaise with product teams to give them feedback on requirements to influence roadmap
Work collaboratively with your sales team to reach our common targets
Global travel up to 25% of time for internal and external events and 25% to customer meetings


What we are looking for in you


Exceptional academic track record from both high school and university
Undergraduate degree in a technical subject or a compelling narrative about your alternative chosen path
Experience in data engineering, MLOps, or big data solutions deployment
Experience with a relevant programming language, like Python, R, or Rust.
Confidence to respectfully speak up, exchange feedback, and share ideas without hesitation
Track record of going above-and-beyond expectations to achieve outstanding results
Demonstrated personal interest in continuous learning and development
Practical knowledge of Linux, virtualisation, containers and networking
Business-minded technology thinker and problem solver
Knowledge of cloud computing concepts & leaders, such as Kubernetes, AWS, Azure, GCP
Interest in large-scale enterprise open source - private clouds, machine learning and AI, data and analytics
Intermediate level Python programming skills
Passion for technology evidenced by personal projects and initiatives
The work ethic and confidence to shine alongside motivated colleagues
Professional written and spoken English with excellent presentation skills
Experience with Linux (Debian or Ubuntu preferred)
Excellent interpersonal skills, curiosity, flexibility, and accountability
A dynamic person who loves to jump in new projects and interact with people
Appreciative of diversity, polite and effective in a multi-cultural, multi-national organisation
Thoughtfulness and self-motivation
Result-oriented, with a personal drive to follow up and meet commitments
Ability to travel internationally, for company events up to two weeks long, and customer or industry meetings


What you'll learn


Architect and deploy AI/ML infrastructures, data processing pipelines and multi-cluster distributed training
Wide range of open source applications and skills
Work directly with customers in a range of different businesses
Real-life and hands-on exposure to a wide range of emerging technologies and tools


What we offer colleagues

We consider geographical location, experience, and performance in shaping compensation worldwide. We revisit compensation annually (and more often for graduates and associates) to ensure we recognise outstanding performance. In addition to base pay, we offer a performance-driven annual bonus or commission. We provide all team members with additional benefits, which reflect our values and ideals. We balance our programs to meet local needs and ensure fairness globally.


Distributed work environment with twice-yearly team sprints in person
Personal learning and development budget of USD 2,000 per year
Annual compensation review
Recognition rewards
Annual holiday leave
Maternity and paternity leave
Employee Assistance Programme
Opportunity to travel to new locations to meet colleagues
Priority Pass, and travel upgrades for long haul company events


About Canonical

Canonical is a pioneering tech firm at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world of software. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do. Most colleagues at Canonical have worked from home since its inception in 2004. Working here is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game.

Canonical is an equal opportunity employer

We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.


Show more "
Junior Analytic & Insights,NielsenIQ,New zealand,2024-08-22,https://nz.linkedin.com/jobs/view/junior-analytic-insights-at-nielseniq-4005025591?position=11&pageNum=0&refId=VVKOpBjq8Vwkr2RLBk%2FXoQ%3D%3D&trackingId=cmZhOr4D2b%2FGglr1lCccLg%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description

NIQ modern service and analytics team is transforming the way we serve our clients with new and updated tools to help our teams get the job done quickly and easily. We are the team that partners with clients to fuse data, science, and the talents of our people to provide measurement and improvement for the clients and markets we serve. We are the key link between NIQ and clients. Our service, delivery and analytics is the reason clients will continue to invest in our products and service.

In this role you will be responsible for executing against specific client support related activities including the delivery of reporting and analytics to our clients and/or client focused data support, resolution, and triage. You will execute projects with supervision by compiling, analyzing, and interpreting sales data, writing client reports, and constructing presentations. Focus is to create high levels of client satisfaction by delivering accurate and insightful responses that contribute to client outcomes.

Responsibilities


Support day to day contacts at the client, contributing to the achievement of client satisfaction targets
Build effective relationships with client representatives. Attend client meetings and presentations over the phone and in person
Provide basic training to clients on Nielsen tools and solutions
Trouble-shoot and resolve client inquiries related to databases, software, coding and other key aspects that impact client deliverables
Continue to broaden knowledge of client business issues and needs, Nielsen services and broader industry
Liaise with other teams as necessary (e.g. operations, off-shore partners, technology and data science) to solve client business questions and inquiries in a way that contributes to driving client outcomes
Monitor the progress of inquiries against agreed service levels and escalate any issues to the appropriate team
Build and maintain relationships with other client support teams to ensure quality and timely service levels are exceeded
Be involved with Senior NIQ Specialist in discussing analysis design to best answer client questions with client
Work with senior specialist to draft reports and presentations (category overview as well as issue based) building a story and finalising conclusions and propose recommendations
Use internal tools and data sources to analyze and interpret sales data and consumer data. Summarising data in tables, charts, and graphs
Review data for errors and inconsistencies


Qualifications


Business English knowledge, both verbal and written (and local language if required)
Good communication skills & visualization skills – interested in storytelling techniques
Comfortable working in a digital-enabled environment
Ability to work within a virtual environment
Knowledge with Microsoft Excel, PowerPoint
Organizational & interpersonal skills
Interest in the commercial industry
A passion for analytics and delighting clients
University degree or equivalent experience
1-2 years professional work experience


Additional Information

Our Benefits


Flexible working environment
Volunteer time off
LinkedIn Learning
Employee-Assistance-Program (EAP)


About NIQ

NIQ is the world’s leading consumer intelligence company, delivering the most complete understanding of consumer buying behavior and revealing new pathways to growth. In 2023, NIQ combined with GfK, bringing together the two industry leaders with unparalleled global reach. With a holistic retail read and the most comprehensive consumer insights—delivered with advanced analytics through state-of-the-art platforms—NIQ delivers the Full View™. NIQ is an Advent International portfolio company with operations in 100+ markets, covering more than 90% of the world’s population.

For more information, visit NIQ.com

Want to keep up with our latest updates?

Follow us on: LinkedIn | Instagram | Twitter | Facebook

Our commitment to Diversity, Equity, and Inclusion

NIQ is committed to reflecting the diversity of the clients, communities, and markets we measure within our own workforce. We exist to count everyone and are on a mission to systematically embed inclusion and diversity into all aspects of our workforce, measurement, and products. We enthusiastically invite candidates who share that mission to join us. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class. Our global non-discrimination policy covers these protected classes in every market in which we do business worldwide. Learn more about how we are driving diversity and inclusion in everything we do by visiting the NIQ News Center: https://nielseniq.com/global/en/news-center/diversity-inclusion
Show more "
