title,company,location,date,link,description
AI Developer,Capgemini,Singapore,2024-08-27,https://sg.linkedin.com/jobs/view/ai-developer-at-capgemini-4011547711?position=1&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=iqMyK8ZIndqav75JHx4HFQ%3D%3D&trk=public_jobs_jserp-result_search-card,"We are seeking a talented and experienced AI Developer to join our team.

The ideal candidate will have a strong background in machine learning and deep learning with a focus on AI. You will work on developing developing and deploying AI models that generate content enhance user experiences and solve complex problems.

Key Responsibilities


Model Development: Design implement and optimize AI models such as GANs VAEs and transformer-based models.
Data Handling: Collect preprocess and assess large datasets to train and evaluate models.
Research and Innovation: Stay up-to-date with the latest research in AI and contribute to the development of new techniques and methodologies.
Collaboration: Work closely with cross-functional teams including data scientists software engineers and product managers to integrate AI solutions into products.
Performance Optimization: Improve the performance accuracy and efficiency of existing models.
Deployment: Implement and deploy AI models in production environments ensuring scalability and reliability.
Documentation: Maintain comprehensive documentation of models processes and experiments.


Qualifications

Education: Bachelors or Masters degree in Computer Science Electrical Engineering Mathematics or a related field.

Experience: 3-6 years of hands-on experience in developing and deploying AI models.

Technical Skills


Proficiency in Python and experience with deep learning frameworks such as TensorFlow PyTorch or Keras.
Strong understanding of machine learning algorithms neural networks and deep learning principles.
Experience with LLMs autoregressive models etc.
Familiarity with natural language processing (NLP) techniques and transformer models (e.g. GPT BERT) is a plus.
Experience with cloud platforms (AWS GCP Azure) and containerization (Docker Kubernetes).
Strong problem-solving skills and ability to work with complex datasets.


Soft Skills


Excellent communication skills and the ability to explain complex technical concepts to non-technical stakeholders.
Strong reasoning thinking and ability to work independently and as part of a team. Passion for staying updated with the latest advancements in AI and a continuous learning mindset.
Show more "
AI/ML Developer,GECO Asia Pte Ltd,Singapore,2024-08-22,https://sg.linkedin.com/jobs/view/ai-ml-developer-at-geco-asia-pte-ltd-4005355051?position=2&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=Qq4xCszQddBS%2B8prDyE64g%3D%3D&trk=public_jobs_jserp-result_search-card,"Key Skills And Qualifications


Creating and developing AI Generative Models to generate new content based on patterns and data
Collaborating with cross functional teams to improve on prediction accuracy, sentiments analysis, image recognition
Working on predictive modelling, human-AI interaction, optimising on AI
Conducting research and analysis to optimise on AI algorithms and analysis processes
Training AI models using large data sets and optimising training processes
Language : Python
AI-ML frameworks : PyTorch, Tensor Flow or any other
Knowledge of NLP / Deep Learning / Prompt Engineering / AI ChatBot / Image Generation
Flair for innovation and exploration of AI models
Java coding knowledge
Experience in Unix / Linux / Mac environment
Exposure to cloud environments / AWS & DevOps tools and techniques
Show more "
"Software Engineer(Python, Machine Learning& AI) - Fresh Graduates Welcome",Unison Consulting,Singapore,2024-08-22,https://sg.linkedin.com/jobs/view/software-engineer-python-machine-learning-ai-fresh-graduates-welcome-at-unison-consulting-4007353367?position=3&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=u%2Faj7HW%2FZChAv42YrI7EtA%3D%3D&trk=public_jobs_jserp-result_search-card,"We are looking for a motivated and innovative Software Engineer with a passion for Machine Learning and Artificial Intelligence. This role is ideal for fresh graduates with a solid foundation in Python programming and an eagerness to work on AI-driven solutions. You will be a part of a collaborative team developing intelligent systems and applications that solve real-world problems.

Key Responsibilities:


Develop, test, and deploy scalable software applications using Python
Collaborate with data scientists and AI researchers to build machine learning models and integrate them into production systems
Write efficient code to implement AI algorithms, automating data processes, and deploying AI models
Assist in developing machine learning pipelines, data pre-processing, feature extraction, and model training
Analyze and optimize machine learning algorithms for performance and scalability
Participate in code reviews, design discussions, and system architecture planning
Work closely with the product development team to translate requirements into technical solutions
Stay up-to-date with the latest trends and advancements in AI and machine learning



Requirements

Educational Background: Bachelor's degree in Computer Science, Information Technology, Data Science, or a related field.

Programming Skills: Proficiency in Python; experience with libraries such as NumPy, pandas, scikit-learn, TensorFlow, or PyTorch is a plus.

Machine Learning Knowledge: Familiarity with machine learning algorithms and frameworks.

AI Experience: Basic understanding of AI concepts and how they are applied to real-world problems.

Database Skills: Experience with SQL and NoSQL databases is an advantage.

Analytical Thinking: Strong problem-solving skills with attention to detail.
Show more "
AI Engineer - Up to $6K - EAST - KT,Jobscentral,Singapore,2024-08-08,https://sg.linkedin.com/jobs/view/ai-engineer-up-to-%246k-east-kt-at-jobscentral-3995380003?position=4&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=NLgGXIX2uuRXSqo5zsRtQw%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description

As an AI Engineer, you will play a pivotal role in developing and enhancing the AI-driven platforms. Your expertise in machine learning, AI, and GenAI applications will contribute significantly to leveraging advanced technologies in driving innovation and operational excellence.

What You Will Be Working On


Develop and enhance machine learning models and AI solutions, focusing on generative and discriminative AI applications
Test, deploy, and maintain scalable and reliable AI systems
Implement MLOps principles for efficient integration of machine learning models with data pipelines and infrastructure
Work closely with data scientists and engineers to integrate AI into broader system architectures
Facilitate knowledge sharing and technical training sessions to boost organizational AI competency
Integrate AI models and systems with APIs and external systems for seamless data and functionality flow
Stay abreast of AI trends to suggest improvements to existing systems and workflows
Participate in the entire AI model lifecycle management, from data analysis and model building to integration and deployment
Advocate for continuous improvement in AI practices and applications, aligning with our mission of leveraging advanced technologies


Requirements


Tertiary qualifications in computer science, statistics, applied mathematics, data management, information systems, information science, or a related quantitative field
At least 1 year of experience in AI and machine learning disciplines, including model development, deployment, and lifecycle management
Experience in cross-functional team collaboration and supporting AI/GenAI initiatives.
Proficiency in Python; familiarity with R is a plus
Strong knowledge of AI frameworks such as TensorFlow, PyTorch, and scikit-learn
Familiarity with AWS SageMaker, feature stores, model registry, and AWS cloud architecture
Proficiency in SQL and containerization technologies like Docker and Kubernetes
Excellent problem-solving skills, strong interpersonal skills, and the ability to work in a team environment
Confident, energetic self-starter with a commitment to ethics, regulatory compliance, customer service, and business integrity
Highly adaptable and committed to excellence in a dynamic business environment
Demonstrated ability to work creatively and collaboratively with both business and IT teams
Passionate about staying updated on AI advancements and advocating for continuous improvement in AI practices and applications


Khaty Zainal

R22111204

BGC Group Pte Ltd ( Outsourcing )

EA 05C3053
Show more "
AI Developer,Capgemini,Singapore,2024-08-27,https://sg.linkedin.com/jobs/view/ai-developer-at-capgemini-4008319071?position=6&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=%2F4fJ3TWwUXIhfi7ZWiyjmQ%3D%3D&trk=public_jobs_jserp-result_search-card,"About Capgemini:

Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion.




We are seeking a talented and experienced AI Developer to join our team.

The ideal candidate will have a strong background in machine learning and deep learning with a focus on AI. You will work on designing developing and deploying AI models that generate content enhance user experiences and solve complex problems.




Key Responsibilities:

Model Development: Design implement and optimize AI models such as GANs VAEs and transformer-based models.
Data Handling: Collect preprocess and analyze large datasets to train and evaluate models.
Research and Innovation: Stay up-to-date with the latest research in AI and contribute to the development of new techniques and methodologies.
Collaboration: Work closely with cross-functional teams including data scientists software engineers and product managers to integrate AI solutions into products.
Performance Optimization: Improve the performance accuracy and efficiency of existing models.
Deployment: Implement and deploy AI models in production environments ensuring scalability and reliability.
Documentation: Maintain comprehensive documentation of models processes and experiments.




Qualifications:

Education: Bachelors or Masters degree in Computer Science Electrical Engineering Mathematics or a related field.
Experience: 3-6 years of hands-on experience in developing and deploying AI models.




Technical Skills:

Proficiency in Python and experience with deep learning frameworks such as TensorFlow PyTorch or Keras.
Strong understanding of machine learning algorithms neural networks and deep learning principles.
Experience with LLMs autoregressive models etc.
Familiarity with natural language processing (NLP) techniques and transformer models (e.g. GPT BERT) is a plus.
Experience with cloud platforms (AWS GCP Azure) and containerization (Docker Kubernetes).
Strong problem-solving skills and ability to work with complex datasets.
Soft Skills: Excellent communication skills and the ability to explain complex technical concepts to non-technical stakeholders.
Strong analytical thinking and ability to work independently and as part of a team. Passion for staying updated with the latest advancements in AI and a continuous learning mindset.




Let's talk about what's in it for you!




Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from.




As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:




Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini and OutFront support the grassroots passion of employees to drive our diversity agenda and effect change.




Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.




Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. We are focusing on helping our clients transform towards more sustainable business models and committing to reduce our own carbon emissions (GHG) by 20% per employee by 2020.




Recognized by Ethisphere as one of the World's Most Ethical Companies for the last 8 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, click here to listen to some of our employee’s stories.




Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.

Show more "
Junior Data Scientist,Amaris Consulting,Singapore,2024-08-28,https://sg.linkedin.com/jobs/view/junior-data-scientist-at-amaris-consulting-4009751917?position=7&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=TO0wW59I3Pvb9NklcEf8vQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Who are we?

Amaris Consulting is an independent technology consulting firm providing guidance and solutions to businesses. With more than 1,000 clients across the globe, we have been rolling out solutions in major projects for over a decade – this is made possible by an international team of 7,600 people spread across 5 continents and more than 60 countries. Our solutions focus on four different Business Lines: Information System & Digital, Telecom, Life Sciences and Engineering. We’re focused on building and nurturing a top talent community where all our team members can achieve their full potential. Amaris is your steppingstone to cross rivers of change, meet challenges and achieve all your projects with success.

At Amaris, We Strive To Provide Our Candidates With The Best Possible Recruitment Experience. We Like To Get To Know Our Candidates, Challenge Them, And Be Able To Give Them Proper Feedback As Quickly As Possible. Here's What Our Recruitment Process Looks Like

Brief Call: Our process typically begins with a brief virtual/phone conversation to get to know you! The objective? Learn about you, understand your motivations, and make sure we have the right job for you!

Interviews (the average number of interviews is 3 - the number may vary depending on the level of seniority required for the position). During the interviews, you will meet people from our team: your line manager of course, but also other people related to your future role. We will talk in depth about you, your experience, and skills, but also about the position and what will be expected of you. Of course, you will also get to know Amaris: our culture, our roots, our teams, and your career opportunities!

Case study: Depending on the position, we may ask you to take a test. This could be a role play, a technical assessment, a problem-solving scenario, etc.

As you know, every person is different and so is every role in a company. That is why we have to adapt accordingly, and the process may differ slightly at times. However, please know that we always put ourselves in the candidate's shoes to ensure they have the best possible experience.

We look forward to meeting you!

Responsibilities

Job description


Collaborate with senior data scientists and cross-functional teams to understand business requirements and objectives.
Collect, clean, and preprocess data from various sources to prepare it for analysis.
Develop and implement machine learning models and algorithms to extract insights from data.
Perform exploratory data analysis and generate reports to communicate findings.
Utilize programming languages such as Python or R for data analysis, visualization, and scripting.
Assist in the deployment and monitoring of data science solutions.
Stay updated with the latest trends and technologies in data science and machine learning.


Requirements


Bachelor’s degree in Computer Science, Data Science, Statistics, Mathematics, or a related field.
Strong foundation in statistical analysis and machine learning techniques.
Proficiency in Python or R for data analysis and machine learning.
Familiarity with data visualization tools and techniques (e.g., Matplotlib, Seaborn, Tableau).
Basic understanding of SQL and database management.
Excellent problem-solving and analytical skills.
Strong communication and teamwork abilities.
Eagerness to learn and adapt in a fast-paced environment.


Preferred Qualifications


Experience with cloud-based data platforms and services (e.g., AWS, Azure, Google Cloud).
Knowledge of big data technologies (e.g., Hadoop, Spark).


Equal opportunity

Amaris Consulting is proud to be an equal opportunity workplace. We are committed to promoting diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability or other characteristics.
Show more "
Artificial Intelligence Engineer,Capgemini,Singapore,2024-08-29,https://sg.linkedin.com/jobs/view/artificial-intelligence-engineer-at-capgemini-4008310404?position=8&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=HPKJ8%2FB7wgK4aLhpKEMbog%3D%3D&trk=public_jobs_jserp-result_search-card,"About Capgemini




Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion.




We are seeking a talented and experienced AI Developer to join our team.




The ideal candidate will have a strong background in machine learning and deep learning with a focus on AI. You will work on designing developing and deploying AI models that generate content enhance user experiences and solve complex problems.




Key Responsibilities:




Model Development: Design implement and optimize AI models such as GANs VAEs and transformer-based models.
Data Handling: Collect preprocess and analyze large datasets to train and evaluate models.
Research and Innovation: Stay up-to-date with the latest research in AI and contribute to the development of new techniques and methodologies.
Collaboration: Work closely with cross-functional teams including data scientists software engineers and product managers to integrate AI solutions into products.
Performance Optimization: Improve the performance accuracy and efficiency of existing models.
Deployment: Implement and deploy AI models in production environments ensuring scalability and reliability.
Documentation: Maintain comprehensive documentation of models processes and experiments.




Qualifications:




Education: Bachelors or Masters degree in Computer Science Electrical Engineering Mathematics or a related field.




Experience:




3-6 years of hands-on experience in developing and deploying AI models.




Technical Skills:




Proficiency in Python and experience with deep learning frameworks such as TensorFlow PyTorch or Keras.
Strong understanding of machine learning algorithms neural networks and deep learning principles.
Experience with LLMs autoregressive models etc.
Familiarity with natural language processing (NLP) techniques and transformer models (e.g. GPT BERT) is a plus.
Experience with cloud platforms (AWS GCP Azure) and containerization (Docker Kubernetes).
Strong problem-solving skills and ability to work with complex datasets.
Soft Skills: Excellent communication skills and the ability to explain complex technical concepts to non-technical stakeholders.
Strong analytical thinking and ability to work independently and as part of a team. Passion for staying updated with the latest advancements in AI and a continuous learning mindset.




Let's talk about what's in it for you!




Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from.




As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:




Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini and OutFront support the grassroots passion of employees to drive our diversity agenda and effect change.




Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.




Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. We are focusing on helping our clients transform towards more sustainable business models and committing to reduce our own carbon emissions (GHG) by 20% per employee by 2020.




Recognized by Ethisphere as one of the World's Most Ethical Companies for the last 8 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, click here to listen to some of our employee’s stories.




Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.




Capgemini Offers:




Our company culture is based on 7 shared values. Honesty and trust allow collaboration; team spirit and modesty sustain it; and the resulting creative freedom and boldness lead to quality results –especially when infused with a sense of fun In addition to an interesting remuneration package, we offer you a professional and international work environment where you will work on major projects. We provide you with intense professional development and stretch you as much as needed to put your skills into action, learn and progress.

Show more "
AI Researcher,ASUS,Singapore,2024-08-22,https://sg.linkedin.com/jobs/view/ai-researcher-at-asus-4004728630?position=9&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=szmV%2Bq3d911VoyMf1EdUVA%3D%3D&trk=public_jobs_jserp-result_search-card,"About ASUS




AICS is part of ASUS, a multinational company known for the world’s best motherboards, PCs, monitors, graphics cards and routers. Along with an expanding range of superior gaming, content-creation and AIoT solutions, ASUS leads the industry through cutting-edge design and innovations made to create the most ubiquitous, intelligent, heartfelt and joyful smart life for everyone. With a global workforce that includes more than 5,000 R&D professionals, ASUS is driven to become the world’s most admired innovative leading technology enterprise.




About AICS




The mission of ASUS Intelligent Cloud Services (AICS) is to build revolutionary healthcare solutions with natural language processing, computer vision, and big data analytics. We provide Software as a Service (SaaS) applications to accelerate the effective use of medical data and improve the efficiency of hospital operations, unleashing the power of data for precision healthcare and bringing transformative impact to the industry.




Responsibilities:

Conduct cutting-edge research and development in Artificial Intelligence, CV, ASR, NLP, Machine Learning and other related fields.
Work closely with partners and engineers to create or improve algorithm/model performance and transfer advanced technologies to products.
Author high quality and top-tier publications.




Requirements:

Ph.D. or equivalent experience in electrical engineering, computer science, or related fields, with specialization in GenAI, CV, ASR, NLP, data mining, or machine learning.
Proven records of publications in high-impact conferences or journals (ICLR/NeurIPS/CVPR/ICCV/ACL).
Hands-on algorithm and model development using deep learning frameworks and programming languages like Python or C/C++.
Strong written and verbal communication skills.

Show more "
Computer Vision Engineer,Brixio,Singapore,2024-08-28,https://sg.linkedin.com/jobs/view/computer-vision-engineer-at-brixio-4009304849?position=10&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=JK56IOPTP3SQ8Xkz%2BYZm%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Locations:

Brisbane or Sydney, Australia

Singapore

Bangkok

Work Setup: Hybrid

Start Date: ASAP

Experience: 5 to 7 years

Job Overview:

We are seeking an experienced and innovative Computer Vision Engineer to join our R&D team. This role is ideal for a hands-on professional with a startup mindset who thrives on building solutions from the ground up. As part of our team, you will play a crucial role in shaping our data science strategy, developing advanced computer vision models, and collaborating with partners to implement cutting-edge solutions.

Key Responsibilities:


Business Requirements: Understand and analyze business needs to design and develop effective computer vision solutions that align with our strategic goals
Innovation Strategy: Contribute to the continuous innovation and improvement of our product by integrating state-of-the-art computer vision techniques
Data Science Strategy: Design and implement a comprehensive data science strategy to enhance our product offerings
Model Development: Develop, test, and refine advanced computer vision models to solve complex problems and drive product innovation
Collaboration: Work closely with cross-functional teams and external partners to ensure the successful application of computer vision solutions



Requirements


Experience: 5 to 7 years in IT, digital companies, or software development, with a focus on computer vision projects
Technical Expertise: Strong experience in computer vision development and a deep understanding of the entire camera/video pipeline (lens distortion, sensor calibration, focus, etc.)
Cloud Knowledge: Familiarity with Microsoft Azure and cloud-based solutions
Data Project Management: Experience or interest in managing data projects, with a focus on practical application and customer impact
Software Skills: Proficiency in at least one coding language and experience with software release management, including tools like Git
MLOps/DevOps: Hands-on experience with MLOps and DevOps practices, including tools like Docker and Ansible
Agile Practices: Knowledgeable in agile methodologies and experienced in working within a fast-paced, collaborative team environment
Communication: Excellent communication and presentation skills, with a customer-centric approach to problem-solving
Show more "
Data Scientist,Urban Redevelopment Authority of Singapore (URA),Singapore,2024-08-14,https://sg.linkedin.com/jobs/view/data-scientist-at-urban-redevelopment-authority-of-singapore-ura-4000993624?position=11&pageNum=0&refId=1kwKHd71NxeFXljj5cw84Q%3D%3D&trackingId=8jJM7pTNJ4N%2BXZHB%2BeJi%2Fw%3D%3D&trk=public_jobs_jserp-result_search-card,"Be part of the Analytics Unit in the property market research team, which is responsible for maintaining a stable and sustainable property market in Singapore. As part of the national land use planning authority, we conduct deep real estate and economic research to meet planning objectives and manage land sales.




We are currently looking for a data scientist to drive analytics work and glean impactful insights into property market trends and related urban planning issues. The officer will be expected to:

Push the research frontier by seeking opportunities for impactful collaborations with government agencies and the private sector, such as tapping on novel datasets to yield new insights;




Conduct deep-dive analysis on property market and urban planning issues by conceptualizing and building analytical/forecasting models; and




Leverage sophisticated techniques such as data mining, machine learning, natural language processing in empirical studies to inform policy.




Communicate your insights and recommendations cogently to diverse stakeholders through written policy proposals and presentations.







Requirements:

• Have a keen interest in empirical research on the real estate market

Knowledge of economics and/or the real estate sector is preferred, to facilitate deep analysis of property market dynamics

• Have a Masters/Doctoral degree in Computer Science, Machine Learning, Applied Mathematics, Statistics, Data Science/analytics, Economics or related disciplines; or Degree in these fields with significant work experience. Candidates from other disciplines with professional certifications (i.e. Coursera) are welcomed to apply.

• Possess expert knowledge in the following areas:

• Common machine learning algorithms and key parameters, with experience in applying Supervised, Unsupervised and Reinforcement Learning on time-series and multi-dimensional data.

• Natural Language Processing, Natural Language Understanding, Natural Language Generation with experience in applying Information Extraction and Classification on large volume of documents.

Proficient in R, Python, MySQL or other relevant data analytics tools

Experienced in working with large structured and unstructured datasets

• Keen to learn and share new methods and techniques with team members.

• Possess good communication (both written and spoken) and inter-personal skills.

Show more "
