title,company,location,date,link,description
Junior Data Scientist,Amaris Consulting,Singapore,2024-08-28,https://sg.linkedin.com/jobs/view/junior-data-scientist-at-amaris-consulting-4009751917?position=1&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=S6ckGjelq3r%2FKPiTVobV6w%3D%3D&trk=public_jobs_jserp-result_search-card,"Who are we?

Amaris Consulting is an independent technology consulting firm providing guidance and solutions to businesses. With more than 1,000 clients across the globe, we have been rolling out solutions in major projects for over a decade – this is made possible by an international team of 7,600 people spread across 5 continents and more than 60 countries. Our solutions focus on four different Business Lines: Information System & Digital, Telecom, Life Sciences and Engineering. We’re focused on building and nurturing a top talent community where all our team members can achieve their full potential. Amaris is your steppingstone to cross rivers of change, meet challenges and achieve all your projects with success.

At Amaris, We Strive To Provide Our Candidates With The Best Possible Recruitment Experience. We Like To Get To Know Our Candidates, Challenge Them, And Be Able To Give Them Proper Feedback As Quickly As Possible. Here's What Our Recruitment Process Looks Like

Brief Call: Our process typically begins with a brief virtual/phone conversation to get to know you! The objective? Learn about you, understand your motivations, and make sure we have the right job for you!

Interviews (the average number of interviews is 3 - the number may vary depending on the level of seniority required for the position). During the interviews, you will meet people from our team: your line manager of course, but also other people related to your future role. We will talk in depth about you, your experience, and skills, but also about the position and what will be expected of you. Of course, you will also get to know Amaris: our culture, our roots, our teams, and your career opportunities!

Case study: Depending on the position, we may ask you to take a test. This could be a role play, a technical assessment, a problem-solving scenario, etc.

As you know, every person is different and so is every role in a company. That is why we have to adapt accordingly, and the process may differ slightly at times. However, please know that we always put ourselves in the candidate's shoes to ensure they have the best possible experience.

We look forward to meeting you!

Responsibilities

Job description


Collaborate with senior data scientists and cross-functional teams to understand business requirements and objectives.
Collect, clean, and preprocess data from various sources to prepare it for analysis.
Develop and implement machine learning models and algorithms to extract insights from data.
Perform exploratory data analysis and generate reports to communicate findings.
Utilize programming languages such as Python or R for data analysis, visualization, and scripting.
Assist in the deployment and monitoring of data science solutions.
Stay updated with the latest trends and technologies in data science and machine learning.


Requirements


Bachelor’s degree in Computer Science, Data Science, Statistics, Mathematics, or a related field.
Strong foundation in statistical analysis and machine learning techniques.
Proficiency in Python or R for data analysis and machine learning.
Familiarity with data visualization tools and techniques (e.g., Matplotlib, Seaborn, Tableau).
Basic understanding of SQL and database management.
Excellent problem-solving and analytical skills.
Strong communication and teamwork abilities.
Eagerness to learn and adapt in a fast-paced environment.


Preferred Qualifications


Experience with cloud-based data platforms and services (e.g., AWS, Azure, Google Cloud).
Knowledge of big data technologies (e.g., Hadoop, Spark).


Equal opportunity

Amaris Consulting is proud to be an equal opportunity workplace. We are committed to promoting diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability or other characteristics.
Show more "
AI/ML Developer,GECO Asia Pte Ltd,Singapore,2024-08-22,https://sg.linkedin.com/jobs/view/ai-ml-developer-at-geco-asia-pte-ltd-4005355051?position=3&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=7Tezktj%2Fdfik36%2F86DYKaw%3D%3D&trk=public_jobs_jserp-result_search-card,"Key Skills And Qualifications


Creating and developing AI Generative Models to generate new content based on patterns and data
Collaborating with cross functional teams to improve on prediction accuracy, sentiments analysis, image recognition
Working on predictive modelling, human-AI interaction, optimising on AI
Conducting research and analysis to optimise on AI algorithms and analysis processes
Training AI models using large data sets and optimising training processes
Language : Python
AI-ML frameworks : PyTorch, Tensor Flow or any other
Knowledge of NLP / Deep Learning / Prompt Engineering / AI ChatBot / Image Generation
Flair for innovation and exploration of AI models
Java coding knowledge
Experience in Unix / Linux / Mac environment
Exposure to cloud environments / AWS & DevOps tools and techniques
Show more "
Data Scientist,Urban Redevelopment Authority of Singapore (URA),Singapore,2024-08-14,https://sg.linkedin.com/jobs/view/data-scientist-at-urban-redevelopment-authority-of-singapore-ura-4000993624?position=4&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=IZGeyL0DVvli4rXKDnAmGQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Be part of the Analytics Unit in the property market research team, which is responsible for maintaining a stable and sustainable property market in Singapore. As part of the national land use planning authority, we conduct deep real estate and economic research to meet planning objectives and manage land sales.




We are currently looking for a data scientist to drive analytics work and glean impactful insights into property market trends and related urban planning issues. The officer will be expected to:

Push the research frontier by seeking opportunities for impactful collaborations with government agencies and the private sector, such as tapping on novel datasets to yield new insights;




Conduct deep-dive analysis on property market and urban planning issues by conceptualizing and building analytical/forecasting models; and




Leverage sophisticated techniques such as data mining, machine learning, natural language processing in empirical studies to inform policy.




Communicate your insights and recommendations cogently to diverse stakeholders through written policy proposals and presentations.







Requirements:

• Have a keen interest in empirical research on the real estate market

Knowledge of economics and/or the real estate sector is preferred, to facilitate deep analysis of property market dynamics

• Have a Masters/Doctoral degree in Computer Science, Machine Learning, Applied Mathematics, Statistics, Data Science/analytics, Economics or related disciplines; or Degree in these fields with significant work experience. Candidates from other disciplines with professional certifications (i.e. Coursera) are welcomed to apply.

• Possess expert knowledge in the following areas:

• Common machine learning algorithms and key parameters, with experience in applying Supervised, Unsupervised and Reinforcement Learning on time-series and multi-dimensional data.

• Natural Language Processing, Natural Language Understanding, Natural Language Generation with experience in applying Information Extraction and Classification on large volume of documents.

Proficient in R, Python, MySQL or other relevant data analytics tools

Experienced in working with large structured and unstructured datasets

• Keen to learn and share new methods and techniques with team members.

• Possess good communication (both written and spoken) and inter-personal skills.

Show more "
Artificial Intelligence Engineer,Capgemini,Singapore,2024-08-29,https://sg.linkedin.com/jobs/view/artificial-intelligence-engineer-at-capgemini-4008310404?position=5&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=cwmgzof8LNznAmoWFcQUWA%3D%3D&trk=public_jobs_jserp-result_search-card,"About Capgemini




Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion.




We are seeking a talented and experienced AI Developer to join our team.




The ideal candidate will have a strong background in machine learning and deep learning with a focus on AI. You will work on designing developing and deploying AI models that generate content enhance user experiences and solve complex problems.




Key Responsibilities:




Model Development: Design implement and optimize AI models such as GANs VAEs and transformer-based models.
Data Handling: Collect preprocess and analyze large datasets to train and evaluate models.
Research and Innovation: Stay up-to-date with the latest research in AI and contribute to the development of new techniques and methodologies.
Collaboration: Work closely with cross-functional teams including data scientists software engineers and product managers to integrate AI solutions into products.
Performance Optimization: Improve the performance accuracy and efficiency of existing models.
Deployment: Implement and deploy AI models in production environments ensuring scalability and reliability.
Documentation: Maintain comprehensive documentation of models processes and experiments.




Qualifications:




Education: Bachelors or Masters degree in Computer Science Electrical Engineering Mathematics or a related field.




Experience:




3-6 years of hands-on experience in developing and deploying AI models.




Technical Skills:




Proficiency in Python and experience with deep learning frameworks such as TensorFlow PyTorch or Keras.
Strong understanding of machine learning algorithms neural networks and deep learning principles.
Experience with LLMs autoregressive models etc.
Familiarity with natural language processing (NLP) techniques and transformer models (e.g. GPT BERT) is a plus.
Experience with cloud platforms (AWS GCP Azure) and containerization (Docker Kubernetes).
Strong problem-solving skills and ability to work with complex datasets.
Soft Skills: Excellent communication skills and the ability to explain complex technical concepts to non-technical stakeholders.
Strong analytical thinking and ability to work independently and as part of a team. Passion for staying updated with the latest advancements in AI and a continuous learning mindset.




Let's talk about what's in it for you!




Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from.




As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:




Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini and OutFront support the grassroots passion of employees to drive our diversity agenda and effect change.




Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.




Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. We are focusing on helping our clients transform towards more sustainable business models and committing to reduce our own carbon emissions (GHG) by 20% per employee by 2020.




Recognized by Ethisphere as one of the World's Most Ethical Companies for the last 8 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, click here to listen to some of our employee’s stories.




Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.




Capgemini Offers:




Our company culture is based on 7 shared values. Honesty and trust allow collaboration; team spirit and modesty sustain it; and the resulting creative freedom and boldness lead to quality results –especially when infused with a sense of fun In addition to an interesting remuneration package, we offer you a professional and international work environment where you will work on major projects. We provide you with intense professional development and stretch you as much as needed to put your skills into action, learn and progress.

Show more "
Data Scientist,Onepoint,Singapore,2024-08-08,https://sg.linkedin.com/jobs/view/data-scientist-at-onepoint-3994285396?position=6&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=ymAc7cnx0gAjKNep%2B4emQA%3D%3D&trk=public_jobs_jserp-result_search-card,"Lead the way in technology with onepoint as a Data Scientist

Onepoint is a global niche consultancy offering business advisory and technical delivery services in design, data, collective intelligence and digital platforms. With more than 3000 employees in 15 different offices around the world, we help organisations achieve their business goals through 'beyond the obvious' information technology, so that they have an impact on, and add value to, their customers and employees now and in the future.




We want to create a world in which organisations become smarter, more sustainable and more efficient. We align business with IT, we transform ideas into reality, and we supply in demand.




What you'll do:

You will apply machine learning and possibly deep learning techniques to a variety of modelling and relevance problems involving our users, hardware, software with the end goal of delivering the AI solutions to production.
You will participate in the engineering life-cycle at Digital Factory, including daily scrum, sprint reviews, sprint retrospectives, community of practices etc
You will have to review, regularly, for performance improvements and decide which AI technologies and algorithms can be used in a production environment
You will partake in data exploration activities for businesses, uncovering patterns in the data usage.
Extracting actionable insights from diverse data sources through data mining techniques
You will design and apply algorithms to identify key features, build, and fine-tune models
You will work closely with data engineer in implementing preprocessing of both structured and unstructured data
You will evaluate and identify relevant datasets and create data dictionaries when applicable
You will be handling data processing, cleansing, and validation to ensure its suitability for analysis
You will deliver clear and concise presentations of analytical findings with stakeholders
You will bring the best-in-class practices to the MVP team to make sure the data science is maintainable, scalable and debuggable




We'd love you to have:

At least 5 years of data science experience where you would have understood the process of negotiating and unraveling the nitty gritty details of your customer or user’s datasets with the end goal of building a demonstrable proof-of-concept i.e. PoC
You should have a good repertoire of software tools and programming languages to which you can apply to building a PoC
You should have good working knowledge about Machine Learning and/or Deep Learning algorithms in the realm of supervised, unsupervised, reinforcement not limited to ANN, CNN, RNN, GAN
You should have good working knowledge in statistical classification domain eg. Logistic Regression, K-nn, Kernel SVM, Naïve Bayes, Decision Tree, Random Forest.
You should have good working knowledge in clustering domain e.g. K-means clustering, hierarchical clustering
You should have a good understanding of applying gradient boosting in regression and classification problems. E.g. XGBoost
You should have good working knowledge in anomaly detection and outlier detection techniques e.g. DBSCAN, Gaussian Mixture Models
You should have deep understanding and experience with large language modeling techniques, such as GPT, BERT, or Transformer-based architectures
You should be familiar with large language modeling frameworks like OpenAI's GPT, Hugging Face's Transformers, or Google's BERT
You should have knowledge of natural language processing (NLP) concepts and techniques, such as tokenization, word embeddings, and sequence modeling
You should have proficiency in reinforcement learning algorithms and concepts. This includes understanding the basics of Markov Decision Processes, Q-learning, policy gradients, and value iteration
You would have working knowledge of one or more programming languages like C & Python and you should be able to explain the underlying mechanics in addition to the theoretical Machine/Deep Learning model
You would have good working knowledge of the Machine Learning and Deep Learning toolkits available in OSS, commercial software
Worked in a squad or guild team setup and understand the agile processes, ceremonies and appreciates them
Has a continuous learning mindset and learning of new programming paradigms, techniques & practices
Open, strong communicator who communicates effectively across teams, locations and cultures, in-person and virtually
Courage of convictions with a high degree of humility. Embraces constructive feedback and is resilient




What we offer:

Hybrid environment 💻
Innovative operating model 💡
Learning organisation 📚
Monthly event 🥂
Multicultural team 👫
Generous employee referral program 💰




Join our mission to align business with IT, transform ideas into reality and supply in demand. Apply now and take your career to the next level with onepoint!




We value diverse skill sets, and don’t necessarily require that you’re skilled with all of the above. If you feel you don't fit all the experience/skills listed above, we still encourage you to apply or get in touch!




At onepoint, we are committed to creating a diverse environment and are proud to be an equal opportunities employer – we welcome applications from diverse communities.

Show more "
Junior Data Scientist,Amaris Consulting,Singapore,2024-08-28,https://sg.linkedin.com/jobs/view/junior-data-scientist-at-amaris-consulting-4011884532?position=7&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=w2KuUHvGzPfhRmSYczeBIw%3D%3D&trk=public_jobs_jserp-result_search-card,"Who are we?

Amaris Consulting is an independent technology consulting firm providing guidance and solutions to businesses. With more than 1,000 clients across the globe, we have been rolling out solutions in major projects for over a decade – this is made possible by an international team of 7,600 people spread across 5 continents and more than 60 countries. Our solutions focus on four different Business Lines: Information System & Digital, Telecom, Life Sciences and Engineering. We’re focused on building and nurturing a top talent community where all our team members can achieve their full potential. Amaris is your steppingstone to cross rivers of change, meet challenges and achieve all your projects with success.

At Amaris, we strive to provide our candidates with the best possible recruitment experience. We like to get to know our candidates, challenge them, and be able to give them proper feedback as quickly as possible. Here's what our recruitment process looks like:

Brief Call: Our process typically begins with a brief virtual/phone conversation to get to know you! The objective? Learn about you, understand your motivations, and make sure we have the right job for you!

Interviews (the average number of interviews is 3 - the number may vary depending on the level of seniority required for the position). During the interviews, you will meet people from our team: your line manager of course, but also other people related to your future role. We will talk in depth about you, your experience, and skills, but also about the position and what will be expected of you. Of course, you will also get to know Amaris: our culture, our roots, our teams, and your career opportunities!

Case study: Depending on the position, we may ask you to take a test. This could be a role play, a technical assessment, a problem-solving scenario, etc.

As you know, every person is different and so is every role in a company. That is why we have to adapt accordingly, and the process may differ slightly at times. However, please know that we always put ourselves in the candidate's shoes to ensure they have the best possible experience.

We look forward to meeting you!

Job Description

Responsibilities:



Collaborate with senior data scientists and cross-functional teams to understand business requirements and objectives.
Collect, clean, and preprocess data from various sources to prepare it for analysis.
Develop and implement machine learning models and algorithms to extract insights from data.
Perform exploratory data analysis and generate reports to communicate findings.
Utilize programming languages such as Python or R for data analysis, visualization, and scripting.
Assist in the deployment and monitoring of data science solutions.
Stay updated with the latest trends and technologies in data science and machine learning.



Requirements:



Bachelor’s degree in Computer Science, Data Science, Statistics, Mathematics, or a related field.
Strong foundation in statistical analysis and machine learning techniques.
Proficiency in Python or R for data analysis and machine learning.
Familiarity with data visualization tools and techniques (e.g., Matplotlib, Seaborn, Tableau).
Basic understanding of SQL and database management.
Excellent problem-solving and analytical skills.
Strong communication and teamwork abilities.
Eagerness to learn and adapt in a fast-paced environment.



Preferred Qualifications:



Experience with cloud-based data platforms and services (e.g., AWS, Azure, Google Cloud).
Knowledge of big data technologies (e.g., Hadoop, Spark).



Equal opportunity

Amaris Consulting is proud to be an equal opportunity workplace. We are committed to promoting diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability or other characteristics.
Show more "
Data Analyst - Globalization - Fresh Grad,HoYoverse,Singapore,2024-08-28,https://sg.linkedin.com/jobs/view/data-analyst-globalization-fresh-grad-at-hoyoverse-3921639540?position=8&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=quTAkZKSH%2BKey0MA5MTQlg%3D%3D&trk=public_jobs_jserp-result_search-card,"Who Are We?

HoYoverse is committed to providing immersive virtual world experiences to players around the world. We have brought fans popular games including Genshin Impact, Honkai: Star Rail, Honkai Impact 3rd, Tears of Themis, and Zenless Zone Zero, as well as a wide range of entertainment content.

‌

Community is at the heart of everything we do. We are devoted to engaging fans and fostering an enthusiastic and inclusive global community that provides access and encouragement for people to share their passion for ACG (Animation, Comics, and Games) through their own creativity and skills.

‌

Pushing the boundaries of imagination, we consistently explore cutting-edge game development technologies, and have accumulated leading technical capabilities in cel shading, cloud gaming, and other fields.

‌

In the future, we will continue to expand our content production, technology research, and publishing duties through operations in offices in Singapore, Montreal, Los Angeles, Tokyo, Seoul, and other areas.

When you apply to a position with HoYoverse, we will process your personal data. To learn more about how we process your data, we encourage you to review our comprehensive Global Applicant and Candidate Privacy Policy. This policy provides detailed insights into how your information is collected, used, and protected throughout the application process.

What You Will Do:


Build and improve the operational data monitoring system for game projects, and promptly detect anomalies or risk points through daily monitoring of online data, track and locate issues, and follow up on solutions.
Responsible for specialized data analysis of game projects, including but not limited to churn attribution, version effectiveness, activity effectiveness, user profile analysis, delivery analysis, brand effectiveness analysis, etc.
Explore and analyze user behavior and game content performance through data mining, establish indicator systems, algorithm models, etc. for data estimation, and provide data support for the strategic planning of game products, operations, and marketing.
Participate in and assist in the follow-up of operations and advertising-related data access, data automation tool, and platform construction.


What You Will Need:


Bachelor degree in data-related fields, with experience in the gaming industry or data analysis preferred.
Sensitive to data, proficient in data collection, data analysis methods and tools, grasp the basic principles of data modeling and major algorithms (decision trees, clustering, association rules, regression analysis, etc.).
Passionate about games, able to think from the perspective of users, able to independently carry out research projects and produce complete data reports.
Possess good logical thinking and analytical skills, good teamwork and communication skills.


We are an equal opportunity employer that believes diverse backgrounds are key to bringing our concepts to life. If you're looking to play a key role in creating the best immersive virtual world experience for our users, we invite you to join our team.
Show more "
Data Scientist - TikTok BRIC (Singapore),Jobscentral,Singapore,2024-08-07,https://sg.linkedin.com/jobs/view/data-scientist-tiktok-bric-singapore-at-jobscentral-3995037249?position=9&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=Ixp3lwjyat7TysA7VfCedw%3D%3D&trk=public_jobs_jserp-result_search-card,"Job highlights

Career growth opportunity, Industry experts

Responsibilities

TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo.

Why Join Us

Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us.

The Business Risk Integrated Control (BRIC) team is missioned to:


Protect TikTok users, including and beyond content consumers, creators, advertisers;
Secure platform health and community experience authenticity;
Build infrastructures, platforms and technologies, as well as to collaborate with many cross-functional teams and stakeholders.


The BRIC team works to minimize the damage of inauthentic behaviors on TikTok platforms (e.g. TikTok, CapCut, Resso, Lark), covering multiple classical and novel community and business risk areas such as account integrity, engagement authenticity, anti spam, API abuse, growth fraud, live streaming security and financial safety (ads or e-commerce), etc.

In this team you'll have a unique opportunity to have first-hand exposure to the strategy of the company in key security initiatives, especially in building scalable and robust, intelligent and privacy-safe, secure and product-friendly systems and solutions. Our challenges are not some regular day-to-day technical puzzles -- You'll be part of a team that's developing novel solutions to first-seen challenges of a non-stop evolvement of a phenomenal product eco-system. The work needs to be fast, transferrable, while still down to the ground to making quick and solid differences.

Responsibilities:


Create strategies and rules to respond to and mitigate business risks in TikTok products/platforms. Such risks include and are not limited to abusive accounts, fake engagements, spammy redirection, scraping, fraud, etc.
Analyze business and security data, uncover evolving attack motion, identify weaknesses and opportunities in risk defense solutions, explore new space from the discoveries.
Define risk control measurements. Quantify, generalize and monitor risk related business and operational metrics. Align risk teams and their stakeholders on risk control numeric goals, promote impact-oriented, data-driven data science practices for risks.


Minimum Qualifications:


Solid data science skills. Proficiency in statistical analytical tools, such as SQL, R and Python.
Familiarity with social/content online platform analytics.
Ability to think critically, objectively, rationally. Reason and communicate in result-oriented, data-driven manner. High autonomy.


Preferred Qualifications:


Bachelor or degrees above in computer science, statistics, math, internet security or other relevant STEM majors (e.g. finance if applying for financial fraud roles).
2 years of industry experience in a software development environment.


TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too.
Show more "
Data Analyst (Honkai: Star Rail) – Fresh Grad,HoYoverse,Singapore,2024-08-28,https://sg.linkedin.com/jobs/view/data-analyst-honkai-star-rail-%E2%80%93-fresh-grad-at-hoyoverse-3838198465?position=10&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=dfbFM%2B4g%2BByCT1V2g%2BQLaQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Who Are We?

HoYoverse is committed to providing immersive virtual world experiences to players around the world. We have brought fans popular games including Genshin Impact, Honkai: Star Rail, Honkai Impact 3rd, Tears of Themis, and Zenless Zone Zero, as well as a wide range of entertainment content.

‌

Community is at the heart of everything we do. We are devoted to engaging fans and fostering an enthusiastic and inclusive global community that provides access and encouragement for people to share their passion for ACG (Animation, Comics, and Games) through their own creativity and skills.

‌

Pushing the boundaries of imagination, we consistently explore cutting-edge game development technologies, and have accumulated leading technical capabilities in cel shading, cloud gaming, and other fields.

‌

In the future, we will continue to expand our content production, technology research, and publishing duties through operations in offices in Singapore, Montreal, Los Angeles, Tokyo, Seoul, and other areas.

When you apply to a position with HoYoverse, we will process your personal data. To learn more about how we process your data, we encourage you to review our comprehensive Global Applicant and Candidate Privacy Policy. This policy provides detailed insights into how your information is collected, used, and protected throughout the application process.

What You Will Do:


Play an important role by providing product analysis to help in decision making as well as to ensure the long-term operations of the product with your data ability.
Establish and improve data monitoring and analyzing systems.
Provide data support to product design, operational analysis, content effect evaluation, player behavior analysis and community opinions analysis through data analysis or mathematical modeling.


What We Are Looking For:


Loyal game players, basic understanding of the gaming industry, familiar with various video games.
Extensive gameplay experience with HoYoverse Games is a plus.
Proficiency in SQL and data analysis tools including Excel, SPSS, Python or SAS.
Familiar with common data mining model (for example, clustering, regression, decision tree).
Sensitive to data, possess a strong learning ability, strong logical and analytical capabilities, and project execution skills, and able to communicate with designers and developers.
Excellent written and verbal communication skills in English and fluent oral Chinese to liaise with teams.


We are an equal opportunity employer that believes diverse backgrounds are key to bringing our concepts to life. If you're looking to play a key role in creating the best immersive virtual world experience for our users, we invite you to join our team.
Show more "
Senior Data Scientist,Capgemini,Singapore,2024-08-15,https://sg.linkedin.com/jobs/view/senior-data-scientist-at-capgemini-3998701064?position=11&pageNum=0&refId=i2Zv6N%2F8UQuuT80kRO%2Bhlw%3D%3D&trackingId=v4p%2BhRPUYonpFsRVWpLJ5g%3D%3D&trk=public_jobs_jserp-result_search-card,"About Capgemini:

Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion.




Main Responsibilities:

Responsible for the design, development, and maintenance of applications and systems as well as IT production and management of the Bank's technical infrastructures.
At the forefront of technological innovation, its teams provide technical and functional support for the development activities and projects of the various Corporate and Investment Banking professions in an international environment.
Develop and implement advanced machine learning and deep learning models to automate and transform business processes in the capital markets value chain
Use and create data science models to produce strategic insights, develop sophisticated predictive models and deploy solutions meeting current standards.
Use generative AI models to create synthetic financial data, simulate market scenarios, generate new investment ideas, automate post-trade processes, and enrich seller interactions with relevant stakeholders.
Collaborate with quantitative analysts and traders to design solutions based on artificial intelligence.
Develop a product mindset on the exploitation of AI models to improve and build functional blocks in the IS ecosystem
Work closely with technical and business teams to resolve complex problems.




Qualifications and Profile

Experience required 10 years minimum in an IT functional architecture position
Expertise in machine learning, deep learning, generative AI and MLOps.
Knowledge of data management practices to clean, preprocess and transform data sets for model training
Mastery of AI algorithms and frameworks (e.g., Tensorflow, PyTorch, Scikit, etc.)
Knowledge of GEN AI and LLM technologies on the public Cloud using RAG patterns
Understanding the ethical principles to better generate embeddings for GenAI.
Expertise in Python, .NET or Java, DevOps / MLOps / LLMOps (GitLab CI/CD, Kubernetes, AWS Cloud)




Other Professional Skills and Mindset

Excellent problem-solving and analytical skills.
Effective communication skills and ability to work collaboratively in a team.
Excellent Aptitude, Curious to learn and inquisitive.
Autonomous, self-motivated, and excellent team player.




Let's talk about what's in it for you!




Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from.




As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:




Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini and OutFront support the grassroots passion of employees to drive our diversity agenda and effect change.




Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.




Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. We are focusing on helping our clients transform towards more sustainable business models and committing to reduce our own carbon emissions (GHG) by 20% per employee by 2020.




Recognized by Ethisphere as one of the World's Most Ethical Companies for the last 8 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, click here to listen to some of our employee’s stories.




Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.




Capgemini Offers:

Our company culture is based on 7 shared values. Honesty and trust allow collaboration; team spirit and modesty sustain it; and the resulting creative freedom and boldness lead to quality results –especially when infused with a sense of fun In addition to an interesting remuneration package, we offer you a professional and international work environment where you will work on major projects. We provide you with intense professional development and stretch you as much as needed to put your skills into action, learn and progress.

Show more "
