title,company,location,date,link,description
AI/ML Developer,GECO Asia Pte Ltd,Singapore,2024-08-22,https://sg.linkedin.com/jobs/view/ai-ml-developer-at-geco-asia-pte-ltd-4005355051?position=1&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=Vun24FdfC%2B5e28CIlMWeLw%3D%3D&trk=public_jobs_jserp-result_search-card,"Key Skills And Qualifications


Creating and developing AI Generative Models to generate new content based on patterns and data
Collaborating with cross functional teams to improve on prediction accuracy, sentiments analysis, image recognition
Working on predictive modelling, human-AI interaction, optimising on AI
Conducting research and analysis to optimise on AI algorithms and analysis processes
Training AI models using large data sets and optimising training processes
Language : Python
AI-ML frameworks : PyTorch, Tensor Flow or any other
Knowledge of NLP / Deep Learning / Prompt Engineering / AI ChatBot / Image Generation
Flair for innovation and exploration of AI models
Java coding knowledge
Experience in Unix / Linux / Mac environment
Exposure to cloud environments / AWS & DevOps tools and techniques
Show more "
AI Developer,Capgemini,Singapore,2024-08-27,https://sg.linkedin.com/jobs/view/ai-developer-at-capgemini-4011547711?position=2&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=03r4x3W7yRNaiV9w47dfpw%3D%3D&trk=public_jobs_jserp-result_search-card,"We are seeking a talented and experienced AI Developer to join our team.

The ideal candidate will have a strong background in machine learning and deep learning with a focus on AI. You will work on developing developing and deploying AI models that generate content enhance user experiences and solve complex problems.

Key Responsibilities


Model Development: Design implement and optimize AI models such as GANs VAEs and transformer-based models.
Data Handling: Collect preprocess and assess large datasets to train and evaluate models.
Research and Innovation: Stay up-to-date with the latest research in AI and contribute to the development of new techniques and methodologies.
Collaboration: Work closely with cross-functional teams including data scientists software engineers and product managers to integrate AI solutions into products.
Performance Optimization: Improve the performance accuracy and efficiency of existing models.
Deployment: Implement and deploy AI models in production environments ensuring scalability and reliability.
Documentation: Maintain comprehensive documentation of models processes and experiments.


Qualifications

Education: Bachelors or Masters degree in Computer Science Electrical Engineering Mathematics or a related field.

Experience: 3-6 years of hands-on experience in developing and deploying AI models.

Technical Skills


Proficiency in Python and experience with deep learning frameworks such as TensorFlow PyTorch or Keras.
Strong understanding of machine learning algorithms neural networks and deep learning principles.
Experience with LLMs autoregressive models etc.
Familiarity with natural language processing (NLP) techniques and transformer models (e.g. GPT BERT) is a plus.
Experience with cloud platforms (AWS GCP Azure) and containerization (Docker Kubernetes).
Strong problem-solving skills and ability to work with complex datasets.


Soft Skills


Excellent communication skills and the ability to explain complex technical concepts to non-technical stakeholders.
Strong reasoning thinking and ability to work independently and as part of a team. Passion for staying updated with the latest advancements in AI and a continuous learning mindset.
Show more "
AI Developer,Capgemini,Singapore,2024-08-27,https://sg.linkedin.com/jobs/view/ai-developer-at-capgemini-4008319071?position=3&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=ePhVdqIz4y9ui7xx86xJ8g%3D%3D&trk=public_jobs_jserp-result_search-card,"About Capgemini:

Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion.




We are seeking a talented and experienced AI Developer to join our team.

The ideal candidate will have a strong background in machine learning and deep learning with a focus on AI. You will work on designing developing and deploying AI models that generate content enhance user experiences and solve complex problems.




Key Responsibilities:

Model Development: Design implement and optimize AI models such as GANs VAEs and transformer-based models.
Data Handling: Collect preprocess and analyze large datasets to train and evaluate models.
Research and Innovation: Stay up-to-date with the latest research in AI and contribute to the development of new techniques and methodologies.
Collaboration: Work closely with cross-functional teams including data scientists software engineers and product managers to integrate AI solutions into products.
Performance Optimization: Improve the performance accuracy and efficiency of existing models.
Deployment: Implement and deploy AI models in production environments ensuring scalability and reliability.
Documentation: Maintain comprehensive documentation of models processes and experiments.




Qualifications:

Education: Bachelors or Masters degree in Computer Science Electrical Engineering Mathematics or a related field.
Experience: 3-6 years of hands-on experience in developing and deploying AI models.




Technical Skills:

Proficiency in Python and experience with deep learning frameworks such as TensorFlow PyTorch or Keras.
Strong understanding of machine learning algorithms neural networks and deep learning principles.
Experience with LLMs autoregressive models etc.
Familiarity with natural language processing (NLP) techniques and transformer models (e.g. GPT BERT) is a plus.
Experience with cloud platforms (AWS GCP Azure) and containerization (Docker Kubernetes).
Strong problem-solving skills and ability to work with complex datasets.
Soft Skills: Excellent communication skills and the ability to explain complex technical concepts to non-technical stakeholders.
Strong analytical thinking and ability to work independently and as part of a team. Passion for staying updated with the latest advancements in AI and a continuous learning mindset.




Let's talk about what's in it for you!




Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from.




As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:




Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini and OutFront support the grassroots passion of employees to drive our diversity agenda and effect change.




Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.




Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. We are focusing on helping our clients transform towards more sustainable business models and committing to reduce our own carbon emissions (GHG) by 20% per employee by 2020.




Recognized by Ethisphere as one of the World's Most Ethical Companies for the last 8 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, click here to listen to some of our employee’s stories.




Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.

Show more "
Artificial Intelligence Engineer,Capgemini,Singapore,2024-08-29,https://sg.linkedin.com/jobs/view/artificial-intelligence-engineer-at-capgemini-4008310404?position=4&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=2lYTHvJX1qZIVhBgIBpBtw%3D%3D&trk=public_jobs_jserp-result_search-card,"About Capgemini




Capgemini is a global business and technology transformation partner, helping organizations to accelerate their dual transition to a digital and sustainable world, while creating tangible impact for enterprises and society. It is a responsible and diverse group of 340,000 team members in more than 50 countries. With its strong over 55-year heritage, Capgemini is trusted by its clients to unlock the value of technology to address the entire breadth of their business needs. It delivers end-to-end services and solutions leveraging strengths from strategy and design to engineering, all fueled by its market leading capabilities in AI, cloud and data, combined with its deep industry expertise and partner ecosystem. The Group reported 2023 global revenues of €22.5 billion.




We are seeking a talented and experienced AI Developer to join our team.




The ideal candidate will have a strong background in machine learning and deep learning with a focus on AI. You will work on designing developing and deploying AI models that generate content enhance user experiences and solve complex problems.




Key Responsibilities:




Model Development: Design implement and optimize AI models such as GANs VAEs and transformer-based models.
Data Handling: Collect preprocess and analyze large datasets to train and evaluate models.
Research and Innovation: Stay up-to-date with the latest research in AI and contribute to the development of new techniques and methodologies.
Collaboration: Work closely with cross-functional teams including data scientists software engineers and product managers to integrate AI solutions into products.
Performance Optimization: Improve the performance accuracy and efficiency of existing models.
Deployment: Implement and deploy AI models in production environments ensuring scalability and reliability.
Documentation: Maintain comprehensive documentation of models processes and experiments.




Qualifications:




Education: Bachelors or Masters degree in Computer Science Electrical Engineering Mathematics or a related field.




Experience:




3-6 years of hands-on experience in developing and deploying AI models.




Technical Skills:




Proficiency in Python and experience with deep learning frameworks such as TensorFlow PyTorch or Keras.
Strong understanding of machine learning algorithms neural networks and deep learning principles.
Experience with LLMs autoregressive models etc.
Familiarity with natural language processing (NLP) techniques and transformer models (e.g. GPT BERT) is a plus.
Experience with cloud platforms (AWS GCP Azure) and containerization (Docker Kubernetes).
Strong problem-solving skills and ability to work with complex datasets.
Soft Skills: Excellent communication skills and the ability to explain complex technical concepts to non-technical stakeholders.
Strong analytical thinking and ability to work independently and as part of a team. Passion for staying updated with the latest advancements in AI and a continuous learning mindset.




Let's talk about what's in it for you!




Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from.




As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:




Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini and OutFront support the grassroots passion of employees to drive our diversity agenda and effect change.




Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.




Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. We are focusing on helping our clients transform towards more sustainable business models and committing to reduce our own carbon emissions (GHG) by 20% per employee by 2020.




Recognized by Ethisphere as one of the World's Most Ethical Companies for the last 8 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, click here to listen to some of our employee’s stories.




Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.




Capgemini Offers:




Our company culture is based on 7 shared values. Honesty and trust allow collaboration; team spirit and modesty sustain it; and the resulting creative freedom and boldness lead to quality results –especially when infused with a sense of fun In addition to an interesting remuneration package, we offer you a professional and international work environment where you will work on major projects. We provide you with intense professional development and stretch you as much as needed to put your skills into action, learn and progress.

Show more "
"Machine Learning Engineer, Search & Recommendation",Rakuten Asia Pte Ltd,Singapore,2024-08-27,https://sg.linkedin.com/jobs/view/machine-learning-engineer-search-recommendation-at-rakuten-asia-pte-ltd-4008308773?position=5&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=q9xQMZm8dAzdaWOLeTOdVA%3D%3D&trk=public_jobs_jserp-result_search-card,"Situated in the heart of Singapore's Central Business District, Rakuten Asia Pte. Ltd. is Rakuten's Asia Regional headquarters. Established in August 2012 as part of Rakuten's global expansion strategy, Rakuten Asia comprises various businesses that provide essential value-added services to Rakuten's global ecosystem. Through advertisement product development, product strategy, and data management, among others, Rakuten Asia is strengthening Rakuten Group's core competencies to take the lead in an increasingly digitalized world.




The Machine learning and Deep learning Engineering Department (MDE) is a group of engineers and scientists who specialize in natural language processing (NLP), search, and recommendation systems. We conduct state-of-the-art research and apply cutting-edge technologies, such as transformer model, dense retrieval, distributed GPU training, and large-scale machine learning, to a variety of Rakuten products and services. We are looking for passionate experts in machine learning research and engineering to join us in our journey to define the next-generation e-commerce experience.




The search and deep learning Models and Algorithms team is responsible for developing cutting-edge solutions for various NLP tasks using neural networks, machine learning algorithms, and optimization techniques. The team works on challenging problems such as semantic search, large language model (LLM) training, and more. The team also leverages state-of-the-art frameworks such as transformers to train and deploy efficient and accurate models. The ideal candidate for this team should have a strong background in deep learning, NLP, CV, Python programming, and data analysis.

Responsibility

Build industry-leading search & recommendation system; develop highly scalable classifiers and tools leveraging machine learning; work on cutting-edge research models in NLP.
Understand product objectives and machine learning techniques; improve model and recommendation strategy.
Understand user behavior and apply ML algorithms to optimize E-commerce conversion and production experience.
Understand the diversity of Rakuten's business requirements, data, and assets; build cross-scenario technology backbones.
Work with Rakuten cross-functional teams to grow Rakuten in important regional markets.




Qualifications

Minimum 1 year experience in one or more of the following areas: machine learning, search, recommendation systems, data mining, or other related areas.
Bachelor or higher degree in computer science or a related technical discipline.
Experience in large GPU cluster optimizing, Neural ranking model and NLP optimisation would be advantageous
Solid experience with data structures or algorithms.
Software development experience through hands-on coding in a general-purpose programming language.
Strong communication and teamwork skills.
Passion for technology and solving challenging problems.




Rakuten is an equal opportunities employer and welcomes applications regardless of sex, marital status, ethnic origin, sexual orientation, religious belief, or age.

Show more "
Junior Data Scientist,Amaris Consulting,Singapore,2024-08-28,https://sg.linkedin.com/jobs/view/junior-data-scientist-at-amaris-consulting-4009751917?position=6&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=72Xy0TnV8l4qdQyuXKBcoQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Who are we?

Amaris Consulting is an independent technology consulting firm providing guidance and solutions to businesses. With more than 1,000 clients across the globe, we have been rolling out solutions in major projects for over a decade – this is made possible by an international team of 7,600 people spread across 5 continents and more than 60 countries. Our solutions focus on four different Business Lines: Information System & Digital, Telecom, Life Sciences and Engineering. We’re focused on building and nurturing a top talent community where all our team members can achieve their full potential. Amaris is your steppingstone to cross rivers of change, meet challenges and achieve all your projects with success.

At Amaris, We Strive To Provide Our Candidates With The Best Possible Recruitment Experience. We Like To Get To Know Our Candidates, Challenge Them, And Be Able To Give Them Proper Feedback As Quickly As Possible. Here's What Our Recruitment Process Looks Like

Brief Call: Our process typically begins with a brief virtual/phone conversation to get to know you! The objective? Learn about you, understand your motivations, and make sure we have the right job for you!

Interviews (the average number of interviews is 3 - the number may vary depending on the level of seniority required for the position). During the interviews, you will meet people from our team: your line manager of course, but also other people related to your future role. We will talk in depth about you, your experience, and skills, but also about the position and what will be expected of you. Of course, you will also get to know Amaris: our culture, our roots, our teams, and your career opportunities!

Case study: Depending on the position, we may ask you to take a test. This could be a role play, a technical assessment, a problem-solving scenario, etc.

As you know, every person is different and so is every role in a company. That is why we have to adapt accordingly, and the process may differ slightly at times. However, please know that we always put ourselves in the candidate's shoes to ensure they have the best possible experience.

We look forward to meeting you!

Responsibilities

Job description


Collaborate with senior data scientists and cross-functional teams to understand business requirements and objectives.
Collect, clean, and preprocess data from various sources to prepare it for analysis.
Develop and implement machine learning models and algorithms to extract insights from data.
Perform exploratory data analysis and generate reports to communicate findings.
Utilize programming languages such as Python or R for data analysis, visualization, and scripting.
Assist in the deployment and monitoring of data science solutions.
Stay updated with the latest trends and technologies in data science and machine learning.


Requirements


Bachelor’s degree in Computer Science, Data Science, Statistics, Mathematics, or a related field.
Strong foundation in statistical analysis and machine learning techniques.
Proficiency in Python or R for data analysis and machine learning.
Familiarity with data visualization tools and techniques (e.g., Matplotlib, Seaborn, Tableau).
Basic understanding of SQL and database management.
Excellent problem-solving and analytical skills.
Strong communication and teamwork abilities.
Eagerness to learn and adapt in a fast-paced environment.


Preferred Qualifications


Experience with cloud-based data platforms and services (e.g., AWS, Azure, Google Cloud).
Knowledge of big data technologies (e.g., Hadoop, Spark).


Equal opportunity

Amaris Consulting is proud to be an equal opportunity workplace. We are committed to promoting diversity within the workforce and creating an inclusive working environment. For this purpose, we welcome applications from all qualified candidates regardless of gender, sexual orientation, race, ethnicity, beliefs, age, marital status, disability or other characteristics.
Show more "
Computer Vision Engineer,YO HR Consultancy,Singapore,2024-08-28,https://sg.linkedin.com/jobs/view/computer-vision-engineer-at-yo-hr-consultancy-4012111121?position=7&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=wO7GAMelfMp2I3eQroADEw%3D%3D&trk=public_jobs_jserp-result_search-card,"Computer Vision Engineer - LLM

Experience: 2 - 15 Years

Location- Permanent Remote Anywhere in the world

Contract Duration: 6 Months

Opportunity- Full Time, 8 hours, 5 hours Mandatory overlap with PST

Total Years Of exp- 2+ years Mandatory

Mandatory Skills- Python: min 2yrs, Python for Data Science: min1 yr, Computer Vision: min1 yr, PyTorch: min 1 yr, OpenCV: min 1 yr, Tensorflow: min 1 yr, Image Recognition: min 1 yr

Key Skills: Computer Vision, Python, Pytorch, OpenCV, Image Recognition

Job Responsibilities


Develop and maintain machine learning models, with a focus on computer vision algorithms.
Implement image processing techniques such as object detection, segmentation, and image classification using Convolutional Neural Networks (CNNs).
Work with TensorFlow or PyTorch to develop, train, and deploy vision models.
Utilize OpenCV for tasks like feature extraction, image filtering, and object tracking.
Collaborate with cross-functional teams to enhance AI-driven solutions in the mobile coding domain.


﻿

Job Requirements


Bachelor’s/Master’s degree in Engineering, Computer Science, or a related field.
At least 2+ years of experience as a Python-focused Engineer.
Expertise in image processing and computer vision algorithms using CNNs.
Strong experience with TensorFlow/PyTorch for developing, training, and deploying vision models.
Proficiency in OpenCV for image processing tasks.


Nice To Have


Experience with Keras for quick prototyping of deep learning models.
Familiarity with Large Language Models (LLMs) and their applications in AI.
Knowledge of cloud platforms such as AWS, Azure, or Google Cloud.


Skills: tensorflow or pytorch,object detection,azure,convolutional neural networks (cnns),google cloud,pytorch,computer vision,convolutional neural networks,algorithms,collaboration,cross-functional team collaboration,llms,deep learning models,cnns,image processing,aws, azure, or google cloud,tensorflow/pytorch,processing,image processing techniques,python,ai-driven solutions,machine learning,deep learning,cloud platforms (aws, azure, google cloud),cross-functional collaboration,engineering,aws,models,mobile coding domain,feature extraction,cnn,segmentation,image filtering,object tracking,opencv,python for data science,image recognition,mobile coding,cloud platforms,keras,opencv for tasks like feature extraction, image filtering, and object tracking,tensorflow,large language models (llms),computer science
Show more "
"Junior Data Scientist/Engineer (NLP, AI – Python)",Meinhardt Group,Singapore,2024-08-07,https://sg.linkedin.com/jobs/view/junior-data-scientist-engineer-nlp-ai-%E2%80%93-python-at-meinhardt-group-3995237837?position=8&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=hZA76rqU3fjrVAs9%2FW2lzw%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Overview

Meinhardt Digital Technology Solutions is a new business unit of Meinhardt Group, a global construction engineering consultancy with 61 offices worldwide. We are dedicated to leveraging cutting-edge technology to drive innovation in the construction engineering industry.

Position Overview

We are seeking a Data Engineer with a strong focus on pipeline development and data engineering. In this role, you will design and implement data workflows for AI applications used within the construction engineering industry. You will be part of a dynamic team developing AI applications and data-driven solutions, collaborating closely with data engineers and software engineers, and reporting directly to the Lead Data Scientist. This is an excellent opportunity for individuals passionate about backend development and data engineering for AI.

Responsibilities

Data Engineering


Collect, clean, and pre-process structured and unstructured data from various sources within the construction domain
Design and manage workflows for data ingestion pipelines across cloud and Databricks services
Perform monitoring and debugging to implement alerts and catches for continuous ingestion requests from a frontend
Develop innovative approaches to data ingestion and arrangement for unstructured data including images, PDFs, written reports, and other free-text elements.
Use vector databases to store, persist, and extract embeddings from large bodies of vectors
Perform exploratory data analysis to identify patterns, trends, and anomalies
Architect tools and dashboards that transform NLP-related data into interpretable numerical analysis during and following ingestion
Create clear and insightful visualizations to communicate complex findings to non-technical stakeholders


AI Model Development


Assist in the development and implementation of Large Language Models and Natural Language Processing techniques to address construction- and asset/facilities management-related challenges
Collaborate with senior data scientists to build RAG pipeline and fine-tuned models for products serving internal and client needs


Data Privacy and Security


Ensure compliance with data privacy regulations and cloud security protocols to ensure domain-locked data is compliant with cross-border data flow restrictions.


What We Are Looking For

Education: Bachelor’s degree in Data Science, Computer Science, Statistics, Applied Mathematics, or a related field, or equivalent experience

Experience: At least 1 year of experience in data engineering, AI model development and natural language processing

Skills


Strong programming skills in Python
Knowledge of data engineering and data pre-processing techniques
Knowledge of vector stores and databases in relational and non-relational formats
Familiarity with data engineering workflows and tools, particularly in cloud environments (Azure, Databricks)
Ability to propose and test creative solutions to natural language processing and computer vision
Effective communication skills to convey technical concepts to non-technical stakeholders
Experience with SQL and NoSQL databases
Familiarity with agile development methodologies
Good communication and interpersonal skills


Nice to Have


Experience with construction/infrastructure industry data and processes
Experience using managed workflows and collaborative workspaces (Databricks)
Experience in AI product development


Note To Potential Candidates

We understand that no candidate will meet every single requirement listed. Studies show that minorities, including women and underrepresented groups, often hesitate to apply if they don’t meet all criteria. We want to assure you that your unique experiences and perspectives are valued here. If this role interests you, we strongly encourage you to apply. Passion and potential are key to us, and we believe diverse backgrounds strengthen our team.
Show more "
AI Researcher,ASUS,Singapore,2024-08-22,https://sg.linkedin.com/jobs/view/ai-researcher-at-asus-4004728630?position=9&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=8dqV4yddi4wrmJQTgwqX3Q%3D%3D&trk=public_jobs_jserp-result_search-card,"About ASUS




AICS is part of ASUS, a multinational company known for the world’s best motherboards, PCs, monitors, graphics cards and routers. Along with an expanding range of superior gaming, content-creation and AIoT solutions, ASUS leads the industry through cutting-edge design and innovations made to create the most ubiquitous, intelligent, heartfelt and joyful smart life for everyone. With a global workforce that includes more than 5,000 R&D professionals, ASUS is driven to become the world’s most admired innovative leading technology enterprise.




About AICS




The mission of ASUS Intelligent Cloud Services (AICS) is to build revolutionary healthcare solutions with natural language processing, computer vision, and big data analytics. We provide Software as a Service (SaaS) applications to accelerate the effective use of medical data and improve the efficiency of hospital operations, unleashing the power of data for precision healthcare and bringing transformative impact to the industry.




Responsibilities:

Conduct cutting-edge research and development in Artificial Intelligence, CV, ASR, NLP, Machine Learning and other related fields.
Work closely with partners and engineers to create or improve algorithm/model performance and transfer advanced technologies to products.
Author high quality and top-tier publications.




Requirements:

Ph.D. or equivalent experience in electrical engineering, computer science, or related fields, with specialization in GenAI, CV, ASR, NLP, data mining, or machine learning.
Proven records of publications in high-impact conferences or journals (ICLR/NeurIPS/CVPR/ICCV/ACL).
Hands-on algorithm and model development using deep learning frameworks and programming languages like Python or C/C++.
Strong written and verbal communication skills.

Show more "
Data Scientist,NextWave Partners,Singapore,2024-08-30,https://sg.linkedin.com/jobs/view/data-scientist-at-nextwave-partners-4011905666?position=10&pageNum=0&refId=l%2BH5C09zyMV%2B83lZ7tGW3Q%3D%3D&trackingId=LIgguEpIwbuULI3b8qzCSA%3D%3D&trk=public_jobs_jserp-result_search-card,"Title: Data Scientist




Location: Singapore




About NextWave Partners:

NextWave Partners is a leading recruitment partner specializing in Clean Energy, Sustainable Infrastructure, ESG, Impact Investment, and Climate-Tech Technology sectors. Our commitment lies in supporting industries in their battle against climate change, aiming for a net-zero future and a sustainable economy.




Role Overview:

As AI continues to transform industries, the next decade presents a unique challenge: ensuring that AI systems are not only powerful but also safe, fair, and trustworthy. Many enterprises lack the capability to achieve this on their own. That’s where we come in—a pioneering AI assurance venture dedicated to validating AI systems for accuracy, robustness, explainability, fairness, privacy, and security.




We’re seeking a talented Data Scientist with hands-on experience in evaluating and testing deep learning models in real-world settings. Join our category-defining venture and play a crucial role in helping companies test and audit their AI systems. If you’re passionate about applying cutting-edge technology to solve complex problems, we offer an opportunity to make a meaningful impact.




Roles And Responsibilities:

AI Model Evaluation: Collaborate closely with our clients to rigorously evaluate computer vision models, particularly in high-stakes fields like law enforcement and healthcare. You’ll apply scientific research and methods to assess AI models for robustness, explainability, fairness, privacy, safety, and security.
Challenge the Status Quo: Bring a first-principles approach to tackling the most complex technical challenges, combining insights from design, engineering, and social science.
Leadership & Collaboration: Whether you’re leading a team or contributing individually, you’ll inspire those around you with your passion and expertise. You’ll work with talented individuals who are equally driven to make a difference.
Open Communication: Foster an environment of transparency, respect, and open dialogue, ensuring that ideas and concerns are shared freely.
Adapt & Focus: Thrive in a fast-paced environment where uncertainty is navigated with exploration and a steadfast focus on the mission.




Requirements:

Extensive Experience: 3-5 years of experience as a Data Scientist, with a strong background in training, deploying, and evaluating computer vision models that drive business outcomes.
Technical Expertise: Familiarity with state-of-the-art computer vision techniques and practical experience in deploying them in production environments.
Domain Knowledge: Experience in healthcare or facial recognition systems is a plus, bringing added value to our high-impact projects.
Passion for Ethical AI: While specific experience with ethical AI methods is not required, a keen interest in the safe and responsible use of AI is essential.
Multi-Disciplinary Approach: You bring a holistic perspective, integrating insights from various disciplines to solve complex technical problems.




Application Process:

If you are interested in this position, please apply directly on the platform with your latest CV. We will review your application and revert back promptly.




About NextWave Partners:

NextWave Partners is the Recruitment Partner of choice within the Clean Energy, Sustainable Infrastructure, ESG, Impact Investment, Climate-Tech & Technology sectors. We are committed to supporting industries battling climate change towards a net-zero future and a sustainable economy.




Keep in touch:

If you would wish to keep up to date with the latest NextWave opportunities and industry updates, please follow us on LinkedIn and create your profile on our website to receive a weekly newsletter in your inbox!




Our Commitment:

At NextWave Partners, we value diversity and are proud to partner with equal opportunity employers. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, disability, or age.




EA Registration No: R1877984

NextWave Partners Ltd. (EA License No: 16S8303 - UEN: 201602833E)

Website: www.next-wavepartners.com

Show more "
