title,company,location,date,link,description
AIOps Engineer,"Technogen, Inc.",United States,2024-08-22,https://www.linkedin.com/jobs/view/aiops-engineer-at-technogen-inc-4007591371?position=1&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=48ZkHoc0pfg4NrSoT49jZA%3D%3D&trk=public_jobs_jserp-result_search-card,"TECHNOGEN, Inc. is a Proven Leader in providing full IT Services, Software Development and Solutions for 15 years.

TECHNOGEN is a Small & Woman Owned Minority Business with GSA Advantage Certification. We have offices in VA; MD & Offshore development centers in India. We have successfully executed 100+ projects for clients ranging from small business and non-profits to Fortune 50 companies and federal, state and local agencies.

AIOps Engineer

San Jose, CA 95002 / Santa Clara, CA 95054 (Remote)

Direct Hire / FTE

Salary - Market/Flexible

Skills/Experience


Proficiency in Docker and container orchestration tools like Kubernetes; Experience with CI/CD pipelines
Knowledge of cloud platforms (AWS, Azure, GCP) and on-premise infrastructure
Familiarity with NVIDIA NGC and NIM deployment procedures


Responsibilities


Managing the deployment of NIM containers
Monitoring and maintaining the infrastructure
Automating deployment processes and ensuring scalability


Best & Regards,

Asra Mohammad

Talent Acquisition Specialist

asra.m@technogeninc.com | 703-459-9610
Show more "
Senior AI / ML Platform Engineer - Hybrid NJ - Permanent,"IT Accel, Inc.",United States,2024-08-13,https://www.linkedin.com/jobs/view/senior-ai-ml-platform-engineer-hybrid-nj-permanent-at-it-accel-inc-3998533821?position=3&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=PzuQ%2BV6DtZBiT2LFDbE9Ug%3D%3D&trk=public_jobs_jserp-result_search-card,"We are seeking a passionate individual to contribute toward the vision and strategy for Generative AI and Machine Learning. The ideal candidate will have a deep interest in deep learning and natural language models, along with an AIOps/MLOps mindset for enabling services and developing pipelines to manage training and production models.

Responsibilities include:


Collaborating with internal application development teams to leverage AI/Client services to solve business objectives.
Delivering AI/Client POCs to demonstrate how business can solve issues, train on specific use cases, and generate business value.
Understanding security, risks, and mitigations to load data and training models securely into the Cloud.
Partnering with various control partners to establish AI Security & Governance standards and processes to support GenAI application and model usage.
Working with Enterprise architecture to establish GenAI Reference architecture/framework and patterns.
Formulating platform strategy & approach for expanding AI/Client across the hybrid cloud landscape.
Providing technical leadership, consulting, and direction to a larger team on all aspects of engineering.


Required Qualifications:


Bachelor's or Graduate degree.
10 years of relevant experience.
AI and Client engineering experience - Azure AI stack or equivalent.
Working knowledge of Google GCP AI stack (Vertex.AI, BigQuery...) is a plus.
Experience developing platform orchestration code in Azure Python SDK, Terraform, and GitHub Runners.
Strong Prompt Engineering, Python Development, and REST API skills.
Expertise in delivering Cloud Infrastructure as Code (IAC) leveraging CI/CD pipelines, Terraform, and Github Actions.
Knowledge of cloud provisioning and administration, cloud bursting, cloud interoperability, cloud disaster recovery, and business continuity strategies, as well as performance measurement and monitoring in the cloud.
Self-starter with demonstrated ability to take independent action to achieve results.
Highly developed critical thinking, analytical, and problem-solving skills.
Understanding of different GenAI models, development frameworks (Langchain, Semantic Kernel), and AI ecosystem tooling (evaluation, monitoring, governance, security, vector databases).
Ability to understand and identify security risks related to GenAI and techniques.
Understanding of major components of RAG applications, usage patterns, and optimization.
Show more "
Remote _ AIOps Engineer,CADRE TECHNOLOGIES SERVICES LLC,United States,2024-08-27,https://www.linkedin.com/jobs/view/remote-aiops-engineer-at-cadre-technologies-services-llc-4010937569?position=4&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=rSmu9bWvPDmDd2wK1fzPCA%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Title: AIOps Engineer Location: Santa Clara, CA Duration: Full time/ Contract Remote Salary get the best (NO H1b transfers) Only USC/GC Skills Required: Proficiency in Docker and container orchestration tools like Kubernetes.Experience with CI/CD pipelines. Knowledge of cloud platforms (AWS, Azure, GCP) and on-premise infrastructure. Familiarity with NVIDIA NGC and NIM deployment procedures. Responsibilities: Managing the deployment of NIM containers. Automating deployment processes and ensuring scalability. Monitoring and maintaining the infrastructure.
Show more "
Junior Data Engineer,Patterned Learning Career,United States,2024-08-30,https://www.linkedin.com/jobs/view/junior-data-engineer-at-patterned-learning-career-4013325989?position=5&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=BSw%2Ba7u2txVY6n3Py80YtQ%3D%3D&trk=public_jobs_jserp-result_search-card,"This is a remote position.

Junior Data Engineer\ - Remote Job, 1+ Year Experience

Annual Income: $59K - $69K

A valid work permit is necessary in the US/Canada

About us: Patterned Learning is a platform that aims to help developers code faster and more efficiently. It offers features such as collaborative coding, real-time multiplayer editing, and the ability to build, test, and deploy directly from the browser. The platform also provides tightly integrated code generation, editing, and output capabilities.

Position Summary

Join the fast-paced, innovative, and collaborative environment focused on providing an AIOps platform that enhances the intelligence of the CVS Health infrastructure. Work closely with subject matter experts and colleagues to build and scale out machine learning and AI solutions that will detect, predict, and recommend solutions to correct issues before system impact and enhance the efficiency, reliability, and performance of CVS Health’s IT operations.

Key Responsibilities include:


Data pipeline development: Designed, implemented, and managed data pipelines for extracting, transforming, and loading data from various sources into data lakes for processing, analytics, and correlation.
Data modeling: Create and maintain data models ensuring data quality, scalability, and efficiency
Develop and automate processes to clean, transform, and prepare data for analytics, ensuring data accuracy and consistency
Data Integration: Integrate data from disparate sources, both structured and unstructured to provide a unified view of key infrastructure platform and application data
Utilize big data technologies such as Kafka to process and analyze large volumes of data efficiently
Implement data security measures to protect sensitive information and ensure compliance with data and privacy regulation
Create/maintain documentation for data processes, data flows, and system configurations
Performance Optimization- Monitor and optimize data pipelines and systems for performance, scalability and cost-effectiveness


Characteristics of this role:


Team Player: Willing to teach, share knowledge, and work with others to make the team successful.
Communication: Exceptional verbal, written, organizational, presentation, and communication skills.
Creativity: Ability to take written and verbal requirements and come up with other innovative ideas.
Attention to detail: Systematically and accurately research future solutions and current problems.
Strong work ethic: The innate drive to do work extremely well.
Passion: A drive to deliver better products and services than expected to customers.


Required Qualifications


2+ years of programming experience in languages such as Python, Java, SQL
2+ years of experience with ETL tools and database management (relational, non-relational)
2+ years of experience in data modeling techniques and tools to design efficient scalable data structures
Skills in data quality assessment, data cleansing, and data validation


Preferred Qualifications


Knowledge of big data technologies and cloud platforms
Experience with technologies like PySpark, Databricks, and Azure Synapse.


Education

Bachelor’s degree in Computer Science, Information Technology, or related field, or equivalent working experience


Show more "
AI Ops ServiceNow ITOM,Danta Technologies,United States,2024-08-15,https://www.linkedin.com/jobs/view/ai-ops-servicenow-itom-at-danta-technologies-4002000331?position=6&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=1InO2KuNT%2Bfu6NSohNcUnQ%3D%3D&trk=public_jobs_jserp-result_search-card,"We are seeking a skilled and motivated AIOps Team Level 3 Analyst to join our dynamic team responsible for leveraging ServiceNow's ITOM Pro Health Event Management capabilities to enhance operational efficiency and drive intelligent automation. As a Level 3 Analyst, you will play a pivotal role in implementing and configuring AIOps solutions within the ServiceNow platform. Your focus will be on translating operational requirements into technical solutions and collaborating with cross-functional teams to ensure smooth implementation and integration.

Key Responsibilities

"" Collaborate with other Level 3 Analysts, IT teams, and stakeholders to gather and understand operational requirements for AIOps implementations.

"" Assist in designing, configuring, and customizing AIOps solutions within the ServiceNow ITOM Health framework.

"" Implement incident, event, and performance management processes using AIOps principles and best practices.

"" Collaborate with Level 3 Analysts to integrate data sources, set up event correlation rules, and create predictive alerts.

"" Perform testing and validation of AIOps configurations to ensure accurate and timely detection of anomalies.

"" Participate in troubleshooting and resolving technical issues related to AIOps implementations.

"" Provide technical documentation and training materials for support teams.

"" Contribute to continuous improvement by identifying opportunities for process optimization and automation.

Qualifications

Primary Skills:

"" Proficiency configuring and customizing ServiceNow Platform.

"" Proficiency configuring and customizing ServiceNow ITOM Pro Health Event Management module.

"" Proficiency in JavaScript

Secondary Skills

"" Certifications in ServiceNow, ITIL, or related areas are a plus.

Notes:- All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

Benefits: Danta offers a compensation package to all W2 employees that are competitive in the industry. It consists of competitive pay, the option to elect healthcare insurance (Dental, Medical, Vision), Major holidays and Paid sick leave as per state law.

The rate/ Salary range is dependent on numerous factors including Qualification, Experience and Location.
Show more "
Performance & Observability Engineer,VYZE INC,United States,2024-08-22,https://www.linkedin.com/jobs/view/performance-observability-engineer-at-vyze-inc-3996469990?position=7&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=kCTezdkT94Hsanb4vEjqyA%3D%3D&trk=public_jobs_jserp-result_search-card,"W2 Role

Job Description -

Job Title: Performance & Observability Engineer 

Location: Hartford CT or Charlotte NC

Job Type: onsite Hartford CT or Charlotte NC

VISA- USC/GC ONLY

Duration: 6+ months




Performance Monitoring & Observability Engineer (Splunk, DynaTrace, heavy AWS, LoadRunner all required

MUST HAVE: Monitoring, Testing, Analysis, Analytics, and Observability in an AWS Cloud environment.




***This is not a Performance Testing Lead position, but a Performance Engineering lead who has performance testing expertise too***

Hartford is seeking an experienced and highly motivated Performance & Observability Engineer who will be responsible for assessing, strategizing and building solutions for complex application and infrastructure observability needs to ensure production stability and visibility. Position will be responsible for driving performance and stability improvements of critical business applications, the architecture, and integrations to ensure optimal end user experience by working closely with Application development, Infrastructure, Database and middleware teams.




Responsibilities:

•    Configure, maintain our applications and infrastructure’s observability capabilities in partnership with SRE, AIOps and Assess code, conf, or infra changes readiness for production

•    Monitor and develop SLOs and SLIs through customer user journey; Advise on SLA; Establish error budgets

•    Strategize, analyze and tune applications for Performance and availability via DevSecOps principles and technologies as needed to continuously (DevOps) validate Load, Stability, Scalability, and Reliability standards of the application are achieved. 

•    Define, Create, and maintain monitoring dashboards. Implement application performance management, log analytics, error analytics, business analytics solutions using APM tools, but not limited to Dynatrace, Splunk, Akamai etc.

•    Responsible for monitoring application stability trends (cloud/on-Prem) and identifying opportunities to improve performance and/or availability

•    Automate system scalability and continually work to improve system resiliency, performance and efficiency; Makes recommendations for design changes for improved reliability

•    Working with Incident/ Problem manager and help drive blameless RCA, postmortems and RCRs by providing engineering and tool expertise

•    Define, configure, review, assess and use Artificial Intelligence based analytics, and fine-tune it to make a good balance between faster automatic root cause analysis and false positives

•    Develop next-gen, smart, automated monitoring & alerting solutions in software delivery and production environment. Implement observability and monitoring framework using tools/frameworks like Dynatrace, ServiceNow, Ansible, Splunk, Akamai, Open Telemetry and AWS monitoring capabilities CloudWatch etc

•    Independently contribute toward finding game changer solutions using cutting-edge technologies and Experience in enabling next-gen alerting, problem-solving, and self-healing solutions for IT assets 




Qualifications and Skillset:

•    Position requires a Bachelor’s degree (or foreign equivalent) or Advanced degree in Information Technology, Computer Science Engineering, or a related field plus eight(8+) years of experience in the job offered or in a related occupation

•    Experienced in Dynatrace, LoadRunner and Splunk for performance analysis, alerting and monitoring solutions implementation, while being proficient in performance testing process and automation

•    Expertise in cloud-native technologies, including containerization, microservices architecture, and serverless computing

•    Demonstrate strong analytical, problem solving, debugging, troubleshooting skills and identifying root cause of issues

•    Proficient in utilizing and supporting APM tools in a large enterprise environment

•    Proficient with application server instrumentation (Java), Real User Monitoring, Synthetic Monitoring

•    Experience in the fields of Agile, DevOps, Site Reliability Engineering

•    Strong knowledge in Event Management in ServiceNow preferred

•    Exceptional communication and collaboration skills, enabling effective engagement with stakeholders at all levels of the organization

•    Ability to coach team members and engineering teams




Certifications preferred:

•    Dynatrace certified associate

•    AWS Solution Architect - Associate

•    Splunk core certified Power user

•    Splunk core certified Advanced Power user

•    Secondary AWS certification (optional)

 

Show more "
AI – ML Engineer with GCP (Google Cloud Platform) Experience (only W2 Position – Strictly No C2C Accepted) 8.26.24,"Systems Technology Group, Inc. (STG)",United States,2024-08-26,https://www.linkedin.com/jobs/view/ai-%E2%80%93-ml-engineer-with-gcp-google-cloud-platform-experience-only-w2-position-%E2%80%93-strictly-no-c2c-accepted-8-26-24-at-systems-technology-group-inc-stg-4008118352?position=8&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=WYdKip2AI%2FbHAMXNVJhZdw%3D%3D&trk=public_jobs_jserp-result_search-card,"Title: AI – ML Engineer with GCP (Google Cloud Platform) Experience (only W2 Position – Strictly No C2C Accepted) 8.26.24




Description: STG is a SEI CMMi Level 5 company with several Fortune 500 and State Government clients. STG has an opening for AI – ML Engineer with GCP Experience.

Please note that this project assignment is with our own direct clients. We do not go through any vendors. STG only does business with direct end-clients. This is expected to be a long-term position. STG will provide immigration and permanent residency sponsorship assistance to those candidates who need it.




Job Description:

We believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation. Global Data Insight & Analytics organization is looking for a Machine Learning Engineer focused on building and driving the strategy forward for our internal Data Science / AI/ML platform. This role will work in a small, cross-functional team. The position will collaborate directly and continuously with other engineers, business partners, product managers and designers, and will release early and often. The team you will be working on is focused on building Mach1ML platform – an AI/ML enablement platform to democratize Machine Learning across enterprise (similar to Uber’s Michelangelo, Facebook’s FBLearner, etc.)




Position Responsibilities:

Work closely with Tech Anchor, Product Manager and Product Owner to deliver MLOPs platform and Gen AI solution in GCP using Python and other tools for the data scientists and business across the company.

Work with software and ML engineers/Data Scientist to tackle challenging AIOps and Gen AI problems.

Maintain and mange current CI/CD ecosystem and tools

Find ways to automate and continually improve current CI/CD processes and release processes

Examine, inspect codes / scripts and resolve issues

Help innovate standardize machine learning development practices.

Experiment, innovate and share knowledge with the team.

Lead by example in use of Paired Programming for cross training/upskilling, problem solving, and speed to delivery.

Leverage latest ML/Gen AI / GCP/AIOPs/Kubernetes technologies.




Skills Required:

A Bachelor’s degree in Computer Science / Computer Engineering or similar technical discipline.

3+ years of work experience as a backend software engineer in Python with exceptional software engineering knowledge.

2+ years of experience with Cloud Engineering / Services

Experience with ML workflow orchestration tools: Airflow, Kubeflow etc.

Advanced working knowledge of object-oriented/object function programming languages: Python, C/C++

Experience/understanding in MLOPs and Gen AI

Experience in DevOps: Jenkins/Tekton etc.

Experience with cloud services, preferably GCP Services like Vertex AI, Cloud Function, BigQuery etc.

Experience in container management solution: Kubernetes, Docker

Experience in scripting language: Bash, PowerShell etc.

Experience with Infrastructure as code: Terraform etc.




Skills Preferred:

Master focused in Computer Science / Machine Learning or related field

Experience working with Google Cloud platform (GCP) – specifically Google Kubernetes engine, Terraform, and infrastructure

Experience in programming concepts such as Paired Programming, Test Driven Development, etc.

Knowledge of coding and software craftsmanship practices.

Must be a quick learner and open to learning new technology.

Experience applying agile practices to solution delivery.

Must be team-oriented and have excellent oral and written communication skills.

Must be a self-starter to understand existing bottlenecks and come up with innovative solutions.

Experience and good understanding of GCP, DevOps, AI/ML and GEN AI.




AI – ML Engineer with GCP Experience position is based in Dearborn, MI. A great opportunity to experience the corporate environment leading personal career growth.




Resume Submittal Instructions: Interested/qualified candidates should email their word formatted resumes to Vasavi Konda – vasavi.konda(.@)stgit.com and/or contact @(Two-Four-Eight) Seven- One-Two – Six-Seven-Two-Five (@248.712.6725). In the subject line of the email please include: First and Last Name AI – ML Engineer with GCP Experience.




For more information about STG, please visit us at www.stgit.com.




Sincerely,

Vasavi Konda| Recruiting Specialist

“Opportunities don't happen, you create them.”

Systems Technology Group (STG)

3001 W. Big Beaver Road, Suite 500

Troy, Michigan 48084

Phone: @(Two-Four-Eight) Seven- One-Two – Six-Seven-Two-Five: @248.712.6725(O)

Email: vasavi.konda(.@)stgit.com

Show more "
Junior Data Engineer,Phoenix Recruitment,United States,2024-08-31,https://www.linkedin.com/jobs/view/junior-data-engineer-at-phoenix-recruitment-4014284594?position=9&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=yi99TT2Aq9natGEQ6hyRzQ%3D%3D&trk=public_jobs_jserp-result_search-card,"This is a remote position.

Junior Data Engineer - US Only

Experience: 1+ years

Employment Type: Full-time, Remote

Base Salary: $62K-$72K

Phoenix Recruitment offers a variety of recruiting services to assist both employers and employees. They are specialized in marketing open positions, recruiting, and helping employers to find qualified candidates across various industries. Phoenix Recruitment has expertise in streamlining the hiring process. They can help ensure that the process is efficient, well organized, and compliant with relevant regulations.

Position Summary

Join the fast-paced, innovative, and collaborative environment focused on providing an AIOps platform that enhances the intelligence of the CVS Health infrastructure. Work closely with subject matter experts and colleagues to build and scale out machine learning and AI solutions that will detect, predict, and recommend solutions to correct issues before system impact and enhance the efficiency, reliability, and performance of CVS Health’s IT operations.

Key Responsibilities include:


Data pipeline development: Designed, implemented, and managed data pipelines for extracting, transforming, and loading data from various sources into data lakes for processing, analytics, and correlation.
Data modeling: Create and maintain data models ensuring data quality, scalability, and efficiency
Develop and automate processes to clean, transform, and prepare data for analytics, ensuring data accuracy and consistency
Data Integration: Integrate data from disparate sources, both structured and unstructured to provide a unified view of key infrastructure platform and application data
Utilize big data technologies such as Kafka to process and analyze large volumes of data efficiently
Implement data security measures to protect sensitive information and ensure compliance with data and privacy regulation
Create/maintain documentation for data processes, data flows, and system configurations
Performance Optimization- Monitor and optimize data pipelines and systems for performance, scalability and cost-effectiveness


Characteristics of this role:


Team Player: Willing to teach, share knowledge, and work with others to make the team successful.
Communication: Exceptional verbal, written, organizational, presentation, and communication skills.
Creativity: Ability to take written and verbal requirements and come up with other innovative ideas.
Attention to detail: Systematically and accurately research future solutions and current problems.
Strong work ethic: The innate drive to do work extremely well.
Passion: A drive to deliver better products and services than expected to customers.


Required Qualifications


2+ years of programming experience in languages such as Python, Java, SQL
2+ years of experience with ETL tools and database management (relational, non-relational)
2+ years of experience in data modeling techniques and tools to design efficient scalable data structures
Skills in data quality assessment, data cleansing, and data validation


Preferred Qualifications


Knowledge of big data technologies and cloud platforms
Experience with technologies like PySpark, Databricks, and Azure Synapse.


Education

Bachelor’s degree in Computer Science, Information Technology, or related field, or equivalent working experience

Why Phoenix Recruitment LLC?

Phoenix Recruitment often has an extensive network of employers and candidates. This network allows them to tap into a pool of qualified candidates and connect them with suitable job opportunities. They can also leverage their connections to help employers find the right talent efficiently. Outsourcing the recruitment process to a specialized agency can save you time and resources, avoid delays, reduce administrative burdens, and increase the chances of finding the right fit for your organization.


Show more "
Senior Business Value Manager,BigPanda,United States,2024-08-31,https://www.linkedin.com/jobs/view/senior-business-value-manager-at-bigpanda-3978212805?position=10&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=TRlqbB4R47AB7ETSFBv8Qg%3D%3D&trk=public_jobs_jserp-result_search-card,"About The Role

At BigPanda, we are hyper-focused on customers and delighting them with a buying experience like no other. The Value Team puts the customer first by quantifying and articulating the tangible benefits of BigPanda’s solutions.

As a Business Value Consultant, you will lead and collaborate with our Sales, Sales Engineering, and Customer teams to focus on each customer's unique business outcomes by clearly communicating the value of BigPanda’s product set. This involves translating product features into financial and operational results that will lead to the customer's most important business outcomes.

What You’ll Do


Build business cases directly with the sales team and customers on the largest deals
Articulate the business value proposition in a concise, focused message using language that each internal and external stakeholder understands
Quantify business value by translating technical advantages to specific financial results and business outcomes
Present the value of BigPanda solutions to customer executives with a solid understanding of how the customer will gain value and how our solutions will drive financial value
Lead the use of value-selling content and the value-selling process at our top customer accounts
Lead the sales team through the delivery of content, methods, and tools for value measurement and calculation
Partner with sales leaders to spread value-based selling among new sales reps and existing sales reps
Partner with product line owners to quantify new functionality and new areas of customer value
Partner with marketing to update and share content that clearly states the value of our products and services
Educate account teams, engineering teams, and marketing teams on business value best practices and trends
Monthly reporting of Value Consulting impact on the sales team’s success metrics


About You


5+ years in a Business Value, Value Engineering, or similar position
Bachelor's Degree required. Master's Degree/MBA preferred but not required
Previous experience in a sales or sales engineering role in a high-growth technology company
Expert business case practitioner as applied to selling technology solutions
Strong command of business case frameworks that use story-telling and financial concepts like revenue gain, cost savings, risk reduction, cash flow, and ROI financial metrics (NPV, IRR, Payback)


About Us:

BigPanda is a fast-growing, values-driven, global company that enables Tech Ops teams to keep the digital economy running. BigPanda’s AI-driven IT operations (aka AIOps) platform transforms IT data into insight and action. By eliminating IT noise, automating incident management, and keeping our customers’ digital services up and running around the clock, we become a mission-critical part of our customers’ IT operations.

With BigPanda, some of the world’s largest enterprises including Hulu, Cisco, United, and many others are able to reduce costs and increase efficiencies, accelerate business velocity, and deliver extraordinary customer experiences.

BigPanda is backed by top-tier investors including Sequoia, Mayfield, Battery, Insight Partners, Advent International, and Greenfield Partners.

We have an awesome team of motivated, knowledgeable, fun-loving, and friendly Pandas. We provide comprehensive health coverage, parental leave, competitive cash and equity compensation, and a supportive, collaborative, and innovative environment to empower you to do the best work of your career.

Our Benefits:


Competitive equity
Remote-first environment
Unlimited PTO
Twelve (12) paid holidays throughout the year
Comprehensive health benefits
#PandaParent support. Financial assistance for fertility, adoption, and surrogacy expenses as well as a combined total of eighteen (18) weeks fully paid leave for all new parents
Financial planning services
Employee learning & development budget
Values-based recognition (quarterly and annually)
Social community & ERG programs
Dog friendly office
Lunches provided in office
Flexible work environment along with a work-from-home stipend to support remote work arrangements
Values-based culture


Market competitive salary with an anticipated base compensation range of $160,000 - 190,000. Actual salaries will vary depending on a candidate’s experience, qualifications, skills, and location.

BigPanda offers a generous total rewards package that includes base pay, bonus, equity, and a world-class benefits program. We run two (2) compensation review cycles per year to ensure that managers can recognize employees without much lag between achievement and reward. All of this builds toward the best compensation we can give to anyone: the ability to develop your skills each and every day. BigPanda has a significant focus on career development that is at the core of our employee experience.

BigPanda is proud to be an Equal Employment Opportunity workplace employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.

Note: BigPanda is an E-Verify Employer

If you need assistance or an accommodation due to a disability, you may contact us at peoplequestions@bigpanda.io.
Show more "
Junior Data Engineer,Phoenix Recruitment,United States,2024-08-30,https://www.linkedin.com/jobs/view/junior-data-engineer-at-phoenix-recruitment-4013587423?position=11&pageNum=0&refId=44DPNIi1uiioNAkAZgYrLw%3D%3D&trackingId=gBZ%2Bfv8fSu2crncPG8Ufiw%3D%3D&trk=public_jobs_jserp-result_search-card,"This is a remote position.

Junior Data Engineer - US Only

Experience: 1+ years

Employment Type: Full-time, Remote

Base Salary: $58K-$70K

Phoenix Recruitment offers a variety of recruiting services to assist both employers and employees. They are specialized in marketing open positions, recruiting, and helping employers to find qualified candidates across various industries. Phoenix Recruitment has expertise in streamlining the hiring process. They can help ensure that the process is efficient, well organized, and compliant with relevant regulations.

Position Summary

Join the fast-paced, innovative, and collaborative environment focused on providing an AIOps platform that enhances the intelligence of the CVS Health infrastructure. Work closely with subject matter experts and colleagues to build and scale out machine learning and AI solutions that will detect, predict, and recommend solutions to correct issues before system impact and enhance the efficiency, reliability, and performance of CVS Health’s IT operations.

Key Responsibilities include:


Data pipeline development: Designed, implemented, and managed data pipelines for extracting, transforming, and loading data from various sources into data lakes for processing, analytics, and correlation.
Data modeling: Create and maintain data models ensuring data quality, scalability, and efficiency
Develop and automate processes to clean, transform, and prepare data for analytics, ensuring data accuracy and consistency
Data Integration: Integrate data from disparate sources, both structured and unstructured to provide a unified view of key infrastructure platform and application data
Utilize big data technologies such as Kafka to process and analyze large volumes of data efficiently
Implement data security measures to protect sensitive information and ensure compliance with data and privacy regulation
Create/maintain documentation for data processes, data flows, and system configurations
Performance Optimization- Monitor and optimize data pipelines and systems for performance, scalability and cost-effectiveness


Characteristics of this role:


Team Player: Willing to teach, share knowledge, and work with others to make the team successful.
Communication: Exceptional verbal, written, organizational, presentation, and communication skills.
Creativity: Ability to take written and verbal requirements and come up with other innovative ideas.
Attention to detail: Systematically and accurately research future solutions and current problems.
Strong work ethic: The innate drive to do work extremely well.
Passion: A drive to deliver better products and services than expected to customers.


Required Qualifications


2+ years of programming experience in languages such as Python, Java, SQL
2+ years of experience with ETL tools and database management (relational, non-relational)
2+ years of experience in data modeling techniques and tools to design efficient scalable data structures
Skills in data quality assessment, data cleansing, and data validation


Preferred Qualifications


Knowledge of big data technologies and cloud platforms
Experience with technologies like PySpark, Databricks, and Azure Synapse.


Education

Bachelor’s degree in Computer Science, Information Technology, or related field, or equivalent working experience

Why Phoenix Recruitment LLC?

Phoenix Recruitment often has an extensive network of employers and candidates. This network allows them to tap into a pool of qualified candidates and connect them with suitable job opportunities. They can also leverage their connections to help employers find the right talent efficiently. Outsourcing the recruitment process to a specialized agency can save you time and resources, avoid delays, reduce administrative burdens, and increase the chances of finding the right fit for your organization.


Show more "
