title,company,location,date,link,description
ML/AI Engineer Python,"Conch Technologies, Inc",United States,2024-08-20,https://www.linkedin.com/jobs/view/ml-ai-engineer-python-at-conch-technologies-inc-4005943697?position=2&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=b1QgKXjdql8OdpG%2BOIhueA%3D%3D&trk=public_jobs_jserp-result_search-card,"HI,

Greetings from Conch Technologies Inc

Job Title: Python Developer

Location: Phoenix, AZ ( Onsite day 1 )

Duration: 12+ Months Contract ( ONLY FOR W2 )

Client Note: Must have ML/AI exp

Job Responsibilities


Very Strong Python Dev + Some experience in AI/LL
Very Strong Python Skill Set
Experience in coding for GenAI Domain Chat GPT and other AI Service providers
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Research and implement appropriate ML algorithms and tools


Thank you & Regards

V S Durga Prasad | IT Recruiter

E: vprasad@conchtech.com | T: 901-466-4708 | 615-922-1491

Conch Technologies Inc | www.conchtech.com

_
Show more "
ML Engineer,Typeface,United States,2024-08-31,https://www.linkedin.com/jobs/view/ml-engineer-at-typeface-3982868254?position=6&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=lO1nJg0Kq1na6IKhjpUDHg%3D%3D&trk=public_jobs_jserp-result_search-card,"Who we are?

Typeface is on a mission to help everyone express their unique imagination. We believe technology is a creative partner that empowers any company to tell their unique stories faster and easier than ever before. Generative AI platforms represent a major breakthrough to create content at tremendous speed and scale. For enterprises to successfully leverage their potential, they need to include their unique voice and style and ensure responsible AI practices. We unite content velocity with brand personalization and safety, so that every company can achieve its creative potential. We are looking for passionate individuals who want to help build a fast-growing GenAI company from the ground up.

Why join us?


Bleeding edge technology: We explore uncharted territory at the intersection of art and science. We strive to revolutionize content, amplifying human creativity with cutting-edge AI in a safe and responsible way.
Best-in-class product: We built the leading enterprise-grade generative AI solution, so any business, from startups to Fortune 500 companies, can 10x personalized content at scale. Typeface combines the best-in-class AI platforms across the board with our own brand-personalized AI model to hyper-personalize content at scale with a responsible AI approach.
World-class team: Founded by the former CPO & CTO of Adobe, Abhay Parasnis, and a highly experienced team with a proven track record of building revolutionary, long-lasting AI, SaaS, and media technologists that are completely focused on customer impact.
Top-tier Investors: Backed by top-tier venture capital firms: Lightspeed Venture Partners, Salesforce Ventures, GV (Google Ventures), Madrona, Menlo Ventures, and M12 (Microsoft’s Venture Fund). Check out our Series B announcement.
Rapid customer traction: Overwhelming demand from Fortune 500 companies and popular digital-native brands from every industry.
Awards & recognition: Honored to be a winner of 10+ industry awards for our unique approach to enterprise GenAI, including Fast Company’s “Top 5 Next Big Things in Tech” and Adweek’s AI Company of the Year.


The Mission:

As an Machine Learning Engineer, you will be responsible for building machine learning models/systems and innovative web applications that deliver the power of Generative AI to our customers. You will work closely with designers, product managers and other engineers driving the technical designs and implementations.

 

Core Responsibilities:

We are looking for strong Machine Learning engineers across multiple levels to join our team and help us build innovative Generative AI solutions that deliver the power of Generative AI to our customers. You will be responsible for:


Define the roadmap for generation of various content types including text, image, audio and video enabling us to generate brand-affinitized, hyper-personalized, and safe content
Own the delivery of key business, product and technology initiatives across design, specification, development, testing, and launch.
Establish and implement processes for model training, fine-tuning, testing, and operating the Generative AI models at significant scale.
Investigate, prototype and deliver innovative solutions
Collaborate with other engineers, Product and Business Teams to identify new ways to improve our product and drive growth
Establish a data-driven development culture by driving the definition, tracking, and operationalizing of feature, product, and company-level metrics


 

Minimum Qualifications:


Master’s or PhD degree in Computer Science or a related field
Experience with building and evolving ML Training and Inferencing systems at significant scale with a purpose of solving real-world problems.
2+ years of prior experience designing, building and scaling systems for training, testing, and running Machine Learning models at scale
Have a track records of coming up with new ideas or improving upon existing ideas in machine learning, demonstrated by accomplishments such as first author publications or projects
Proficiency in Python, C/C++ (or equivalent)
Ability to create self-contained, reusable, and testable modules and passionate about prototyping


Preferred Qualifications:


Prior experience with AzureML, GCP Vertex, AWS Sagemaker or similar platforms
Hands-on experience in deploying and tuning Generative AI models in cloud or on local system is a plus
Experience working at a high-growth startup or tech company
Publications and research experiences in ML venues and/or vision/language applications are a plus


Benefits


Competitive salaries and equity
Comprehensive benefits package (medical, dental, vision)
Opportunities for professional growth and development


Equality Opportunity Statement

Typeface is an equal opportunity employer and does not discriminate on the basis of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. *

Diversity & Inclusion Statement

At Typeface, we believe that diversity and inclusion are essential to our success. We are committed to creating a workplace that is welcoming and inclusive for all employees, regardless of their background or identity. We value diversity in all its forms and strive to create a culture of respect, understanding, and collaboration.
Show more "
Junior/Entry-Level Gen AI Software Developer,Vody,United States,2024-08-28,https://www.linkedin.com/jobs/view/junior-entry-level-gen-ai-software-developer-at-vody-4011783694?position=8&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=X8PU20DlW6WkRySYedz1ng%3D%3D&trk=public_jobs_jserp-result_search-card,"About Us:

Vody is an innovative Generative AI startup focused on pushing the boundaries of product understanding in the E-commerce and Foodtech spaces. We are a small team of researchers, full-stack engineers, and business leaders with a proven track record in success within startups and big exits. Vody focuses on building Generative AI technologies to transform how buyers interact with business, how brands can build a stronger understanding of their buyers, and radically improve the personalization available to each and every marketplace. Join us as we explore the future of AI and its impact on various domains such as art, design, entertainment, and more.




Role Overview:

We are seeking a motivated and talented Junior/Entry-Level Software Developer to join our growing team. In this role, you will work closely with senior engineers and researchers to build out the existing systems, working across the entire stack from the frontend all the way to the underlying systems. This is an excellent opportunity for someone with a strong technical background who is eager to learn and contribute to the next generation of AI-driven solutions.




Key Responsibilities:

Full Stack Development: Assist in the design, implementation, and optimization of frontend UI/UX for the main website and customer/internal facing tools. Work on the data layer and the underlying microservices necessary for scaling our technology to the largest e-commerce providers.
Data Management: Work with large datasets, including data preprocessing, augmentation, and management to ensure high-quality training data
Software Engineering: Contribute to the development of AI-driven applications, tools, and APIs that leverage generative models.
Testing & Debugging: Participate in the testing and debugging of AI models and applications to ensure accuracy, efficiency, and scalability.
Active Learner: Regularly spend time learning about GenAI and surrounding solutions; the space is moving at a breakneck pace.




Qualifications:

Education: Bachelor’s degree in Computer Science, Electrical Engineering, Mathematics, or a related field. (Recent graduates are welcome to apply.)
Programming Skills: Proficiency in Python, JavaScript/TypeScript, HTML, and CSS; experience with systems languages like Java, C++, or Rust is a plus.
AI/ML Knowledge: Basic understanding of machine learning principles, neural networks, and deep learning frameworks.
Tools & Frameworks: Familiarity with React, Django, API services (e.g. flask, fastapi) or similar frameworks. 
Problem-Solving: Strong analytical and problem-solving skills with a keen interest in AI and its applications.
Teamwork: Ability to work effectively in a fast-paced, tightly collaborative environment and communicate technical concepts clearly to non-technical team members.
Passion for Shipping: Enthusiasm to ship code and continually improve the quality of the product.




Preferred Qualifications:

ML Experience: Prior experience with AI/ML projects, internships, or personal projects involving generative models. Experience with frameworks & toolkits like Pytorch, Huggingface, Pandas, Opensearch is a big plus!
Cloud Platforms: Familiarity with cloud computing platforms (e.g., AWS, Google Cloud, Azure).
Version Control: Experience with version control systems like Git.




What We Offer:

Growth Opportunities: Continuous learning and professional development opportunities, including mentorship from experienced engineers and researchers.
Innovative Environment: Work in a dynamic and fast-paced startup environment where your ideas and contributions matter.
Impactful Work: Contribute to groundbreaking projects that have the potential to shape the future of AI.
Flexible Work: Work majority remotely with a few short touchpoints per week.




How to Apply:

If you’re passionate about AI and eager to join an innovative team, we’d love to hear from you. Please submit your resume, a cover letter detailing your interest in the role, and any relevant project work or portfolio to careers@vody.com




Vody is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.

Show more "
Generative AI Tester,Zealogics Inc,United States,2024-08-28,https://www.linkedin.com/jobs/view/generative-ai-tester-at-zealogics-inc-4011008794?position=9&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=ztfBv80xw%2BAkCao8xFdwAg%3D%3D&trk=public_jobs_jserp-result_search-card,"This is Remote Position
Job Description: Tester for gen AI SDLC


Job Summary:

We are seeking skilled and detail-oriented GEN AI Testers to join our team. The candidate will be responsible for testing and validating our Generative AI SDLC model to ensure they meet the highest standards of quality, performance, and reliability. This role involves creating and executing test plans, identifying and documenting bugs, and working closely with developers and data scientists to improve our AI systems. Strong understand of GenAI solution and how the solutions are used in Professional Services environment. Ability to think as a business user while testing and validating GenAI outcomes.

Key Responsibilities:


Test Planning and Design:
Develop comprehensive test plans and test cases based on requirements and specifications
Validate software against business and technical requirement throughout the SDLC stages
Design and implement automated testing scripts and frameworks for GEN AI models
Develop test strategy to validate prompt engineering and RAG outputs
Participate in Design review, Code review to provide testing perspective
Execution and Reporting:
Execute tests on AI models to ensure accuracy, robustness, and performance
Identify, document, and track defects, and work with the development team to resolve them
Report testing progress, issues, and risks to stakeholders in a clear and concise manner
Quality Assurance:
Validate the functionality, performance, and reliability of AI models across various scenarios and datasets
Ensure compliance with industry standards and best practices for AI development and testing
Collaboration:
Work closely with data scientists, machine learning engineers, and software developers to understand AI model requirements and constraints
Provide feedback and suggestions for improvements in AI model development and deployment processes
Continuous Improvement:
Stay updated with the latest advancements in AI testing methodologies and tools
Contribute to the continuous improvement of testing processes and practices within the organization


Qualifications:


**Education:**
Bachelor’s degree in Computer Science , Engineering, or a related field. Master’s degree is a plus
Experience:
At least 7-8 years of Testing and Test management experience
Proven experience in software testing, preferably with AI or machine learning models
Familiarity with testing frameworks and tools such as PyTest, JUnit, Selenium, etc
Experience with scripting and programming languages like Python, Java, or similar
Technical Skills:
Understanding of AI/ML concepts, algorithms, and workflows
Proficiency in using tools and platforms for AI model development and testing
Strong analytical and problem-solving skills
Soft Skills:
Excellent communication skills, both written and verbal
Detail-oriented with a strong focus on quality
Ability to work independently as well as part of a collaborative team


Powered by JazzHR

6ruqb6gQcF
Show more "
Web Developer Python,"Conch Technologies, Inc",United States,2024-08-21,https://www.linkedin.com/jobs/view/web-developer-python-at-conch-technologies-inc-4006876858?position=11&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=vs1w%2FeCYNn9uhhH6s1U%2B6w%3D%3D&trk=public_jobs_jserp-result_search-card,"HI,

Greetings from Conch Technologies Inc

Job Title: Python Developer

Location: Phoenix, AZ ( Onsite day 1 )

Duration: 12+ Months Contract ( ONLY FOR W2 )

Client Note: Must have ML/AI exp

Job Responsibilities


Very Strong Python Dev + Some experience in AI/LL
Very Strong Python Skill Set
Experience in coding for GenAI Domain Chat GPT and other AI Service providers
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Research and implement appropriate ML algorithms and tools


_

Thanks and Regards,

Chanikya [IT Recruiter]

Direct : 214-247-7117

Mobile : 808-468-9092

chanakya@conchtech.com

linkedin.com/in/bhadchan
Show more "
Machine Learning Engineer - NLP and AI Solutions,New York Technology Partners,United States,2024-08-30,https://www.linkedin.com/jobs/view/machine-learning-engineer-nlp-and-ai-solutions-at-new-york-technology-partners-4013394557?position=12&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=cto32WZM98SJRFj0ipiEsw%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description:

We are seeking a highly skilled machine learning engineer specializing in NLP and AI solutions to join our innovative team. The ideal candidate will have a strong background in Python and experience with AWS services, specifically in deploying and scaling AI/ML solutions. This role will focus on developing, fine-tuning, and deploying NLP models for various applications such as text classification, summarization, and generation.




Core Responsibilities:

Model Development and Deployment: Design, develop, and deploy NLP models for various applications, including text classification, completion, summarization, and generation. Utilize Python libraries such as LangChain, LangIndex, PyTorch, SageMaker SDK, and psycopg2.

AWS Integration: Leverage AWS services (Bedrock, SageMaker, IAM, Glue, S3, Lambda, CodeCommit, and CodePipeline) to build, deploy, and manage machine learning models.

Containerization and Orchestration: Utilize Docker and AWS ECR to containerize applications and manage deployments efficiently.

Application Development: Create quick applications using frameworks like Streamlit, NodeJS, or similar to showcase AI/ML capabilities.

Vector Embeddings and Databases: Use embedding models to create vector embeddings and work with vector databases for optimized retrieval in AI models.

RAG Architecture Implementation: Understand and implement Retrieval-Augmented Generation (RAG) architectures, optimizing for retrieval and understanding trade-offs in different splitting methods.

Benchmarking and Evaluation: Conduct model evaluations using industry benchmarks and methodologies to determine vector similarity and overall model performance.

Scaling and Distributed Training: Scale machine learning training workloads using distributed training techniques on GPUs and develop microservices for AI/ML/GenAI products.

Data Preprocessing and Analysis: Work with large-scale datasets, preprocess data, and perform in-depth analyses to extract meaningful insights for AI model training.




Preferred Qualifications:

Fine-Tuning Expertise: Real-world experience in fine-tuning models, including understanding various methods and data preprocessing techniques for optimal performance.

AWS Certifications: AWS Solutions Architect and/or AWS Machine Learning Specialist certifications are highly desirable.




Core Skills and Experience Required:

Python Expertise: Proficiency in Python and its libraries, such as LangChain, LangIndex, PyTorch, SageMaker SDK, and psycopg2.

AWS Experience: Strong experience with AWS services including Bedrock, SageMaker, IAM, Glue, S3, Lambda, CodeCommit, and CodePipeline.

Containerization: proficiency with Docker and AWS ECR for application containerization and deployment.

Application Frameworks: Experience creating applications using Streamlit, NodeJS, or other frameworks.

NLP and AI Models: Education and experience in developing NLP models and working with embedding models and vector databases.

Distributed Systems and Microservices: Experience with scaling machine learning workloads and developing microservices for AI/ML products.

Data Handling: Ability to work with large datasets, perform preprocessing, and conduct detailed analysis.

Show more "
Senior AI / ML Platform Engineer - Hybrid NJ - Permanent,"IT Accel, Inc.",United States,2024-08-13,https://www.linkedin.com/jobs/view/senior-ai-ml-platform-engineer-hybrid-nj-permanent-at-it-accel-inc-3998533821?position=14&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=TOnXbIuWNvXRzEJWDIAgsA%3D%3D&trk=public_jobs_jserp-result_search-card,"We are seeking a passionate individual to contribute toward the vision and strategy for Generative AI and Machine Learning. The ideal candidate will have a deep interest in deep learning and natural language models, along with an AIOps/MLOps mindset for enabling services and developing pipelines to manage training and production models.

Responsibilities include:


Collaborating with internal application development teams to leverage AI/Client services to solve business objectives.
Delivering AI/Client POCs to demonstrate how business can solve issues, train on specific use cases, and generate business value.
Understanding security, risks, and mitigations to load data and training models securely into the Cloud.
Partnering with various control partners to establish AI Security & Governance standards and processes to support GenAI application and model usage.
Working with Enterprise architecture to establish GenAI Reference architecture/framework and patterns.
Formulating platform strategy & approach for expanding AI/Client across the hybrid cloud landscape.
Providing technical leadership, consulting, and direction to a larger team on all aspects of engineering.


Required Qualifications:


Bachelor's or Graduate degree.
10 years of relevant experience.
AI and Client engineering experience - Azure AI stack or equivalent.
Working knowledge of Google GCP AI stack (Vertex.AI, BigQuery...) is a plus.
Experience developing platform orchestration code in Azure Python SDK, Terraform, and GitHub Runners.
Strong Prompt Engineering, Python Development, and REST API skills.
Expertise in delivering Cloud Infrastructure as Code (IAC) leveraging CI/CD pipelines, Terraform, and Github Actions.
Knowledge of cloud provisioning and administration, cloud bursting, cloud interoperability, cloud disaster recovery, and business continuity strategies, as well as performance measurement and monitoring in the cloud.
Self-starter with demonstrated ability to take independent action to achieve results.
Highly developed critical thinking, analytical, and problem-solving skills.
Understanding of different GenAI models, development frameworks (Langchain, Semantic Kernel), and AI ecosystem tooling (evaluation, monitoring, governance, security, vector databases).
Ability to understand and identify security risks related to GenAI and techniques.
Understanding of major components of RAG applications, usage patterns, and optimization.
Show more "
Artificial Intelligence Engineer,Gotham Technology Group,United States,2024-08-13,https://www.linkedin.com/jobs/view/artificial-intelligence-engineer-at-gotham-technology-group-4000590870?position=15&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=2cCgJ4HTNH8XDXiJY%2BBiKg%3D%3D&trk=public_jobs_jserp-result_search-card,"AI Engineer

-NOTE this position requires working hours in PST!




Core Responsibilities:

AI Model Development: Design, develop, and implement generative AI models and algorithms, utilizing large language models (LLMs) for applications such as text generation, audio-to-text transcription, and call center insights.
RAG Model Implementation: Design, develop, and deploy Retrieval-Augmented Generation (RAG) models using vector databases, including strategies for embedding, chunking, and indexing to build domain-specific chatbots.
Integration and Coding: Develop Python code and integrate it with AI/ML management frameworks such as LangChain/LangSmith, Snowflake Cortex, OpenAI, and Azure AI Studio.
Design and Planning: Create high-level and detailed design plans for AI and ML solutions, selecting suitable algorithms, data sources, infrastructure, and technologies that align with organizational goals.
Data Preparation: Preprocess and curate text data, including cleaning, tokenization, and data augmentation, to prepare it for training and model evaluation.
Experimentation and Optimization: Conduct experiments, fine-tune models, and optimize their performance for accuracy and efficiency.
Collaboration and Solutioning: Work with cross-functional teams to identify key business areas where AI can drive significant benefits and ensure the delivery of high-quality, scalable, and efficient solutions.
Deployment and Monitoring: Deploy AI solutions to production environments, ensure their stability, and continuously monitor performance for improvements.
Upgradation and Mentorship: Stay updated with advancements in AI technology, upgrade existing solutions, and mentor junior team members.
Code Quality and Best Practices: Participate in code reviews, ensure adherence to high-quality code standards, and follow best practices in data privacy and security.




Experience:

Minimum of 4 years in AI engineering or related roles.
3+ years developing AI/ML solutions on platforms like AWS, Azure, OpenAI, Databricks, Snowflake, etc.
Experience with generative AI, including advanced prompting techniques and model fine-tuning.
Hands-on experience with Deep Learning, LLMs, Python, TensorFlow, PyTorch, and other AI frameworks.
Familiarity with evaluation frameworks for Generative AI, such as RAGAs and TruLens.
Proven experience in taking GenAI projects from development to production.

Show more "
Data Scientist - NLP and ML,Zyxware Technologies,United States,2024-08-27,https://www.linkedin.com/jobs/view/data-scientist-nlp-and-ml-at-zyxware-technologies-4008474136?position=16&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=QDoKTQuPOvf1GTNlHSgy2g%3D%3D&trk=public_jobs_jserp-result_search-card,"Title: Data Scientist - NLP and ML

Location: USA, Remote

Contract: 4+ Months




Primary Skill: NLP and ML

Secondary Skill: GenAI




As a data scientist on our team, you will work on new product development in a small team environment writing production code in both run-time and build-time environments. You will help propose and build data-driven solutions for high-value customer problems by discovering, extracting, and modeling knowledge from large-scale natural language datasets including matter and contract repository, invoice/legal spend data and work management. You will prototype new ideas, collaborating with other data scientists as well as product designers, data engineers, front-end developers, and a team of expert legal data annotators. You will get the experience of working in a start-up culture with the large datasets and many other resources of an established company.




RESPONSIBILITIES

Develop and implement LLM-based applications tailored for in-house legal
Fine-tune and deploy large language models to enhance their performance on legal text processing tasks
Evaluate and help maintain our data assets and training/evaluation data sets
Design and build pipelines for preprocessing, annotating, and managing legal document datasets
Collaborate with legal experts to understand requirements and ensure models meet domain-specific needs
Conduct experiments and evaluate model performance to drive continuous improvements
Interface with other technical personnel or team members to finalize requirements.
Work closely with other development team members to understand moderately complex product requirements and translate them into software designs.
Successfully implement development processes, coding best practices, and code reviews for production environments.




REQUIREMENTS

Formal training in machine learning: dimensionality reduction, clustering, embeddings, and sequence classification algorithms
Experience with deep learning frameworks such as PyTorch, Tensorflow and Hugging Face Transformers.
Practical experience in Natural Language Processing methods and libraries such as spaCy, word2vec, TensorFlow, Keras, PyTorch, Flair, BERT
Practical experience with large language models, prompt engineering, fine-tuning and benchmarking, using frameworks such as LangChain and LlamaIndex
Strong Python background
Knowledge of AWS, GCP, Azure, or other cloud platform
Understanding of data modeling principles and complex data models.
Proficiency with relational and NoSQL databases as well as vector stores (e.g., Postgres, Elasticsearch/OpenSearch, ChromaDB)
Knowledge of Scala, Spark, Ray, or other distributed computing systems highly preferred
Knowledge of API development, containerization, and machine learning deployment highly preferred
Experience with ML Ops/AI Ops highly preferred




PREFERRED QUALIFICATIONS

MS in Data Science, Computer Science, Statistics, Machine Learning, or related field
2+ years of relevant work experience Or undergraduate degree in relevant field and 4+ years of relevant work experience

Show more "
Artificial Intelligence Developer,"BLH Technologies, Inc.",United States,2024-08-19,https://www.linkedin.com/jobs/view/artificial-intelligence-developer-at-blh-technologies-inc-4003507009?position=18&pageNum=0&refId=2NIsH0xC6FCLtvsF8%2FwsPw%3D%3D&trackingId=jK33mCmIgOvFKahPxndi1g%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description

BLH Technologies, Inc., an award-winning company specializing in public health, communications, technology, and safety monitoring solutions for federal and commercial clients, is seeking an Artificial Intelligence Developer to support federal clients, including those within the National Institutes of Health (NIH). The desired staff member will work in cooperation with our BLH team and government clients to develop cloud-based systems for biomedical research repositories.

Key Responsibilities:


Model Development: Design, develop, and test AI models
Experimentation: Experiment with various AI technologies, including private, open-sourced, and domain-specific language models, to identify the best-fit solutions.
Application Development: Develop stand-alone applications based on validated AI models. Ensure scalability and ease of deployment.
Continuous Learning: Stay updated with the latest advancements in AI and incorporate new techniques and methodologies into the project.
Collaboration: Work closely with project managers, coordinators, and other team members to ensure project alignment and successful delivery.


Qualifications:


Master’s degree in Computer Science, Artificial Intelligence, Data Science, or a related field. Master’s degree preferred.
5+ years of experience with data science, ML engineering, data analytics, or AI.
5+ years of experience with an object-oriented language.
Experience with AWS or Azure cloud technologies.
Experience with GenAI and LLM tools and frameworks.
Experience with data science projects in NLP, generative AI, or deep learning focus.
Experience with building data science and AI or ML solutions that support enterprise operational business and mission use cases.
Experience with modern Cloud containerization computing technologies and CI/CD, including Docker or Kubernetes.
Proficiency in programming languages such as Python, R, or Java. Strong analytical and problem-solving skills.
Ability to design environments that support MLOps pipelines by creating architecture diagrams, process flows, selecting appropriate tooling, and deploying the solution.
Experience with LangChain, AutoGPT, AgentGPT, or similar tools.
Experience with GPU programming, including CUDA, ROCm or RAPIDs.
Experience deploying RAG architectures using open source LLMs.
Knowledge of the latest emerging LLM and GenAI tools and frameworks.


Preferred Qualifications:


Experience supporting Federal programs, specifically NIH.


Company Description

BLH Technologies, Inc., an award-winning company specializing in communications, information technology, and safety monitoring solutions for Federal and commercial clients.

BLH Technologies, Inc., an award-winning company specializing in communications, information technology, and safety monitoring solutions for Federal and commercial clients.
Show more "
