title,company,location,date,link,description
AI/ML Engineer,Ikigai,United States,2024-08-30,https://www.linkedin.com/jobs/view/ai-ml-engineer-at-ikigai-4011610801?position=1&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=tw%2FqovRYQJK92J1%2Ft6SP6w%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description

The Ikigai platform unlocks the power of generative AI for tabular data. We enable business users to connect disparate data, leverage no-code AI/ML, and build enterprise-wide AI apps in just a few clicks. Ikigai is built on top of its three proprietary foundation blocks developed from years of MIT research - aiMatch, for data reconciliation, aiCast, for prediction, and aiPlan, for scenario planning and optimization. Our platform enables eXpert-in-The-Loop (XiTL) for model reinforcement learning and refinement, at scale.

With a combination of enterprise expertise and deep research in the field of AI, Ikigai Labs helps scale enterprises with AI by solving data engineering and modeling problems for business users and data scientists alike. Our unique ability to unlock value in tabular and time series data through AI-powered data harmonization, forecasting, dynamic learning and planning, is our Ikigai, our purpose in the world of AI.

As an AI/ML Engineer at Ikigai Labs, you will be part of a high-performing team responsible for optimizing and deploying ML solutions to maximize performance and scalability. We seek a dynamic and passionate engineer with strong software fundamentals and a keen interest in collaborative problem-solving.

Key Responsibilities


ML Optimization and Deployment: Develop and deploy machine learning models for optimal performance and scalability.
Productivity Tools Development: Build tools and services to enhance the ML platform, utilizing technologies like Kubernetes, Helm, and EKS.
Model Architecture: Apply a strong understanding of deep learning architectures (CNNs, RNNs, etc.) to solve complex problems.
Research Adaptation: Stay abreast of recent ML and deep learning literature and adapt findings to real-world applications.
Collaborative Development: Work with cross-functional teams to integrate AI and ML solutions that drive business value.
Data Handling: Manage large datasets and build ML pipelines for data processing and training.
ETL/ELT Processes: Design and develop scalable data integration processes.
Predictive Modeling Platform: Develop an on-demand predictive modeling platform using gRPC.
Cloud and Containerization: Utilize Kubernetes for managing Docker containers and various cloud services (AWS, Azure) to solve cloud-native challenges.
Stakeholder Management: Provide occasional support to our customer success team.


Technologies We Use


Languages: Python3, C++, Rust, SQL
Frameworks: PyTorch, TensorFlow, Docker
Databases: Postgres, Elasticsearch, DynamoDB, RDS
Cloud: Kubernetes, Helm, EKS, Terraform, AWS
Data Engineering: Apache Arrow, Dremio, Ray
Miscellaneous: Git, Jupyterhub, Apache Superset, Plotly Dash


Qualifications


Bachelor’s degree in Computer Science, Math, Engineering, or related field (Master's preferred) with 2+ years of experience.
Strong understanding of data structures, data modeling, algorithms, and software architecture.
Proficient in probability, statistics, and algorithm development.
Hands-on experience with ML and deep learning libraries (Scikit Learn, Keras, TensorFlow, PyTorch, Theano, DyLib).
(Bonus) Experience with big data and distributed computing (Hadoop, MapReduce, Spark, Storm).
Proficiency in Python, AWS services, and ETL/ELT pipelines.
Understanding of key software design principles, design patterns, and testing best practices.
Experience with Kubernetes and/or EKS is a plus.
Ability to learn quickly in a fast-paced, agile environment.
Excellent organizational, time management, and communication skills.
Willingness to engage in pair programming, share knowledge, and provide and receive constructive feedback.
Strong problem-solving skills and the ability to take initiative.


Equal Opportunity Employment

Ikigai Labs is committed to equal employment opportunity and non-discrimination for all employees and qualified applicants. We value diversity and are dedicated to fostering an inclusive environment for all employees, regardless of race, color, sex, gender identity or expression, age, religion, national origin, ancestry, citizenship, disability, military or veteran status, genetic information, sexual orientation, marital status, or any other characteristic protected under applicable law.

If you are passionate about machine learning and eager to make an impact, we would love to hear from you. Apply today to join the Ikigai Labs team and help us build the future of AI.
Show more "
AI/ML,HireKeyz Inc,United States,2024-08-26,https://www.linkedin.com/jobs/view/ai-ml-at-hirekeyz-inc-4010711317?position=2&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=UZKmfZTP3hqyQDFkHaaWiQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Role: AI/ML

Location: Jersey City, NJ

Type: Fulltime/C2C/W2

Responsibilities


Develop and implement AI/ML models and algorithms to solve business problems.
Collaborate with cross-functional teams to understand requirements and translate them into technical solutions.
Train and evaluate AI/ML models using large datasets.
Train and evaluate AI/ML models to help design test cases , automate coding , design self healing codes , predict defects, identify optimized regression cases, etc.
Apply advanced statistical and ML techniques, including predictive modeling, time series analysis, and optimization algorithms, to extract insights from complex data sets.
Optimize and fine-tune AI/ML models for performance and accuracy.
Design and develop data pipelines to preprocess and transform data for AI/ML models.
Continuous Learning: Stay updated with the latest trends and advancements in data science, machine learning, and related fields, and actively seek opportunities to enhance skills and knowledge.


Requirements


Bachelor's or Master's degree in Computer Science, Engineering, or a related field.
6-9 years of demonstrated experience in applied AI/ML engineering.
Strong programming skills in Python, with experience in developing and maintaining production-level code.
Proficiency in working with large datasets and data preprocessing.
Solid understanding of Software Testing and SRE practices
Solid understanding of AI/ML algorithms and techniques, including deep learning, time series forecasting and natural language processing.
Experience with cloud platforms, such as AWS for deploying and scaling AI/ML models.
Strong problem-solving and analytical skills.
Excellent communication and collaboration skills.
Knowledge of infrastructure operations


Preferred Qualifications


Experience in backend development, including databases (SQL/NoSQL/Graph), programming languages (Python/Java/Node.js), web frameworks, APIs, and microservices and possess front-end development skills, including HTML, CSS, and JavaScript
Experience in Automated software testing and Test Automation Frameworks
Knowledge of large language models (LLMs) , Generative AI and accompanying toolsets the LLM ecosystem (e.g. Langchain, Vector databases, CHATGPT)
Assess and choose suitable LLM tools and models for diverse tasks including but not limited to curating custom datasets and fine-tune LLM with a focus on parameter-efficient, mixture-of-expert, and instruction methods designing and developing advanced LLM prompts, Retrieval-Augmented Generation (RAG) solutions, and Intelligent agents for the LLMs and executing experiments to push the capability limits of LLM models and enhance their dependability.
Show more "
Akan Transcribers (Remote),Sigma AI,United States,2024-08-21,https://www.linkedin.com/jobs/view/akan-transcribers-remote-at-sigma-ai-4004366801?position=4&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=hl%2BFihiegmzhORDrSHmmvQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Sigma.AI is a world leading technology company in data collection and annotation for the development of Artificial Intelligence systems with offices in Spain, the United States and the United Kingdom.

Akan tanscribers are needed for a transcription project. This project will have a short duration. This is a flexible task that is to be completed through an online application, available 24/7.

Requirements:


Native level of speaking, writing and listening in Akan.
Intermediate level of English or Spanish.
Computer skills at user level.


The following will be valued:


Experience in rating or data annotation.
Attention to detail.
Show more "
Data Scientist,Picarro,United States,2024-08-28,https://www.linkedin.com/jobs/view/data-scientist-at-picarro-4011744701?position=5&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=fzpd87PQgAvVXN6dK9l2dw%3D%3D&trk=public_jobs_jserp-result_search-card,"Role Summary:

We are seeking a Data Scientist to help drive the development of the next generation of laser-based analytical instrumentation capable of high precision, high accuracy molecular analysis of complex gas mixtures. The Data Scientist will be responsible for analyzing large amounts of real-world customer data, and for helping to develop the advanced spectroscopic analysis algorithms and software tools that will be deployed on our instruments worldwide. We are looking for an innovative data scientist with extensive data analysis and data modeling experience; who understands the challenges of collecting and interpreting spectroscopic data; who is adept at managing, analyzing, and displaying large amounts of scientific data; and who can develop a deep understanding of Picarro's core CRDS technology. The ideal candidate combines a deep competence in machine learning and statistical analysis with a firm grounding in physical modeling and first-principles analysis.

You will:


Assess the effectiveness of current algorithms using batch processing frameworks, Jupyter notebooks, and Python scripts.
Discover relationships between real-world data and algorithm outputs to better understand our instruments.
Work on new algorithms based on application and analytical needs.
Assist in maintaining and troubleshooting our notebook templates.
Contribute to our analytical repositories to maintain data visualization and curation, and algorithms.
Summarize large sets of batch processing results for digestible and actionable discovery.


Must-have qualifications:


S., Ph.D. preferred in Physics, Applied Physics, Chemistry, Engineering, Mathematics, Computer Science, or related field.
2+ years of python programming required.
5+ years of data science and analytics experience required.
Experience with NumPy, scipy, sklearn, pandas and jupyter required.
Experience with HPC preferred (Ray, SLURM, Dagster, Airflow, other)
Understanding of physical or chemical modeling, especially spectroscopic analysis, is preferred.
Expertise in Scientific Data Analysis and Visualization is required.
Experience in the application of machine learning techniques to physical systems is desirable.
Experience with Xarray a bonus.
Ability to manage, process, and visualize large amounts of scientific data quickly.
Independently Motivated / Technical Leader.
Able to communicate effectively, both verbally and in writing, to a diverse range of audiences (peers, staff, management, collaborators, etc.) and skill levels (novice to expert).




Salary & Benefits:

The base salary range for this full-time position is $150,000 -160,000. Your base salary range and title will be determined based on the location, experience, qualification, skills, knowledge, level, and pay of employees in similar positions.


Medical, Dental, and Vision insurance
Flexible Spending Account (FSA) and Health Savings Account (HSA) plans
Life, Short-Term Disability, and Long-Term Disability Insurance
Paid Time Off and Paid Holidays
Employee Referral Program
401K
Social events (summer picnic, holiday party, team lunches, etc.)
On-site Health & Wellness programs (fitness challenges, outdoor bootcamp, flu-shots, etc.)


About Picarro:

We are the world's leader in timely, trusted, and actionable data using enhanced optical spectroscopy. Our solutions are used in a wide variety of applications, including natural gas leak detection, ethylene oxide emissions monitoring, semiconductor fabrication, pharmaceutical, petrochemical, atmospheric science, air quality, greenhouse gas measurements, food safety, hydrology, ecology, and more. Our software and hardware are designed and manufactured in Santa Clara, California and are used in over 90 countries worldwide based on over 65 patents related to cavity ring-down spectroscopy (CRDS) technology and are unparalleled in their precision, ease of use, and reliability.

All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, national origin, protected veteran status, gender identity, social orientation, nor on the basis of disability. Posted positions are not open to third-party recruiters/agencies and unsolicited resume submissions will be considered free referrals.

If you are an individual with a disability and require reasonable accommodation to complete any part of the application process or are limited in the ability or unable to access or use this online application process and need an alternative method for applying, you may contact Picarro, Inc. at disabilityassistance@picarro.com for assistance.


Show more "
Junior Data Scientist,GA Telesis,United States,2024-08-27,https://www.linkedin.com/jobs/view/junior-data-scientist-at-ga-telesis-4009472027?position=6&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=W0PHkmumGMJ1V0J4LEN8uQ%3D%3D&trk=public_jobs_jserp-result_search-card,"GA Telesis is a global leader providing integrated solutions to the aviation and aerospace industries. We serve over 3,000 customers, including airlines, original equipment manufacturers, maintenance, repair, and overhaul (MRO) providers, and suppliers worldwide, with 31 leasing, sales, distribution, and MRO operations in 19 countries. The GA Telesis Ecosystem™ concept is core to our providing integrated aviation solutions to our global customers.

We are seeking a motivated and analytical Junior Data Scientist to join our dynamic team. As a Junior Data Scientist, you will work closely with our data scientists, data analysts and cross-functional teams to analyze data, build models, and generate insights that drive business decisions. This is an excellent opportunity for someone looking to expand their data science career and to develop their skills in a supportive and innovative environment.

Responsibilities


Data Analysis and Exploration:
Collect, clean, and preprocess data from various sources.
Perform exploratory data analysis (EDA) to uncover trends, patterns, and insights.
Visualize data using tools such as Matplotlib to communicate findings to stakeholders.
Model Development:
Assist in building, testing, and validating machine learning models under the guidance of our data scientist.
Implement statistical and machine learning algorithms using Python, R, or similar programming languages.
Participate in the optimization and fine-tuning of models to improve performance.
Data Reporting and Visualization:
Create reports and dashboards to present data insights to non-technical stakeholders.
Collaborate with data engineering and IT teams to integrate data solutions into production environments.
Support the automation of data pipelines and workflows.
Collaboration and Communication:
Work closely with cross-functional teams, including product management, marketing, and engineering, to understand business needs and deliver data-driven solutions.
Participate in team meetings, contribute to project planning, and provide regular updates on progress.
Continuous Learning and Development:
Stay updated with the latest trends and advancements in data science, machine learning, and AI.
Take part in training sessions, workshops, and conferences to enhance skills and knowledge.
Qualifications:


Education:
Required: technical undergraduate degree: Physics, Mathematics, Engineering, Statistics, Computer Science, etc.
3 to 5 years experience in data science
Relevant certifications in data science or machine learning are a plus.
Technical Skills:
Proficiency in programming languages such as Python, R, or SQL.
Familiarity with data analysis libraries (e.g., Pandas, NumPy) and machine learning frameworks (e.g., Scikit-learn, TensorFlow).
Basic understanding of statistical analysis, hypothesis testing, and data modeling.
Experience with data visualization tools like Matplotlib or Tableau.
Experience working with cloud platforms (e.g., AWS, GCP, Azure).
Analytical Skills:
Strong problem-solving skills with the ability to analyze complex data sets and derive actionable insights.
Attention to detail and a commitment to producing high-quality work.
Communication Skills:
Ability to communicate technical information to non-technical audiences.
Ability to present findings in a clear concise way to management.
Show more "
Data Scientist - New Grad (2025 Start),Databricks,United States,2024-08-13,https://www.linkedin.com/jobs/view/data-scientist-new-grad-2025-start-at-databricks-3998849990?position=8&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=gUONcxWrb8WZaorQkvEgbA%3D%3D&trk=public_jobs_jserp-result_search-card,"At Databricks, we are passionate about helping data teams solve the world's toughest problems — from making the next mode of transportation a reality to accelerating the development of medical breakthroughs. We do this by building and running the world's best data and AI infrastructure platform so our customers can use deep data insights to improve their business.

As a Data Scientist, you will join the Data team of data scientists and engineers to turn Databricks business and operations data into insights for product design, strategies for customer acquisition/retention, and optimizations to engineering system efficiency/stability/performance. The Data team also functions as an internal ""customer"" that dogfoods the Databricks platform and drives product improvements.

We are hiring for the Mountain View, CA office. We will discuss more with you as you move through the process!

The Impact You Will Have


Work with the Data team and cross-functional stakeholders (Product, Customer Success, Engineering, Sales, Marketing and Finance) to use data to solve problems
Apply your expertise in data science methodologies to real data to deliver insights and/or deploy algorithms to the Databricks platform
Manage your own project end-to-end from requirements gathering, data exploration to presenting insights to stakeholders and/or deployment an algorithm in a production environment


What We Look For


You will have graduated in December 2024 or Spring 2025 with a Master's or PhD degree in a quantitative field (e.g., Statistics, Math, Computer Science, Physics, Economics, Operational Research or Engineering) and are looking to start immediately.
Proven ability to work with data in SQL and Python
Experience with multiple statistical data analysis and machine learning methods such as generalized linear regression, regression and classification trees, unsupervised learning methods, causal inference, stochastic processes, time series forecasting
You are excited to solve ambiguous problems with a collaborative team


Benefits


Comprehensive health coverage including medical, dental, and vision
401(k) Plan
Equity awards
Flexible time off
Paid parental leave
Family Planning
Gym reimbursement
Annual personal development fund
Work headphones reimbursement
Employee Assistance Program (EAP)
Business travel accident insurance


Pay Range Transparency

Databricks is committed to fair and equitable compensation practices. The pay range(s) for this role is listed below and represents base salary range for non-commissionable roles or on-target earnings for commissionable roles. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to job-related skills, depth of experience, relevant certifications and training, and specific work location. Based on the factors above, Databricks utilizes the full width of the range. The total compensation package for this position may also include eligibility for annual performance bonus, equity, and the benefits listed above. For more information regarding which range your location is in visit our page here.

Local Pay Range

$140,000—$150,000 USD

About Databricks

Databricks is the data and AI company. More than 10,000 organizations worldwide — including Comcast, Condé Nast, Grammarly, and over 50% of the Fortune 500 — rely on the Databricks Data Intelligence Platform to unify and democratize data, analytics and AI. Databricks is headquartered in San Francisco, with offices around the globe and was founded by the original creators of Lakehouse, Apache Spark™, Delta Lake and MLflow. To learn more, follow Databricks on Twitter, LinkedIn and Facebook.

Our Commitment to Diversity and Inclusion

At Databricks, we are committed to fostering a diverse and inclusive culture where everyone can excel. We take great care to ensure that our hiring practices are inclusive and meet equal employment opportunity standards. Individuals looking for employment at Databricks are considered without regard to age, color, disability, ethnicity, family or marital status, gender identity or expression, language, national origin, physical and mental ability, political affiliation, race, religion, sexual orientation, socio-economic status, veteran status, and other protected characteristics.

Compliance

If access to export-controlled technology or source code is required for performance of job duties, it is within Employer's discretion whether to apply for a U.S. government license for such positions, and Employer may decline to proceed with an applicant on this basis alone.
Show more "
Python ML Engineer,"Donato Technologies, Inc.",United States,2024-08-09,https://www.linkedin.com/jobs/view/python-ml-engineer-at-donato-technologies-inc-3997353128?position=9&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=iLaojvtpHDF3N2VQmPPgYg%3D%3D&trk=public_jobs_jserp-result_search-card,"Local to Phoenix, AZ

JD And Required Skills

Extensive experience setting up and maintaining automated CICD pipelines


Strong hands-on experience with Python and web services
Preferred: Jenkins,Github, GitActions, Pipelines
Strong understanding of following frameworks:
Docker
Deployments on Cloud infrastructure
Jenkins
SonarQube
SSL Certificate management
Experience with GPU infrastructure(preferred)
Nvidia Packages and Drivers
Fluent in operations on Linux Operating System
Comfortable leading maintenance and patching activities on Linux-based VMs
Self-driven individual (self-starter) with a passion for continually pushing automation in CICD and infrastructure management
Able to work closely with application developers, but also comfortable working individually with external dependency teams as needed
Great at managing and keeping track of work and follow-ups
Nice to haves:
Amex CI/CD/CT exposure
Basic Machine Learning knowledge
Show more "
Data Scientist,Ambit Inc.,United States,2024-08-13,https://www.linkedin.com/jobs/view/data-scientist-at-ambit-inc-3999978143?position=10&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=cEASdhrEO%2FTte0fGn472gQ%3D%3D&trk=public_jobs_jserp-result_search-card,"About Ambit:

Ambit is a healthcare technology and services company that provides data, analytics, consulting, and platform-based offerings to biopharma companies with a focus on rare and specialty diseases. Ambit capabilities include the areas of Strategy, Digital, Analytics, Digital Transformation, and Patient Identification & Activation.

About Ambit Leadership:

Ambit is led by a team of entrepreneurs with decades of rare and specialty disease experience and a passion to deliver data-driven innovation for our Biopharma partners.

Overview:

At Ambit we are on a mission to transform the world of rare and specialty disease. We are looking for people who excel in their work and are able to manage ambiguity with resourcefulness and creativity. Our core values are:


Set high standards
Deliver on ambitious goals
Be relentless and innovative
Be responsible and trusted


As a Data Scientist, you will:


Work directly with company leadership to solve critical, interesting analytics problems.
Use advanced analytics techniques for clustering and classification in highly dimensional databases.
Apply your coding, modeling and critical thinking skills to personally deliver analyses that will drive key business insights.
Import, clean, manipulate and analyze large volumes of data to help evaluate and solve critical business questions using SQL, SAS, and other tools.
Communicate findings from your analysis to internal team members and use your findings to support critical strategic decisions.


Qualifications


An ideal candidate will have a master's degree with 1-2 years of relevant work experience using healthcare patient and HCP-level data sources
Ability to manipulate data in SQL, SAS, R, or Python
Experience in cloud-based platforms (e.g. Snowflake, AWS, Azure)
Experience in data visualization is a plus (e.g. Power BI, Tableau, D3.js, Qlik Sense, HTML/JavaScrip)
Knowledge of any of the following: Natural Language Processing & Text Mining, Experimental Design, Bayesian Networks, Network/Graph Mining
Candidates with other expertise in analytics areas (e.g. data engineering, social listening, simulation and optimization) are welcome to apply.


Qualities that we seek:

In addition to strong educational background and relevant work experience, we evaluate the following:


Problem solving abilities
Attention to detail
Communication skills
Organization and planning skills
Interested in growing and taking on additional responsibilities as part of a fast-paced entrepreneurial work environment
Work ethic


We treat our team right: 

Competitive compensation is just the beginning. As part of our team, you can expect:


An early-stage growth company filled with passionate and fun teammates, dedicated to changing every life touched by rare disease
Flexible vacation policy with company wide shutdowns to unplug, rest, and recharge
401(k) (full-time employees)
Medical, dental, vision & disability insurance (full-time employees)
Parental leave (full-time employees)
Show more "
Data Scientist,HatchPros,United States,2024-08-23,https://www.linkedin.com/jobs/view/data-scientist-at-hatchpros-4008677090?position=11&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=moU4SZkTUJ1ibpYLa%2Bgo5g%3D%3D&trk=public_jobs_jserp-result_search-card,"Video

REmote

USC or GC

central or eastern time zone only

Pricing experience

Education


Bachelor’s or Master’s degree in Data Science, Computer Science, Statistics, Mathematics, or a related field.


Experience


Exploratory Data Analysis (EDA):
Proficiency in performing EDA to understand data characteristics and identify patterns, trends, and anomalies.
Experience in data cleaning, data preprocessing, and dealing with missing or inconsistent data.
Machine Learning Model Building:
Proven experience in developing, training, and validating machine learning models for various applications.
Strong understanding of supervised and unsupervised learning algorithms, including regression, classification, clustering, and dimensionality reduction.
Experience in time series forecasting, anomaly detection, and natural language processing is a plus.
Programming Skills:
Proficiency in Python programming, with a deep understanding of data structures, algorithms, and object-oriented programming.
Experience with Python-based data science and machine learning libraries such as NumPy, Pandas, Scikit-learn, TensorFlow, Keras, and PyTorch.
Experience with SQL for database querying and data manipulation.
Feature Engineering:
Expertise in creating new features from raw data to improve model performance.
Knowledge of feature selection techniques to reduce dimensionality and prevent overfitting.
Data Visualization:
Ability to create insightful and interactive visualizations to communicate data findings and model results.
Proficiency with data visualization tools such as Matplotlib, Seaborn, Plotly, or Tableau.


Preferred Experience


Experience with deep learning techniques and frameworks such as TensorFlow and PyTorch.
Familiarity with MLOps practices and tools for continuous integration, delivery, and monitoring of machine learning models.
Previous experience in industries such as safety, compliance, or engineering is a plus.
Show more "
Data Scientist,Digital Janet,United States,2024-08-02,https://www.linkedin.com/jobs/view/data-scientist-at-digital-janet-3991566909?position=13&pageNum=0&refId=21xrSUtOi8eTUGU%2B0%2BIP4g%3D%3D&trackingId=K767TpeqAHzlAgvZnup9Pg%3D%3D&trk=public_jobs_jserp-result_search-card,"Responsibilities


Collect, process, and analyze large datasets to identify trends and insights.
Develop predictive models and machine-learning algorithms.
Prepare comprehensive reports and visualizations to communicate findings.
Collaborate with cross-functional teams to define data requirements and drive data-driven decisions.
Stay updated with the latest data science techniques and technologies.


Qualifications


Bachelor’s or Master’s degree in Data Science, Statistics, Computer Science, or a related field.
Proven experience as a Data Scientist.
Proficiency in programming languages such as Python or R.
Strong knowledge of statistical methods and machine-learning techniques.
Excellent problem-solving skills and attention to detail.
Ability to work independently and manage multiple projects.
Show more "
