title,company,location,date,link,description
Gen AI Lead Performance Engineer,Wise Skulls,United States,2024-08-09,https://www.linkedin.com/jobs/view/gen-ai-lead-performance-engineer-at-wise-skulls-3997381520?position=1&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=copSvMXEvN8QBT9EO%2FY7PA%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Title: Gen AI Lead Performance Engineer

Location: Bay Area, CA; Charlottte, NC (On-site)

Duration: 6+ Months

Implementation Partner: Infosys

End Client: To be disclosed

Jd


2+ years of designing, developing, testing, optimizing python microservices using FASTAPI, FLASK, DJANGO.
5+ years of Performance Center/Load runner, Blaze meter or JMeter
2+ years of designing, developing, testing, optimizing python microservices using gRPC
3+ years of Linux experience
2+ years of Service virtualization (SV) experience with DevTest and/or other SV tools
2+ years of experience with monitoring tools – AppD, Elastic, Grafana, Splunk
Hands-on MLOps / LLMOps Experience
Solid understanding and development experience with of python
Solid understanding of ML and DL Models


Key Responsibilities


Lead multiple AI-ML/LLMs platforms/applications for performance engineering/testing and Chaos Engineering.
Conduct performance testing on Python microservices (RESTful and gRPC) for AI-ML platforms to ensure scalability, resilience and efficiency.
Identify and propose solutions for performance bottle necks on Python microservices (RESTful and gRPC) considering platform limitations, throughput, and interservice overhead.
Optimize the performance of python microservices (RESTful and gRPC) across the platform
Work with key partners and stakeholders in understanding performance requirements and mapping them to testing requirements by creating the test plan.
Act as an industry expert and go to person for all supported application’s performance analysis and recognized as an expert on various performance management and analysis tools such as Load runner, Dev Test, AppD , Elastic, Harness, Jenkins.
Partner and lead the key performance metrics, bottlenecks and obtain the buy in from key stakeholders.
Looking beyond current performance management practices and leading and mentoring the team to ensure bug free and one of the best customer experiences for AI/ML platforms.
Drive performance analytics capability using Elastic, Splunk and other tools for quick resolutions.
Show more "
Applied AI Engineer,ComplexChaos,United States,2024-08-21,https://www.linkedin.com/jobs/view/applied-ai-engineer-at-complexchaos-4007050098?position=2&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=ZwSWKCPLWqhYcc2E%2BSQTEw%3D%3D&trk=public_jobs_jserp-result_search-card,"ComplexChaos is on a mission to help humanity cooperate at scale.

We are a pre-seed startup funded by Village Global (a VC chaired by Reid Hoffman and backed by Jeff Bezos, Bill Gates, and more) and angels including founder/CEO at OpenGov, Google's former Director of Security, and the founders of Mural, Pactum AI, WhatsApp, and others. Some of our advisors are former SVPs of Workday, Symantec, Visa, VMWare, Box, etc.

Alright, let's get into it! ComplexChaos is not just another startup on the block. Oh no, darling, we're here with a grand mission to use AI to help humanity come together and tackle those head-scratchingly complex problems. Sounds like a superhero comic plot, right? But it's real, and it's happening right here at ComplexChaos.

Calling all AI aficionados! ComplexChaos is on the hunt for a Senior Applied AI Engineer who can weave magic with RAG systems and foundational models. If you're an expert in DevOps and LLMOps principles and want to be a trailblazing member of our team, keep reading. We're all about pushing boundaries and creating AI solutions that deliver real-world impact, and we need your brilliance to make it happen.

What You’ll Be Rocking


Large Language Model System Engineering
Design and build scalable LLM-based architectures that play nice with external data sources and APIs, with a spotlight on RAG systems.
Monitor and optimize system performance, ensuring our clients get the best in class.


LLM Development


Craft intricate LLM workflows using multiple models, data sources, and processing steps.
Implement CI/CD pipelines for swift changes, seamless deployment, and robust monitoring.
Set up and maintain cloud-based infrastructure for LLM applications.
Keep an eagle eye on LLM performance and resource utilization.
Automate testing and QA processes to keep our LLMs sharp and reliable.


Debugging And Quality Assurance


Tackle issues head-on, improving LLM performance, cost efficiency, accuracy, and reliability.
Use data analysis and experimentation to continuously fine-tune our systems.
Cross-Functional Collaboration:
Work hand-in-hand with product managers, engineers, and other stakeholders to gather requirements and deliver impactful solutions.


Your Superpowers


Mastery of LLM frameworks, especially with a focus on RAG (e.g., LLamaIndex, Langchain).
Experience with Large Language Models (e.g., GPT-3, GPT-4, PaLM) and their APIs.
Proven prowess in system design and building/deploying LLM-based applications.
DevOps and LLMOps expertise, including CI/CD pipelines, cloud platforms, and monitoring tools.


Our Tech Playground


Frontend: VueJS, tailwind-ui, firebase auth, hosted on Vercel.
Backend: Node, Express, Prisma, Postgres, hosted on Heroku.


Skills We’re After


AI frameworks: LLMs, NLP (e.g., spaCy), LangChain, Embeddings.
Technologies: Python, Flask, JWT, Postgres, Prisma, Docker, Postman.
Process: Agile Scrum, Git, Pull-Request reviews.


Why You’ll Love Us

Be at the forefront of AI innovation, working on projects that matter.

Join a dynamic, innovative startup environment with passionate and brilliant colleagues.

Enjoy the freedom to shape and drive a key area of our organization, with direct impact on our platform and growth.

At ComplexChaos, diversity isn’t just a buzzword; it’s our heartbeat. We’re crafting an inclusive space where brilliant minds come together to change the game. Ready to dive into a world where your expertise can make a massive impact? Let’s make some AI magic happen together!
Show more "
Full Stack Engineer,INA Solution,United States,2024-08-12,https://www.linkedin.com/jobs/view/full-stack-engineer-at-ina-solution-3996488476?position=3&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=dEvMUl8nWWaXkenKQ4lAKw%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Title: Full Stack Engineer

Location: San Francisco, Bay Area, CA

Position Type: Full-time


About the job
We are searching for an exceptional Full Stack Engineer with leadership flair who wants to play a key role in shaping the current and future capabilities of our product. The right individual is a healthcare enthusiast, keen on using AI to tackle significant challenges in the industry. You will be one of the first engineers to join the Sully.ai team and will work closely with the co-founders daily. You will be responsible for building out the core components of the product, growing and building out the engineering team and taking the product to the next level.
What You’ll Do:
Enhance existing systems and build new ones from scratch by yourself and/or by leading other engineers.
Create new APIs (along with proper documentations) from scratch.
Implement and manage robust security and data protection measures
Map out complex technical processes and cultivate a culture of engineering excellence.
Help identify and recruit top-tier technical talent.
Stay up-to-date with emerging technologies and industry trends to drive innovation
What We’re Looking For:
BS/MS/PhD in CS or a related field.
4+ years’ experience in full-stack software development
A history of building high-quality, well-tested products
DevOps experience and expertise
Experience working on AI/ML applications is a big plus
Previous startup experience, ideally at a Seed/Series A company.
Advanced proficiency in software development methodologies, programming languages, and system architecture.
A strategic mindset to spotlight innovative opportunities. You see a problem that needs fixing and dive right in.
Proven track record of managing multiple projects within a given budget and timelines.
A tech-savvy innovator always aiming to enhance our products and services.
Flexibility to dive into any area of the stack as required.
Excellent leadership skills with the ability to lead by example.


Our Tech Stack


Tech Stack - ReactJS, NodeJS/Express, Bootstrap/Tailwind/Other, NoSQL/SQL, CI/CD, GCP/Azure/AWS
Bonus: Experience with Applied GenAI, LLMOps, LLM evals


Skills: full stack development,ex-founder,react,node.js,aiml
Show more "
Founding Machine Learning Engineer - Gen AI Gaming,Strativ Group,United States,2024-08-03,https://www.linkedin.com/jobs/view/founding-machine-learning-engineer-gen-ai-gaming-at-strativ-group-3992515238?position=4&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=6pjDrsq5lZCyCQL23aGgmg%3D%3D&trk=public_jobs_jserp-result_search-card,"Founding Machine Learning Engineer - Gen AI Gaming




We are currently partnered with an extremely exciting Gaming AI business who are looking to appoint a Founding ML Engineer in the team.




Focusing on AI-native Game Development and Design, the business are led by recognized innovators in the Gaming world; former Execs from the likes of Microsoft, and they are also backed by Sony.




As a Senior ML Engineer, your role will focus on deploying Machine Learning Technology to production, and working closely with the Research team to apply existing algorithms to their product. We are looking for an individual with very strong Engineering skillset who has previously operated software in production.




The business work at the bleeding-edge of Gaming AI and are applying multimodal techniques to advance and shape the future of gaming. A passion for games would be great, and a genuine desire to work at the forefront of Generative AI R&D will also be ideal.




Key skills/experience required:




->> PhD or MS educated

->> 5+ Years' commercial exp in Machine Learning - MUST have exp. building from 0>1 in a successful Tech startup, ideally as a Founding/1st/2nd ML hire

->> Extensive experience shipping ML technology to production

->> Expert-level Python experience

->> Knowledge of LLMs & LLMOps




We are speaking with individuals as a priority for this hire - if you fit the above criteria, please apply ASAP to discuss.

Show more "
Machine Learning Engineer,Alldus,United States,2024-08-20,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-alldus-4005930891?position=5&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=TTis9lsb%2BFGO9wvlgKixTg%3D%3D&trk=public_jobs_jserp-result_search-card,"Our client, an ML-driven startup transforming the gaming industry, are hiring a Machine Learning Engineer to join the team in California. The successful candidate will work closely with the founders, product team and AI research experts to develop, refine and deploy cutting-edge machine learning models to enhance the future of gaming.

Responsibilities


As the ML Engineer, you will design, deploy and roll out machine learning products that meet customer needs, align with company objectives and are technically viable.
You will quickly develop prototypes to test new concepts using foundational models such as OpenAI/GPT.
Develop and sustain machine learning infrastructure for training, fine-tuning models and managing inference pipelines.
Address complex challenges at the convergence of video games and generative AI.


Skillset


PhD or Master’s degree in Computer Science or equivalent.
At least five years of expertise in deep learning, AI/ML frameworks or cloud ML infrastructure.
Deep understanding of machine learning algorithms and techniques.
Experience with LLMs and LLMOps tools (e.g., Langchain, Pinecone, Gantry).
Strong communication and collaboration skills.
A genuine passion for video games and user experience is highly valued.
Publications in leading AI journals and experience with game engines or similar technologies is a bonus.


Benefits


Salary: $100,000 -$175,000 DOE
Equity
Healthcare package


Interested? Apply Now in the link below.

46694
Show more "
Senior Full Stack Developer & Co-Founder at iRocket,PyjamaHR,United States,2024-08-24,https://www.linkedin.com/jobs/view/senior-full-stack-developer-co-founder-at-irocket-at-pyjamahr-4007201959?position=6&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=TFpFzTbYYZO7TmAm6K9Gww%3D%3D&trk=public_jobs_jserp-result_search-card,"We are hiring for our client - iRocket.

Are you passionate about empowering the next generation of innovators through low-code/no-code AI solutions? iRocket is seeking a visionary Senior Full Stack Developer to join as a co-founder in our mission to transform college students into builders of AI applications.

About IRocket

iRocket is an early-stage startup set to revolutionize the intersection of education and AI development. We're creating a cutting-edge low-code/no-code platform that will empower college students to build their own AI applications. Our mission is to democratize AI development, turning students into innovators and fueling the next generation of venture studios. By customizing and extending an advanced open-source LLMOps platform, we're creating a toolkit that bridges the gap between education and real-world AI application development.

The Opportunity

As a Senior Full Stack Developer and Co-Founder at iRocket, you'll play a pivotal role in adapting and enhancing our core open-source platform to create an intuitive, powerful low-code/no-code environment for AI application development. This is a ground-floor opportunity to shape the technical direction of a potentially industry-changing product.

Key Responsibilities


Customize and extend our open-source SaaS platform using Python, Flask, PostgreSQL, and Next.js to create a low-code/no-code environment
Develop user-friendly interfaces and tools that allow students to build AI applications without extensive coding knowledge
Implement features that facilitate the creation of various AI applications, from chatbots to data analysis tools
Ensure the platform is scalable and can support a growing ecosystem of student-built AI apps
Collaborate closely with the founding team to refine and execute the company's vision
Contribute to product strategy and feature prioritization
Build and lead the future technical team as we grow


Required Qualifications


Extensive experience in full stack development, particularly with Python, Flask, PostgreSQL, and Next.js
Strong background in customizing and extending open-source platforms
Experience with or keen interest in low-code/no-code development platforms
Solid understanding of AI and machine learning concepts
Ability to work in a fast-paced, resource-constrained startup environment
Entrepreneurial spirit and willingness to wear multiple hats
Passion for education and democratizing AI development


Preferred Skills


Experience with AI/ML integration in web applications
Familiarity with LLMOps platforms and prompt engineering
Understanding of educational technology or e-learning platforms
Knowledge of startup operations and lean development methodologies


Current State Of IRocket


Pre-revenue stage with core open-source platform identified and initial customizations planned
Founding team consists of visionary CEO and CTO
A growing team of 7 talented individuals already on board
Backed by experienced advisors providing strategic guidance
Investors ready to support our vision
Poised for rapid growth and intensive development
Ready for market entry with your expertise


Compensation


This is an equity-based position with a significant ownership stake in iRocket
No immediate salary, but potential for substantial returns as we secure funding and generate revenue
Opportunity to shape the future of a groundbreaking company from its inception


Why iRocket?


Be a co-founder in a potentially disruptive edtech and AI startup
Work with and enhance cutting-edge open-source technology
Join a dynamic team with strong advisory and investor support
Flexible, remote-first work environment
Potential for significant financial upside as the company grows
Make a lasting impact on the future of education and AI development


I

f you're excited about creating low-code/no-code solutions for AI development, believe in empowering students to become innovators, and have the technical skills to adapt a sophisticated platform for this purpose, we want to hear from you. Join iRocket, and let's revolutionize AI education and application development together!

T

his is more than a job – it's a chance to co-create the future of AI innovation, backed by a strong team and supportive network. Apply now and be part of something extraordinary!

Skills: flask,startup operations,low-code/no-code development,open source platforms,machine learning,lean development methodologies,python,full stack development,postgresql,ai,next.js
Show more "
Senior Full Stack Developer & Co-Founder at iRocket,Finding Candidate,United States,2024-08-24,https://www.linkedin.com/jobs/view/senior-full-stack-developer-co-founder-at-irocket-at-finding-candidate-4006788800?position=7&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=M4LPxbNigEZRg%2FdlNmVEsQ%3D%3D&trk=public_jobs_jserp-result_search-card,"We are hiring for our client - iRocket.

Are you passionate about empowering the next generation of innovators through low-code/no-code AI solutions? iRocket is seeking a visionary Senior Full Stack Developer to join as a co-founder in our mission to transform college students into builders of AI applications.

About IRocket

iRocket is an early-stage startup set to revolutionize the intersection of education and AI development. We're creating a cutting-edge low-code/no-code platform that will empower college students to build their own AI applications. Our mission is to democratize AI development, turning students into innovators and fueling the next generation of venture studios. By customizing and extending an advanced open-source LLMOps platform, we're creating a toolkit that bridges the gap between education and real-world AI application development.

The Opportunity

As a Senior Full Stack Developer and Co-Founder at iRocket, you'll play a pivotal role in adapting and enhancing our core open-source platform to create an intuitive, powerful low-code/no-code environment for AI application development. This is a ground-floor opportunity to shape the technical direction of a potentially industry-changing product.

Key Responsibilities


Customize and extend our open-source SaaS platform using Python, Flask, PostgreSQL, and Next.js to create a low-code/no-code environment
Develop user-friendly interfaces and tools that allow students to build AI applications without extensive coding knowledge
Implement features that facilitate the creation of various AI applications, from chatbots to data analysis tools
Ensure the platform is scalable and can support a growing ecosystem of student-built AI apps
Collaborate closely with the founding team to refine and execute the company's vision
Contribute to product strategy and feature prioritization
Build and lead the future technical team as we grow


Required Qualifications


Extensive experience in full stack development, particularly with Python, Flask, PostgreSQL, and Next.js
Strong background in customizing and extending open-source platforms
Experience with or keen interest in low-code/no-code development platforms
Solid understanding of AI and machine learning concepts
Ability to work in a fast-paced, resource-constrained startup environment
Entrepreneurial spirit and willingness to wear multiple hats
Passion for education and democratizing AI development


Preferred Skills


Experience with AI/ML integration in web applications
Familiarity with LLMOps platforms and prompt engineering
Understanding of educational technology or e-learning platforms
Knowledge of startup operations and lean development methodologies


Current State Of IRocket


Pre-revenue stage with core open-source platform identified and initial customizations planned
Founding team consists of visionary CEO and CTO
A growing team of 7 talented individuals already on board
Backed by experienced advisors providing strategic guidance
Investors ready to support our vision
Poised for rapid growth and intensive development
Ready for market entry with your expertise


Compensation


This is an equity-based position with a significant ownership stake in iRocket
No immediate salary, but potential for substantial returns as we secure funding and generate revenue
Opportunity to shape the future of a groundbreaking company from its inception


Why iRocket?


Be a co-founder in a potentially disruptive edtech and AI startup
Work with and enhance cutting-edge open-source technology
Join a dynamic team with strong advisory and investor support
Flexible, remote-first work environment
Potential for significant financial upside as the company grows
Make a lasting impact on the future of education and AI development


I

f you're excited about creating low-code/no-code solutions for AI development, believe in empowering students to become innovators, and have the technical skills to adapt a sophisticated platform for this purpose, we want to hear from you. Join iRocket, and let's revolutionize AI education and application development together!

T

his is more than a job – it's a chance to co-create the future of AI innovation, backed by a strong team and supportive network. Apply now and be part of something extraordinary!

Skills: flask,startup operations,low-code/no-code development,open source platforms,machine learning,lean development methodologies,python,full stack development,postgresql,ai,next.js
Show more "
Senior Full Stack Developer & Co-Founder at iRocket,Finding Candidate,United States,2024-08-25,https://www.linkedin.com/jobs/view/senior-full-stack-developer-co-founder-at-irocket-at-finding-candidate-4007251884?position=8&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=Xog6keNp0UqlIDsmqToE0g%3D%3D&trk=public_jobs_jserp-result_search-card,"We are hiring for our client - iRocket.

Are you passionate about empowering the next generation of innovators through low-code/no-code AI solutions? iRocket is seeking a visionary Senior Full Stack Developer to join as a co-founder in our mission to transform college students into builders of AI applications.

About IRocket

iRocket is an early-stage startup set to revolutionize the intersection of education and AI development. We're creating a cutting-edge low-code/no-code platform that will empower college students to build their own AI applications. Our mission is to democratize AI development, turning students into innovators and fueling the next generation of venture studios. By customizing and extending an advanced open-source LLMOps platform, we're creating a toolkit that bridges the gap between education and real-world AI application development.

The Opportunity

As a Senior Full Stack Developer and Co-Founder at iRocket, you'll play a pivotal role in adapting and enhancing our core open-source platform to create an intuitive, powerful low-code/no-code environment for AI application development. This is a ground-floor opportunity to shape the technical direction of a potentially industry-changing product.

Key Responsibilities


Customize and extend our open-source SaaS platform using Python, Flask, PostgreSQL, and Next.js to create a low-code/no-code environment
Develop user-friendly interfaces and tools that allow students to build AI applications without extensive coding knowledge
Implement features that facilitate the creation of various AI applications, from chatbots to data analysis tools
Ensure the platform is scalable and can support a growing ecosystem of student-built AI apps
Collaborate closely with the founding team to refine and execute the company's vision
Contribute to product strategy and feature prioritization
Build and lead the future technical team as we grow


Required Qualifications


Extensive experience in full stack development, particularly with Python, Flask, PostgreSQL, and Next.js
Strong background in customizing and extending open-source platforms
Experience with or keen interest in low-code/no-code development platforms
Solid understanding of AI and machine learning concepts
Ability to work in a fast-paced, resource-constrained startup environment
Entrepreneurial spirit and willingness to wear multiple hats
Passion for education and democratizing AI development


Preferred Skills


Experience with AI/ML integration in web applications
Familiarity with LLMOps platforms and prompt engineering
Understanding of educational technology or e-learning platforms
Knowledge of startup operations and lean development methodologies


Current State Of IRocket


Pre-revenue stage with core open-source platform identified and initial customizations planned
Founding team consists of visionary CEO and CTO
A growing team of 7 talented individuals already on board
Backed by experienced advisors providing strategic guidance
Investors ready to support our vision
Poised for rapid growth and intensive development
Ready for market entry with your expertise


Compensation


This is an equity-based position with a significant ownership stake in iRocket
No immediate salary, but potential for substantial returns as we secure funding and generate revenue
Opportunity to shape the future of a groundbreaking company from its inception


Why iRocket?


Be a co-founder in a potentially disruptive edtech and AI startup
Work with and enhance cutting-edge open-source technology
Join a dynamic team with strong advisory and investor support
Flexible, remote-first work environment
Potential for significant financial upside as the company grows
Make a lasting impact on the future of education and AI development


I

f you're excited about creating low-code/no-code solutions for AI development, believe in empowering students to become innovators, and have the technical skills to adapt a sophisticated platform for this purpose, we want to hear from you. Join iRocket, and let's revolutionize AI education and application development together!

T

his is more than a job – it's a chance to co-create the future of AI innovation, backed by a strong team and supportive network. Apply now and be part of something extraordinary!

Skills: flask,startup operations,low-code/no-code development,open source platforms,machine learning,lean development methodologies,python,full stack development,postgresql,ai,next.js
Show more "
Data Engineer,HCL Global Systems Inc,United States,2024-08-20,https://www.linkedin.com/jobs/view/data-engineer-at-hcl-global-systems-inc-4005564502?position=9&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=Ry4qTsBUi4plOSLTf1%2B%2F0w%3D%3D&trk=public_jobs_jserp-result_search-card,"looking for a talented and versatile Java / Python Microservice Data Engineer to join our data engineering team. As a Data Engineer, you will be responsible for designing, developing, and maintaining data pipelines and microservices that facilitate the seamless flow of data across our systems. Your expertise in both Java and Python programming languages will be crucial in building scalable and efficient data solutions. Primary Responsibilities


Strong proficiency in backend Python development, with a strong familiarity with FastAPI and asynchronous programming.
Strong proficiency in cloud-native architecture. Azure experience is preferred but not mandatory.
Strong proficiency in containerization and orchestration using Docker and Kubernetes.
Strong proficiency in DevOps / CI/CD, particularly with GitHub workflows.
Proficiency in at least one JVM language (Java, Kotlin, Scala) and experience in backend development with any web framework such as Spring Boot, Vert.x, Javalin, etc.
Proficiency in Infrastructure as Code (IaC) tools such as Terraform, CloudFormation, Pulumi, or Bicep, with a preference for Terraform.
Proficiency in database technologies, with a preference for Snowflake. Qualifications & Experience "" 6+ Years of experience with Bachelor's / Masters degree in Computer Science, Engineering, or a related field. "" Strong understanding of data modeling, data structures, and algorithms. "" Knowledge of cloud-based data services and platforms (AWS, Azure, GCP) is a plus. "" Understanding of DevOps practices and containerization technologies (Docker, Kubernetes) is advantageous. "" Strong communication skills and ability to work collaboratively in a team-oriented environment. "" Significant experience of designing, deploying, and supporting production cloud environments like Azure and Kubernetes Additional Qualifications
Financial proven experience: Capital markets/Private Equity and/or securities processing
Understanding of cloud-native RBAC models is a plus.
Familiarity with LLM frameworks such as Langchain, Langgraph, Semantic Kernel, OpenAI SDK, is a plus but not required.
Understanding of MLOps, LLMOps is also a plus but not required. Soft Skills:
Has extensive experience working remotely with a global team and possesses excellent communication skills, both verbal and written.
Is a proven problem solver, capable of complete transparency through the RFC, design, and execution phases.
Thrives in a hyper-paced environment. Experience in start-ups, series-A, series-B stages is a huge plus.
Has a strong discipline and foundational understanding of 12-factor app development.
Show more "
Senior Full Stack Developer & Co-Founder at iRocket,PyjamaHR,United States,2024-08-24,https://www.linkedin.com/jobs/view/senior-full-stack-developer-co-founder-at-irocket-at-pyjamahr-4006762439?position=10&pageNum=0&refId=EfqfSSDOIrxIRnFnoATNXg%3D%3D&trackingId=S8%2F1CxeFfggEn4pJPdbi3w%3D%3D&trk=public_jobs_jserp-result_search-card,"We are hiring for our client - iRocket.

Are you passionate about empowering the next generation of innovators through low-code/no-code AI solutions? iRocket is seeking a visionary Senior Full Stack Developer to join as a co-founder in our mission to transform college students into builders of AI applications.

About IRocket

iRocket is an early-stage startup set to revolutionize the intersection of education and AI development. We're creating a cutting-edge low-code/no-code platform that will empower college students to build their own AI applications. Our mission is to democratize AI development, turning students into innovators and fueling the next generation of venture studios. By customizing and extending an advanced open-source LLMOps platform, we're creating a toolkit that bridges the gap between education and real-world AI application development.

The Opportunity

As a Senior Full Stack Developer and Co-Founder at iRocket, you'll play a pivotal role in adapting and enhancing our core open-source platform to create an intuitive, powerful low-code/no-code environment for AI application development. This is a ground-floor opportunity to shape the technical direction of a potentially industry-changing product.

Key Responsibilities


Customize and extend our open-source SaaS platform using Python, Flask, PostgreSQL, and Next.js to create a low-code/no-code environment
Develop user-friendly interfaces and tools that allow students to build AI applications without extensive coding knowledge
Implement features that facilitate the creation of various AI applications, from chatbots to data analysis tools
Ensure the platform is scalable and can support a growing ecosystem of student-built AI apps
Collaborate closely with the founding team to refine and execute the company's vision
Contribute to product strategy and feature prioritization
Build and lead the future technical team as we grow


Required Qualifications


Extensive experience in full stack development, particularly with Python, Flask, PostgreSQL, and Next.js
Strong background in customizing and extending open-source platforms
Experience with or keen interest in low-code/no-code development platforms
Solid understanding of AI and machine learning concepts
Ability to work in a fast-paced, resource-constrained startup environment
Entrepreneurial spirit and willingness to wear multiple hats
Passion for education and democratizing AI development


Preferred Skills


Experience with AI/ML integration in web applications
Familiarity with LLMOps platforms and prompt engineering
Understanding of educational technology or e-learning platforms
Knowledge of startup operations and lean development methodologies


Current State Of IRocket


Pre-revenue stage with core open-source platform identified and initial customizations planned
Founding team consists of visionary CEO and CTO
A growing team of 7 talented individuals already on board
Backed by experienced advisors providing strategic guidance
Investors ready to support our vision
Poised for rapid growth and intensive development
Ready for market entry with your expertise


Compensation


This is an equity-based position with a significant ownership stake in iRocket
No immediate salary, but potential for substantial returns as we secure funding and generate revenue
Opportunity to shape the future of a groundbreaking company from its inception


Why iRocket?


Be a co-founder in a potentially disruptive edtech and AI startup
Work with and enhance cutting-edge open-source technology
Join a dynamic team with strong advisory and investor support
Flexible, remote-first work environment
Potential for significant financial upside as the company grows
Make a lasting impact on the future of education and AI development


I

f you're excited about creating low-code/no-code solutions for AI development, believe in empowering students to become innovators, and have the technical skills to adapt a sophisticated platform for this purpose, we want to hear from you. Join iRocket, and let's revolutionize AI education and application development together!

T

his is more than a job – it's a chance to co-create the future of AI innovation, backed by a strong team and supportive network. Apply now and be part of something extraordinary!

Skills: flask,startup operations,low-code/no-code development,open source platforms,machine learning,lean development methodologies,python,full stack development,postgresql,ai,next.js
Show more "
