title,company,location,date,link,description
MLOps Engineer,Genesis10,United States,2024-08-30,https://www.linkedin.com/jobs/view/mlops-engineer-at-genesis10-4012060572?position=1&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=16j9ViUHpdy8lcW3BhK4cw%3D%3D&trk=public_jobs_jserp-result_search-card,"Genesis10 is seeking a MLOps Engineer for a 3-month contract to hire position with a leading client in Columbus, OH. This role pays $ 50-60 /hour W2 based on experience. Remote work is allowed during contract but will be onsite hybrid once hired and sit in Minneapolis, MN, or Columbus, OH.

Job Description:

As an MLOps Engineer, you will be responsible for the end-to-end productionization and deployment of machine learning models at scale. You will work closely with data scientists to refine models and ensure they are optimized for production. Additionally, you will be responsible for maintaining and improving our MLOps infrastructure, automating deployment pipelines, and ensuring compliance with IT and security standards. You will play a critical role in image management, vulnerability remediation, and the deployment of Client models using modern infrastructure-as-code practices.

Job Duties:


Vulnerability Remediation & Image Management:
Manage and update Docker images, ensuring they are secure and optimized.
Collaborate with data scientists to validate that models run effectively on updated images.
Address security vulnerabilities by updating and patching Docker images.
AWS & Terraform Expertise:
Deploy, manage, and scale AWS services (SageMaker, S3, Lambda) using Terraform.
Automate the spin-up and spin-down of AWS infrastructure using Terraform scripts.
Monitor and optimize AWS resources to ensure cost-effectiveness and efficiency.
DevOps & CI/CD Pipeline Management:
Design, implement, and maintain CI/CD pipelines in Azure DevOps (ADO).
Integrate CI/CD practices with model deployment processes, ensuring smooth productionization of Client models.
Strong experience with Git for code versioning and collaboration.
Model Productionization:
Participate in the end-to-end process of productionizing machine learning models, from model deployment to monitoring and maintaining their performance.
Work with large language models, focusing on implementing near real-time and batch inferences.
Address data drift and model drift in production environments.
Collaboration & Continuous Learning:
Work closely with data scientists, DevOps engineers, and other MLOps professionals to ensure seamless integration and deployment of Client models.
Stay updated on the latest trends and technologies in MLOps, especially related to AWS and Docker.


Requirements:


Python: Deep expertise in Python for scripting and automation.
AWS: Strong experience with AWS services, particularly SageMaker, S3, and Lambda.
Terraform: Proficiency in using Terraform for infrastructure-as-code on AWS.
Docker: Extensive experience with Docker, including building, managing, and securing Docker images.
Linux: Strong command-line skills in Linux, especially for Docker and system management.
DevOps Experience: Azure DevOps (ADO): Significant experience in setting up and managing CI/CD pipelines in ADO.
Git: Proficient in using Git for version control and collaboration.
Additional DevOps Tools: Experience with Jenkins or other CI/CD tools is a plus.
4 years of experience in combination of MLOps/DevOps/Data Engineering; Bachelor's degree in Computer Science, Engineering, or a related discipline.


Preferred Experience:


Experience with large language models and productionizing Client models in a cloud environment.
Exposure to near real-time inference systems and batch processing in Client.
Familiarity with data drift and model drift management.


If you have the described qualifications and are interested in this exciting opportunity, apply today!

About Genesis10:

Ranked a Top Staffing Firm in the U.S. by Staffing Industry Analysts for six consecutive years, Genesis10 puts thousands of consultants and employees to work across the United States every year in contract, contract-for-hire, and permanent placement roles. With more than 300 active clients, Genesis10 provides access to many of the Fortune 100 firms and a variety of mid-market organizations across the full spectrum of industry verticals.

For contract roles, Genesis10 offers the benefits listed below. If this is a perm-placement opportunity, our recruiter can talk you through the unique benefits offered for that particular client.

Benefits of Working with Genesis10:


Access to hundreds of clients, most who have been working with Genesis10 for 5-20+ years.
The opportunity to have a career-home in Genesis10; many of our consultants have been working exclusively with Genesis10 for years.
Access to an experienced, caring recruiting team (more than 7 years of experience, on average.)
Behavioral Health Platform
Medical, Dental, Vision
Health Savings Account
Voluntary Hospital Indemnity (Critical Illness & Accident)
Voluntary Term Life Insurance
401K
Sick Pay (for applicable states/municipalities)
Commuter Benefits (Dallas, NYC, SF)
Remote opportunities available


For multiple years running, Genesis10 has been recognized as a Top Staffing Firm in the U.S., as a Best Company for Work-Life Balance, as a Best Company for Career Growth, for Diversity, and for Leadership, amongst others. To learn more and to view all our available career opportunities, please visit us at our website.

Genesis10 is an Equal Opportunity Employer. Candidates will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

#DIG10-OH
Show more "
MLOps Engineer,Apollo Solutions,United States,2024-08-30,https://www.linkedin.com/jobs/view/mlops-engineer-at-apollo-solutions-4013790238?position=2&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=WJ313UzuyNh7vCPDnjm9rw%3D%3D&trk=public_jobs_jserp-result_search-card,"Founding MLOps Engineer




We are searching for a Founding Engineering in Machine Learning (ML) Infrastructure for an early stage start-up pushing forward the boundaries of AI. They have been backed by top tier Venture Capital and are now looking to build the infrastructure for real-time AI applications.




You will play a crucial role in shaping the technical direction in a greenfield environment. The initial projects will include building and scaling GPU infrastructure, engaging with customers and contributing heavily in system design.




You will also provide technical leadership and supporting to grow the engineering function.

Requirements

2+ years of experience contributing to the architecture and design of large scale distributed systems
Strong understanding of Cloud technologies (AWS, GCP, Azure)
Strong AI/ML Infrastructure experience
Experience with GPUs/CUDA is a huge bonus.




If you're interested, please apply now!

Show more "
MLOPS ENGINEER,Veridic Solutions,United States,2024-08-18,https://www.linkedin.com/jobs/view/mlops-engineer-at-veridic-solutions-4001606115?position=3&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=6IU%2FDKzxhRpPtZsFhWUAxA%3D%3D&trk=public_jobs_jserp-result_search-card,"Company Description

Veridic is a leading developer of cloud-based software based in Malvern, PA. We prioritize innovation and learning to address complex challenges and deliver top-notch cloud solutions. Our certified engineers excel in cloud projects and are affiliated with prestigious organizations like AWS, Microsoft, and OPC Foundation.




Role Description

This is a contract Mlops Engineer role at Veridic Solutions in Malvern, PA. The Mlops Engineer will be responsible for tasks like mechanical engineering, machine design, computer-aided design (CAD), project management, and research and development (R&D). This is an on-site role that involves working on cloud-based projects.




Qualifications

Mechanical Engineering, Machine Design, and Computer-Aided Design (CAD) skills
Project Management and Research and Development (R&D) skills
Experience in cloud platforms like AWS, GCP, or Azure
Knowledge of Salesforce and Mobile Product Development
Bachelor's degree in Mechanical Engineering or related field
Strong problem-solving and analytical skills
Effective communication and teamwork abilities
Show more "
MLOps ENGINEER,Veridic Solutions,United States,2024-08-28,https://www.linkedin.com/jobs/view/mlops-engineer-at-veridic-solutions-4010128243?position=4&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=9D2dtONfhUU0iUJvSMpDng%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description:

We are seeking a skilled and motivated Machine Learning Operations (MLOps) Engineer to join our team. As an MLOps Engineer, you will work closely with data scientists, machine learning engineers, and software developers to deploy, monitor, and optimize machine learning models in production environments. Your role will be crucial in bridging the gap between machine learning and operations, ensuring that models are scalable, reliable, and integrated seamlessly into our systems.

Key Responsibilities:

Model Deployment and Integration:
Design, develop, and manage scalable machine learning model deployment pipelines.
Collaborate with data scientists and software engineers to deploy machine learning models in production environments (on-premise and cloud).
Automate the deployment process using CI/CD pipelines, containerization (e.g., Docker), and orchestration tools (e.g., Kubernetes).
Monitoring and Performance Optimization:
Monitor machine learning models in production to ensure performance, reliability, and accuracy.
Implement monitoring and alerting systems for model performance metrics and drift detection.
Optimize model performance by identifying bottlenecks and improving resource allocation.
Infrastructure Management:
Set up and manage the infrastructure required for machine learning workloads, including cloud services (e.g., AWS, GCP, Azure), databases, and data pipelines.
Ensure scalability and security of the infrastructure supporting machine learning models.
Manage and optimize the cost of cloud infrastructure used for machine learning tasks.

Show more "
MLOps Engineer,Evolutyz Corp,United States,2024-08-27,https://www.linkedin.com/jobs/view/mlops-engineer-at-evolutyz-corp-4009273405?position=5&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=3GUvxPRAGLKN%2FBV3ulbZNg%3D%3D&trk=public_jobs_jserp-result_search-card,"About Evolutyz Corp




Join Evolutyz Corp, a vibrant, award-winning, woman-owned IT consulting firm headquartered in Chicago. We are passionate about innovation and committed to driving business transformation with our custom technical solutions. As a certified MBE enterprise, we foster a diverse and inclusive work environment where your ideas are valued. At Evolutyz, you’ll find the perfect opportunity to grow your career, make an impact, and collaborate with a team that supports your professional journey. Discover how you can thrive with us at (https://www.evolutyz.com/).




Job Description:

CTH and hybrid role at Ann Arbor, MI.

Strong programming skills in languages such as Python, Java, or Scala.
Experience as an MLOps Engineer, sClientifically with Azure ML and related Azure technologies.
Experience with containerization technologies such as Docker and orchestration tools like Kubernetes.
Proficiency in automation tools like JIRA, Ansible, Jenkins, Docker compose, Artifactory, etc.
Certification in cloud computing (e.g., AWS Certified Machine Learning – SClientialty, Google Professional Machine Learning Engineer).
Knowledge of software engineering best practices such as test-driven development (TDD) and code reviews.

Show more "
MLOps Engineer,Daman,United States,2024-08-28,https://www.linkedin.com/jobs/view/mlops-engineer-at-daman-4010217994?position=6&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=eFHPshUZx7FK58%2FBLs7NZg%3D%3D&trk=public_jobs_jserp-result_search-card,"Tech Skills




AWS Sagemaker

Amazon Neptune

AWS

ML Ops Processes




Expectations




Be a thought leader in the ML Ops space. Be able to design solutions and plans for the team to execute and follow on.

Provide hands-on development of solutions in the ML Ops space to improve experience for Data Scientists and Machine Learning engineers.

Configure, manage, and improve USAA's AI/ML environment across different cloud platforms.




Qualifications




Hands-on experience in setting up AWS security groups, roles, and implementing best practices around SageMaker and Neptune




Hands-on experience working with at least one cloud hyperscaler (AWS)




Ability to build MLOps pipelines on AWS SageMaker + experience with AWS Sagemaker deployment




Hands on DevOps experience – CI/CD in Jenkins , Bitbucket, Kubernetes ,OpenShift




Preferred:

knowledge in machine learning frameworks or libraries such as TensorFlow, Keras, PyTorch, etc




Ability to understand tools used by data scientist and experience with software development and test automation




Experience with Agile development and delivery – Scrum, Lean, XP, Kanban methodologies




Proficiency in modern programming languages such as Python




Responsibilities




In this role you will help to develop, build, design, continuously improve, and support the MLOps Platform




You will participate in all stages of development, use various software and tools, and enabling self-service tools for data science teams




The role also involves designing, developing, integrating, and deploying tools for Data Science and Machine Learning (ML) Research




The successful applicant will design and operate a framework for Machine Learning Operations (MLOps), advise on software engineering for ML, and ensure consistency with cloud architectural principles

Show more "
MLOps Engineer - Ann Arbor MI,DPR Solutions Inc,United States,2024-08-08,https://www.linkedin.com/jobs/view/mlops-engineer-ann-arbor-mi-at-dpr-solutions-inc-3996528050?position=7&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=oRmqwWsVo3qPCKI9d1a%2B8w%3D%3D&trk=public_jobs_jserp-result_search-card,"MLOps Engineer

Ann Arbor MI

Long term

CANDIDATES MUST BE ONSITE FROM DAY 1. LOCAL CANDIDATES HIGHLY PREFERRED. CONTRACT TO HIRE ROLE WITH CONVERSION SOME TIME IN 2025. VISA CANDIDATES ARE OK BUT MUST BE WILLING TO TRANSFER VISA WHEN OFFERED FULL TIME ROLE.

Work schedule is 3 days in the office and 2 days WFH.

Seeking a highly skilled Machine Learnings Ops Engineer contractor with expertise in Azure ML. This role is central to strengthening our analytics capabilities, focusing on establishing MLOps Key Performance Indicators (KPIs), , implementing model monitoring and alerting systems, and exploring avenues towards online learning. The successful candidate will be an expert in Azure ML, Azure DevOps, Azure Container Apps, and familiar with automation tools like Jenkins, with a strong background in containerized software deployments and CI/CD pipelines.

As an MLOps Engineer, you will be responsible for bridging the gap between data science and IT, ensuring that machine learning models are deployed effectively and efficiently. You will collaborate with cross-functional teams to design, implement, and maintain scalable machine learning pipelines and infrastructure.

**Responsibilities: **

Design, implement, and maintain end-to-end machine learning pipelines for model training, validation, and deployment.

Collaborate with data scientists, software engineers, and DevOps engineers to integrate machine learning models into production systems.

Develop automation tools and frameworks to streamline the machine learning workflow, including data preprocessing, feature engineering, model training, and evaluation.

Optimize model performance and scalability by leveraging cloud computing resources and distributed computing techniques.

Implement monitoring and logging solutions to track model performance, data quality, and system health in production.

Manage model versioning, experimentation, and reproducibility using version control systems and experiment tracking tools.

Stay up-to-date with the latest trends and technologies in machine learning, cloud computing, and software engineering, and incorporate them into the MLOps workflow.

Provide technical guidance and mentorship to junior team members on best practices for MLOps.

**Qualifications: **

Bachelor's degree or higher in computer science, engineering, mathematics, or related field.

Strong programming skills in languages such as Python, Java, or Scala.

Proven experience as an MLOps Engineer, sClientifically with Azure ML and related Azure technologies.

Good experience with containerization technologies such as Docker and orchestration tools like Kubernetes.

Proficiency in automation tools like JIRA, Ansible, Jenkins, Docker compose, Artifactory, etc.

Knowledge of DevOps practices and tools for continuous integration, continuous deployment (CI/CD), and infrastructure as code (IaC).

Experience with version control systems such as Git and collaboration tools like GitLab or GitHub.

Excellent problem-solving skills and ability to work in a fast-paced, collaborative environment.

Strong communication skills and ability to effectively communicate technical concepts to non-technical stakeholders.

Certification in cloud computing (e.g., AWS Certified Machine Learning – SClientialty, Google Professional Machine Learning Engineer).

Knowledge of software engineering best practices such as test-driven development (TDD) and code reviews.

Experience with Rstudio/POSIT connect, RapidMiner.

Greetings !!

For More Details & Immediate Response

Contact - https://www.linkedin.com/in/saisreenca/
Show more "
MLOps SRE DevOPS - Remote / Telecommute,Cynet Systems,United States,2024-08-15,https://www.linkedin.com/jobs/view/mlops-sre-devops-remote-telecommute-at-cynet-systems-4000745505?position=8&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=4Rnk6HpqbAgBO7fqxOTNlQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description:

Pay Range: $55hr - $60hr

Basic Qualifications:
BA / BS degree with 4+ years of experience (or) MS degree with 2+ years of experience as a SRE Engineer.
Expertise in infrastructure automation tools like Terraform, Ansible or Cloud Formation.
Strong experience with cloud services (AWS, GCP, Azure) and container orchestration tools (Kubernetes, Docker).
Proficiency in programming languages such as Python, Go.
Deep understanding of networking, security and database technologies.
Preferred Qualifications:
Bachelor's degree in Computer Science, Software Engineering, or a related field; a Master's degree is a plus.
Familiarity with AI and machine learning concepts and the ability to collaborate effectively with data scientists and AI engineers.
Strong problem-solving skills and the ability to troubleshoot complex technical issues.
Knowledge of security best practices and compliance standards.
Excellent teamwork and communication skills to lead and mentor cross-functional teams effectively.
Show more "
MLOPS Engineer,Veridic Solutions,United States,2024-08-23,https://www.linkedin.com/jobs/view/mlops-engineer-at-veridic-solutions-4006235047?position=9&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=ALco8XuB75ZVZzsDYrlp7g%3D%3D&trk=public_jobs_jserp-result_search-card,"Role : MLOps Engineer

Location : Malvern, PA (day 1 onsite)

Skills:

AWS

Python

Devops

Lambda

Docker

Kubernetes

Jenkins

Terraform




Best Regards,

Faraz Ahmad Zaidi

Senior US IT Recruiter

1201 W EVERGREEN ST, DURANT, OKLAHOMA 74701

M +19723259509 | faraz.ahmad@veridicsolutions.com

www.veridicsolutions.com

Show more "
MLOps Engineer,Datasite,United States,2024-08-29,https://www.linkedin.com/jobs/view/mlops-engineer-at-datasite-4010872638?position=10&pageNum=0&refId=ralRxiq5AfJpsl7lHmuR%2Bg%3D%3D&trackingId=6YcuQDgpv7sMILOfQpGoNw%3D%3D&trk=public_jobs_jserp-result_search-card,"Datasite is where deals are made. We provide the data rooms and SaaS technology used in M&A and other high-value transactions, to deliver projects in more than 170 countries. Carrying that success into the future is all about you. Your useful skills, your unusual experience, your unique ideas. Everyone here brings something unexpected. What’s yours? Invest your talents in us, and we’ll return the compliment.

Job Description

At Datasite we are transforming the way companies do Mergers and Acquisitions (M&A). We have the industry leading M&A platform: Datasite One that is built on modern micro-services architecture.

We are looking for a talented MLOPs Engineer to implement production monitoring and alerting for a wide range of machine learning models. As a MLOps Engineer, you will build data pipeline monitoring and create solutions for effectively monitoring outputs of various types of regression, classification, neural network, clustering, and LLM models.

We are open to US remote however we are unable to sponsor or take over sponsorship of an employment Visa at this time.

Essential Duties And Responsibilities


Work with Data Scientists to ensure that models perform as expected during initial Production implementation
Collaborate with Data Scientists, ML Engineers, and DevOps Engineers to ensure smooth model integration into Production
Design and implement monitoring and alerting for all machine learning model inputs and outputs
Demonstrate effectiveness of alerting protocol for detecting anomalous data inputs
Create high quality documentation so other teams can understand monitoring rationale and effectively troubleshoot alerts


Qualifications


Bachelor’s degree or equivalent in data science, machine learning, computer science, mathematics, or statistics
3+ years of industry experience successfully implementing monitoring systems for ML models
Experience implementing validation and monitoring protocols for machine learning models
Fluent in Python
Meticulous attention to detail
Experience with relational (e.g. Snowflake) and non-relational databases (e.g. MongoDB)
Understanding of machine learning approaches and model training processes
Understanding of DevOps and CI/CD fundamentals
Exposure to LLMs
Reputation for creating high quality documentation
Self-motivated and able to work both independently and as part of a team
Ability to quickly learn, evaluate, and apply emerging technology


The base salary range represents the estimated low and high end for this position at the time of this posting. Consistent with applicable law, each candidate’s compensation offer may vary and will be determined based on but not limited to, your geographic region, skills, qualifications, and experience along with the requirements of the position. Datasite reserves the right to modify this pay range at any time.

Salary range $100-160k

As a global organization, Datasite knows that diverse perspectives are essential to our success. We’re committed to maintaining a diverse workforce to serve our customers around the world. Datasite is an equal opportunity employer (EEO) and furthers the principles of EEO through Affirmative Action.
Show more "
